Region,Descripcion,Periodo_2023,Periodo_2024,Porcentaje_variacion
El Ejido,    5.2.-Resto de delitos contra la libertad sexual,6.0,7.0,16.7
El Ejido,    6. Robos con violencia e intimidaciÃ³n,11.0,15.0,36.4
El Ejido,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,53.0,32.0
El Ejido,    7.1.-Robos con fuerza en domicilios,27.0,21.0,-22.2
El Ejido,    8. Hurtos,210.0,156.0,-25.7
El Ejido,    9. Sustracciones de vehÃ­culos,9.0,11.0,22.2
El Ejido,    10. TrÃ¡fico de drogas,15.0,20.0,33.3
El Ejido,    11. Resto de criminalidad convencional,574.0,610.0,6.3
El Ejido,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),90.0,88.0,-2.2
El Ejido,    12.-Estafas informÃ¡ticas,77.0,73.0,-5.2
El Ejido,    13.-Otros ciberdelitos,13.0,15.0,15.4
El Ejido,    III. TOTAL INFRACCIONES PENALES,994.0,958.0,-3.6
Huércal-Overa,    I. CRIMINALIDAD CONVENCIONAL,132.0,110.0,-16.7
Huércal-Overa,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
Huércal-Overa,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Huércal-Overa,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,3.0,0.0,-100.0
Huércal-Overa,    4. Secuestro,0.0,0.0,0.0
Huércal-Overa,    5. Delitos contra la libertad sexual,5.0,2.0,-60.0
Huércal-Overa,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,1.0,0.0,-100.0
Huércal-Overa,    5.2.-Resto de delitos contra la libertad sexual,4.0,2.0,-50.0
Huércal-Overa,    6. Robos con violencia e intimidaciÃ³n,0.0,2.0,100.0
Huércal-Overa,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,29.0,9.0
Huércal-Overa,    7.1.-Robos con fuerza en domicilios,28.0,8.0,-71.4
Huércal-Overa,    8. Hurtos,29.0,25.0,-13.8
Huércal-Overa,    9. Sustracciones de vehÃ­culos,3.0,0.0,-100.0
Huércal-Overa,    10. TrÃ¡fico de drogas,1.0,1.0,0.0
Huércal-Overa,    11. Resto de criminalidad convencional,62.0,71.0,14.5
Huércal-Overa,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),26.0,40.0,53.8
Huércal-Overa,    12.-Estafas informÃ¡ticas,22.0,35.0,59.1
Huércal-Overa,    13.-Otros ciberdelitos,4.0,5.0,25.0
Huércal-Overa,    III. TOTAL INFRACCIONES PENALES,158.0,150.0,-5.1
Níjar,    I. CRIMINALIDAD CONVENCIONAL,330.0,315.0,-4.5
Níjar,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
Níjar,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Níjar,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,9.0,13.0,44.4
Níjar,    4. Secuestro,0.0,0.0,0.0
Níjar,    5. Delitos contra la libertad sexual,2.0,2.0,0.0
Níjar,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,0.0,1.0,100.0
Níjar,    5.2.-Resto de delitos contra la libertad sexual,2.0,1.0,-50.0
Níjar,    6. Robos con violencia e intimidaciÃ³n,11.0,8.0,-27.3
Níjar,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,12.0,14.0
Níjar,    7.1.-Robos con fuerza en domicilios,7.0,12.0,71.4
Níjar,    8. Hurtos,36.0,42.0,16.7
Níjar,    9. Sustracciones de vehÃ­culos,0.0,5.0,100.0
Níjar,    10. TrÃ¡fico de drogas,5.0,3.0,-40.0
Níjar,    11. Resto de criminalidad convencional,255.0,228.0,-10.6
Níjar,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),40.0,52.0,30.0
Níjar,    12.-Estafas informÃ¡ticas,37.0,45.0,21.6
Níjar,    13.-Otros ciberdelitos,3.0,7.0,133.3
Níjar,    III. TOTAL INFRACCIONES PENALES,370.0,367.0,-0.8
Roquetas de Mar,    I. CRIMINALIDAD CONVENCIONAL,1289.0,1343.0,4.2
Roquetas de Mar,    1. Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0
Roquetas de Mar,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Roquetas de Mar,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,17.0,28.0,64.7
Roquetas de Mar,    4. Secuestro,0.0,0.0,0.0
Roquetas de Mar,    5. Delitos contra la libertad sexual,14.0,21.0,50.0
Roquetas de Mar,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,3.0,6.0,100.0
Roquetas de Mar,    5.2.-Resto de delitos contra la libertad sexual,11.0,15.0,36.4
Roquetas de Mar,    6. Robos con violencia e intimidaciÃ³n,47.0,45.0,-4.3
Roquetas de Mar,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,83.0,96.0
Roquetas de Mar,    7.1.-Robos con fuerza en domicilios,62.0,82.0,32.3
Roquetas de Mar,    8. Hurtos,316.0,305.0,-3.5
Roquetas de Mar,    9. Sustracciones de vehÃ­culos,10.0,7.0,-30.0
Roquetas de Mar,    10. TrÃ¡fico de drogas,11.0,17.0,54.5
Roquetas de Mar,    11. Resto de criminalidad convencional,790.0,822.0,4.1
Roquetas de Mar,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),117.0,243.0,107.7
Roquetas de Mar,    12.-Estafas informÃ¡ticas,99.0,206.0,108.1
Roquetas de Mar,    13.-Otros ciberdelitos,18.0,37.0,105.6
Roquetas de Mar,    III. TOTAL INFRACCIONES PENALES,1406.0,1586.0,12.8
Vícar,    I. CRIMINALIDAD CONVENCIONAL,347.0,287.0,-17.3
Vícar,    1. Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
Vícar,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Vícar,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,4.0,7.0,75.0
Vícar,    4. Secuestro,0.0,0.0,0.0
Vícar,    5. Delitos contra la libertad sexual,3.0,4.0,33.3
Vícar,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,0.0,1.0,100.0
Vícar,    5.2.-Resto de delitos contra la libertad sexual,3.0,3.0,0.0
Vícar,    6. Robos con violencia e intimidaciÃ³n,3.0,3.0,0.0
Vícar,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,19.0,17.0
Vícar,    7.1.-Robos con fuerza en domicilios,11.0,12.0,9.1
Vícar,    8. Hurtos,61.0,55.0,-9.8
Vícar,    9. Sustracciones de vehÃ­culos,3.0,3.0,0.0
Vícar,    10. TrÃ¡fico de drogas,9.0,11.0,22.2
Vícar,    11. Resto de criminalidad convencional,244.0,186.0,-23.8
Vícar,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),38.0,41.0,7.9
Vícar,    12.-Estafas informÃ¡ticas,29.0,33.0,13.8
Vícar,    13.-Otros ciberdelitos,9.0,8.0,-11.1
Vícar,    III. TOTAL INFRACCIONES PENALES,385.0,328.0,-14.8
Provincia de Cádiz,    I. CRIMINALIDAD CONVENCIONAL,11374.0,10480.0,-7.9
Provincia de Cádiz,    1. Homicidios dolosos y asesinatos consumados,4.0,11.0,175.0
Provincia de Cádiz,    2. Homicidios dolosos y asesinatos en grado tentativa,13.0,8.0,-38.5
Provincia de Cádiz,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,170.0,161.0,-5.3
Provincia de Cádiz,    4. Secuestro,1.0,0.0,-100.0
Provincia de Cádiz,    5. Delitos contra la libertad sexual,109.0,85.0,-22.0
Provincia de Cádiz,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,16.0,16.0,0.0
Provincia de Cádiz,    5.2.-Resto de delitos contra la libertad sexual,93.0,69.0,-25.8
Provincia de Cádiz,    6. Robos con violencia e intimidaciÃ³n,198.0,207.0,4.5
Provincia de Cádiz,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,716.0,583.0
Provincia de Cádiz,    7.1.-Robos con fuerza en domicilios,442.0,382.0,-13.6
Provincia de Cádiz,    8. Hurtos,3077.0,2725.0,-11.4
Provincia de Cádiz,    9. Sustracciones de vehÃ­culos,234.0,253.0,8.1
Provincia de Cádiz,    10. TrÃ¡fico de drogas,185.0,176.0,-4.9
Provincia de Cádiz,    11. Resto de criminalidad convencional,6667.0,6271.0,-5.9
Provincia de Cádiz,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2858.0,3304.0,15.6
Provincia de Cádiz,    12.-Estafas informÃ¡ticas,2468.0,2861.0,15.9
Provincia de Cádiz,    13.-Otros ciberdelitos,390.0,443.0,13.6
Provincia de Cádiz,    III. TOTAL INFRACCIONES PENALES,14232.0,13784.0,-3.1
Algeciras,    I. CRIMINALIDAD CONVENCIONAL,1250.0,1176.0,-5.9
Algeciras,    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
Algeciras,    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0
Algeciras,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,24.0,21.0,-12.5
Algeciras,    4. Secuestro,0.0,0.0,0.0
Algeciras,    5. Delitos contra la libertad sexual,13.0,8.0,-38.5
Algeciras,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,3.0,4.0,33.3
Algeciras,    5.2.-Resto de delitos contra la libertad sexual,10.0,4.0,-60.0
Algeciras,    6. Robos con violencia e intimidaciÃ³n,27.0,21.0,-22.2
Algeciras,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,49.0,41.0
Algeciras,    7.1.-Robos con fuerza en domicilios,26.0,22.0,-15.4
Algeciras,    8. Hurtos,282.0,218.0,-22.7
Algeciras,    9. Sustracciones de vehÃ­culos,25.0,31.0,24.0
Algeciras,    10. TrÃ¡fico de drogas,47.0,72.0,53.2
Algeciras,    11. Resto de criminalidad convencional,780.0,764.0,-2.1
Algeciras,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),219.0,248.0,13.2
Algeciras,    12.-Estafas informÃ¡ticas,191.0,207.0,8.4
Algeciras,    13.-Otros ciberdelitos,28.0,41.0,46.4
Algeciras,    III. TOTAL INFRACCIONES PENALES,1469.0,1424.0,-3.1
Arcos de la Frontera,    I. CRIMINALIDAD CONVENCIONAL,200.0,170.0,-15.0
Arcos de la Frontera,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
Arcos de la Frontera,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Arcos de la Frontera,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,2.0,3.0,50.0
Arcos de la Frontera,    4. Secuestro,1.0,0.0,-100.0
Arcos de la Frontera,    5. Delitos contra la libertad sexual,2.0,3.0,50.0
Arcos de la Frontera,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,1.0,0.0,-100.0
Arcos de la Frontera,    5.2.-Resto de delitos contra la libertad sexual,1.0,3.0,200.0
Arcos de la Frontera,    6. Robos con violencia e intimidaciÃ³n,4.0,4.0,0.0
Arcos de la Frontera,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,18.0,15.0
Arcos de la Frontera,    7.1.-Robos con fuerza en domicilios,12.0,13.0,8.3
Arcos de la Frontera,    8. Hurtos,52.0,25.0,-51.9
Arcos de la Frontera,    9. Sustracciones de vehÃ­culos,8.0,3.0,-62.5
Arcos de la Frontera,    10. TrÃ¡fico de drogas,4.0,6.0,50.0
Arcos de la Frontera,    11. Resto de criminalidad convencional,109.0,111.0,1.8
Arcos de la Frontera,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),23.0,34.0,47.8
Arcos de la Frontera,    12.-Estafas informÃ¡ticas,14.0,29.0,107.1
Arcos de la Frontera,    13.-Otros ciberdelitos,9.0,5.0,-44.4
Arcos de la Frontera,    III. TOTAL INFRACCIONES PENALES,223.0,204.0,-8.5
Barbate,    I. CRIMINALIDAD CONVENCIONAL,316.0,230.0,-27.2
Barbate,    1. Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0
Barbate,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Barbate,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,1.0,3.0,200.0
Barbate,    4. Secuestro,0.0,0.0,0.0
Barbate,    5. Delitos contra la libertad sexual,4.0,3.0,-25.0
Barbate,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,1.0,0.0,-100.0
Barbate,    5.2.-Resto de delitos contra la libertad sexual,3.0,3.0,0.0
Barbate,    6. Robos con violencia e intimidaciÃ³n,4.0,2.0,-50.0
Barbate,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,40.0,15.0
Barbate,    7.1.-Robos con fuerza en domicilios,26.0,13.0,-50.0
Barbate,    8. Hurtos,55.0,42.0,-23.6
Barbate,    9. Sustracciones de vehÃ­culos,1.0,0.0,-100.0
Barbate,    10. TrÃ¡fico de drogas,2.0,1.0,-50.0
Barbate,    11. Resto de criminalidad convencional,209.0,162.0,-22.5
Barbate,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),34.0,43.0,26.5
Barbate,    12.-Estafas informÃ¡ticas,32.0,39.0,21.9
Barbate,    13.-Otros ciberdelitos,2.0,4.0,100.0
Barbate,    III. TOTAL INFRACCIONES PENALES,350.0,273.0,-22.0
Los Barrios,    I. CRIMINALIDAD CONVENCIONAL,234.0,231.0,-1.3
Los Barrios,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
Los Barrios,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Los Barrios,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,0.0,4.0,100.0
Los Barrios,    4. Secuestro,0.0,0.0,0.0
Los Barrios,    5. Delitos contra la libertad sexual,1.0,3.0,200.0
Los Barrios,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,0.0,1.0,100.0
Los Barrios,    5.2.-Resto de delitos contra la libertad sexual,1.0,2.0,100.0
Los Barrios,    6. Robos con violencia e intimidaciÃ³n,2.0,4.0,100.0
Los Barrios,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,8.0,5.0
Los Barrios,    7.1.-Robos con fuerza en domicilios,3.0,2.0,-33.3
Los Barrios,    8. Hurtos,66.0,70.0,6.1
Los Barrios,    9. Sustracciones de vehÃ­culos,3.0,3.0,0.0
Los Barrios,    10. TrÃ¡fico de drogas,1.0,2.0,100.0
Los Barrios,    11. Resto de criminalidad convencional,153.0,140.0,-8.5
Los Barrios,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),42.0,86.0,104.8
Los Barrios,    12.-Estafas informÃ¡ticas,40.0,76.0,90.0
Los Barrios,    13.-Otros ciberdelitos,2.0,10.0,400.0
Los Barrios,    III. TOTAL INFRACCIONES PENALES,276.0,317.0,14.9
Cádiz,    I. CRIMINALIDAD CONVENCIONAL,1138.0,1055.0,-7.3
Cádiz,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
Cádiz,    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0
Cádiz,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,15.0,12.0,-20.0
Cádiz,    4. Secuestro,0.0,0.0,0.0
Cádiz,    5. Delitos contra la libertad sexual,12.0,10.0,-16.7
Cádiz,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,1.0,2.0,100.0
Cádiz,    5.2.-Resto de delitos contra la libertad sexual,11.0,8.0,-27.3
Cádiz,    6. Robos con violencia e intimidaciÃ³n,34.0,28.0,-17.6
Cádiz,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,49.0,43.0
Cádiz,    7.1.-Robos con fuerza en domicilios,19.0,12.0,-36.8
Cádiz,    8. Hurtos,494.0,432.0,-12.6
Cádiz,    9. Sustracciones de vehÃ­culos,22.0,30.0,36.4
Cádiz,    10. TrÃ¡fico de drogas,11.0,7.0,-36.4
Cádiz,    11. Resto de criminalidad convencional,500.0,493.0,-1.4
Cádiz,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),388.0,415.0,7.0
Cádiz,    12.-Estafas informÃ¡ticas,309.0,359.0,16.2
Cádiz,    13.-Otros ciberdelitos,79.0,56.0,-29.1
Cádiz,    III. TOTAL INFRACCIONES PENALES,1526.0,1470.0,-3.7
Chiclana de la Frontera,    I. CRIMINALIDAD CONVENCIONAL,741.0,712.0,-3.9
Chiclana de la Frontera,    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
Chiclana de la Frontera,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Chiclana de la Frontera,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,6.0,22.0,266.7
Chiclana de la Frontera,    4. Secuestro,0.0,0.0,0.0
Chiclana de la Frontera,    5. Delitos contra la libertad sexual,14.0,5.0,-64.3
Chiclana de la Frontera,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,1.0,0.0,-100.0
Chiclana de la Frontera,    5.2.-Resto de delitos contra la libertad sexual,13.0,5.0,-61.5
Chiclana de la Frontera,    6. Robos con violencia e intimidaciÃ³n,5.0,11.0,120.0
Chiclana de la Frontera,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,87.0,99.0
Chiclana de la Frontera,    7.1.-Robos con fuerza en domicilios,65.0,76.0,16.9
Chiclana de la Frontera,    8. Hurtos,164.0,135.0,-17.7
Chiclana de la Frontera,    9. Sustracciones de vehÃ­culos,21.0,13.0,-38.1
Chiclana de la Frontera,    10. TrÃ¡fico de drogas,10.0,10.0,0.0
Chiclana de la Frontera,    11. Resto de criminalidad convencional,433.0,417.0,-3.7
Chiclana de la Frontera,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),228.0,254.0,11.4
Chiclana de la Frontera,    12.-Estafas informÃ¡ticas,188.0,212.0,12.8
Chiclana de la Frontera,    13.-Otros ciberdelitos,40.0,42.0,5.0
Chiclana de la Frontera,    III. TOTAL INFRACCIONES PENALES,969.0,966.0,-0.3
Conil de la Frontera,    I. CRIMINALIDAD CONVENCIONAL,211.0,158.0,-25.1
Conil de la Frontera,    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
Conil de la Frontera,    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
Conil de la Frontera,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,4.0,1.0,-75.0
Conil de la Frontera,    4. Secuestro,0.0,0.0,0.0
Conil de la Frontera,    5. Delitos contra la libertad sexual,0.0,5.0,100.0
Conil de la Frontera,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,0.0,2.0,100.0
Conil de la Frontera,    5.2.-Resto de delitos contra la libertad sexual,0.0,3.0,100.0
Conil de la Frontera,    6. Robos con violencia e intimidaciÃ³n,4.0,5.0,25.0
Conil de la Frontera,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,32.0,24.0
Conil de la Frontera,    7.1.-Robos con fuerza en domicilios,23.0,21.0,-8.7
Conil de la Frontera,    8. Hurtos,39.0,33.0,-15.4
Conil de la Frontera,    9. Sustracciones de vehÃ­culos,5.0,2.0,-60.0
Conil de la Frontera,    10. TrÃ¡fico de drogas,6.0,3.0,-50.0
Conil de la Frontera,    11. Resto de criminalidad convencional,121.0,85.0,-29.8
Conil de la Frontera,    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),63.0,70.0,11.1
Conil de la Frontera,    12.-Estafas informÃ¡ticas,57.0,62.0,8.8
Conil de la Frontera,    13.-Otros ciberdelitos,6.0,8.0,33.3
Conil de la Frontera,    III. TOTAL INFRACCIONES PENALES,274.0,228.0,-16.8
Jerez de la Frontera,    I. CRIMINALIDAD CONVENCIONAL,2273.0,2008.0,-11.7
Jerez de la Frontera,    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
Jerez de la Frontera,    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0
Jerez de la Frontera,    3. Delitos graves y menos graves de lesiones y riÃ±a tumultuaria,33.0,19.0,-42.4
Jerez de la Frontera,    4. Secuestro,0.0,0.0,0.0
Jerez de la Frontera,    5. Delitos contra la libertad sexual,19.0,15.0,-21.1
Jerez de la Frontera,    5.1.-AgresiÃ³n sexual con penetraciÃ³n,3.0,1.0,-66.7
Jerez de la Frontera,    5.2.-Resto de delitos contra la libertad sexual,16.0,14.0,-12.5
Jerez de la Frontera,    6. Robos con violencia e intimidaciÃ³n,54.0,56.0,3.7
Jerez de la Frontera,    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,109.0,61.0
Jerez de la Frontera,    7.1.-Robos con fuerza en domicilios,57.0,46.0,-19.3
Jerez de la Frontera,    8. Hurtos,741.0,717.0,-3.2
Jerez de la Frontera,    9. Sustracciones de vehÃ­culos,43.0,57.0,32.6
