precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta;CCAA
650 €/mes;Piso en La Chana;/alquilar/piso-granada_capital_chana18015-45006423662_100500/;Chana (Granada Capital);64 m²;Te presentamos este fantástico piso de alquiler recién reformado en la chana. Este acogedor piso ha sido renovado por completo par...;37.1927815;-3.6261221;2 habs.;1 baño;1ª planta;granada
700 €/mes;Piso en calle de Darro del Boquerón;/alquilar/piso-granada_capital_centro_catedral18001-45019954519_512614/;Centro-Catedral (Granada Capital);60 m²;Se alquila pisoa estudiantes en la zona centro-catedral. Situado en un 3º piso, con una superficie total de 60 m² distribuidos en ...;37.1813272;-3.6012196;2 habs.;2 baños;3ª planta;granada
870 €/mes;Apartamento en Plaza de Toros;/alquilar/apartamento-pajaritos_plaza_de_toros18012-35011407408_100500/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);95 m²;"¡Bienvenido a tu nuevo hogar en plaza de toros!

Este encantador piso de 3 habitaciones es el sueño de cualquier estudiante que bu...";37.1899089;-3.6095497;3 habs.;1 baño;3ª planta;granada
750 €/mes;Piso en calle del Periodista Francisco Javier Cobos, 18;/alquilar/piso-los_periodistas_parque_almunia_albayda18014-45093223490_521299/;Los Periodistas-Parque Almunia-Albayda (Granada Capital);80 m²;Bonito piso de dos dormitorios, muy soleado. En una urbanización con dos piscinas, muy cerca de parada de metro y de bus, rodeado ...;37.193203;-3.6224475;2 habs.;1 baño;2ª planta;granada
900 €/mes;Piso en Avenida de la Ilustración;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45053429922_100500/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);90 m²;Se alquila precioso piso en gran manzana con muebles en el campus de la salud. La vivienda cuenta con 90 metros construidos,2 balc...;37.1495373;-3.6026683;2 habs.;1 baño;1ª planta;granada
1.000 €/mes;Piso en Campus de La Salud;/alquilar/piso-armilla_san_anton18100-45019780432_100500/;San Antón (Armilla);81 m²;"¡Amplio y luminoso piso con plaza de garaje en alquiler de larga temporada!

Este fantástico piso de 3 dormitorios se encuentra en...";37.150338;-3.6076061;3 habs.;2 baños;2ª planta;granada
200 €/día;Piso en Avenida de la Marina del Este, 73;/alquilar/piso-marina_del_este_punta_de_la_mona-42566489521_525717/;Marina del Este-Punta de la Mona (Almuñécar);120 m²;Altura piso 3º, piso superficie total 120 m², superficie útil 110 m², hab. Individuales: 2, habitaciones dobles: 1, 2 baños, aire ...;36.726036;-3.7277658;3 habs.;2 baños;3ª planta;granada
385 €/sem;Casa adosada en calle Al Club, nº 19;/alquilar/casa_adosada-almunecar_centro_urbano-945856908445356_109700/;Velilla (Almuñécar);100 m²;Casa totalmente reformada y consta de 2 dormitorios ( uno de ellos con cama extra grande de 150x 2m y el otro dormitorio con 2 ca...;36.7392;-3.67181;2 habs.;2 baños;;granada
1.300 €/mes;Ático en calle Hinojosa;/alquilar/atico-granada_capital_centro_catedral18001-44204643701_512614/;Centro-Catedral (Granada Capital);128 m²;Se alquila ático duplex a estudiantes este magnífico ático que se encuentra en la zona centro-catedral de granada capital junto a ...;37.1784691;-3.6004107;4 habs.;2 baños;;granada
1.200 €/mes;Piso en Centro;/alquilar/piso-figares_san_anton18005-45069322159_100500/;Figares-San Antón (Granada Capital);75 m²;Te presentamos este espectacular piso recién reformado en la emblemática calle recogidas. Con un diseño moderno y funcional, esta ...;37.1724808;-3.6017203;2 habs.;2 baños;6ª planta;granada
1.600 €/mes;Chalet en Urb. Cañadas del Parque;/alquilar/chalet-dilar_centro_urbano-43415134864_100500/;Dílar;184 m²;¡Descubre tu nuevo refugio en granada! En la exclusiva urbanización cañadas del parque, te espera un chalet de ensueño que promete...;37.0565195;-3.6321182;3 habs.;2 baños;;granada
900 €/mes;Apartamento en Paseo de Cotobro;/alquilar/apartamento-cotobro-32519045320_512325/;Cotobro (Almuñécar);60 m²;No se alquila todo el año. En la mejor zona de almuñécar disponemos de un piso muy coqueto situado a primera linea de playa al fin...;36.7338827;-3.7053824;1 hab.;1 baño;7ª planta;granada
900 €/mes;Piso en Hipercor;/alquilar/piso-camino_de_ronda18004-24230763442_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);90 m²;Atención estudiantes piso  disponible para el curso 24/25  bonito piso de tres dormitorios en una de las mejores zonas para vivir ...;37.1812145;-3.6151383;3 habs.;1 baño;1ª planta;granada
800 €/mes;Estudio en Centro;/alquilar/estudio-granada_capital_centro_catedral18002-41670307113_100500/;Centro-Catedral (Granada Capital);40 m²;Estudio en pleno centro de granada, rodeado de todo tipo de comercios, cuenta con salón con salida a terraza, cocina americana, do...;37.1759942;-3.6032179;1 hab.;1 baño;;granada
1.200 €/mes;Casa en Carretera de Otura;/alquilar/casa-villa_de_otura_centro_urbano-45094566452_100500/;Villa de Otura;250 m²;Descubre este oasis de serenidad y lujo en la encantadora localidad de otura, donde el confort moderno se encuentra con la tranqui...;37.0824415;-3.6353578;4 habs.;3 baños;;granada
1.050 €/mes;Casa adosada en Campus Salud;/alquilar/casa_adosada-armilla_san_miguel18100-45068511764_100500/;San Miguel (Armilla);127 m²;Ponemos en alquiler esta fantástica casa de dos plantas que consta de 127m², con 3 habitaciones, 2 baños y 90m de terraza. En la p...;37.1490925;-3.6132167;3 habs.;2 baños;;granada
A consultar;Apartamento en Las Flores-La Huerta;/alquilar/apartamento-las_flores_la_huerta-43349657790_995390/;Las Flores-La Huerta (Las Gabias);60 m²;Bonito  apartamento  nuevo  a  estrenar,  1  dormitorio , salon moderno  con  television   de  pantalla   plana   ,  cocina  ameri...;37.133342932;-3.667957499;1 hab.;1 baño;1ª planta;granada
A consultar;Piso en calle Golondrina;/alquilar/piso-torrenueva_costa_torrenueva-43376549371_510584/;Torrenueva (Torrenueva Costa);65 m²;Bonito piso en alquiler vacacional en torrenueva costa. Disfrute de una excelente estancia en este piso de 3 habitaciones, salon, ...;36.702299;-3.4876678;3 habs.;1 baño;2ª planta;granada
750 €/mes;Piso en Centro;/alquilar/piso-camino_de_ronda18002-45045260401_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);57 m²;"Plaza de gracia. 
Buscas un piso  para vivir en pleno centro de granada?? 
Pues este es tu piso
2 d/ 1 salón / cocina/americana.
...";37.1729956;-3.604932;2 habs.;1 baño;2ª planta;granada
750 €/mes;Estudio en Constitucion;/alquilar/estudio-granada_capital_centro_catedral18001-45055810186_100500/;Centro-Catedral (Granada Capital);35 m²;Disponible en julio! Estudio recién reformado en pleno centro de granada, con 35 m² es todo lo que necesitas para estar en el cent...;37.1820908;-3.6026315;;1 baño;;granada
325 €/mes;Piso en Alcampo;/alquilar/piso-norte_cartuja-35914624587_100500/;Cartuja (Distrito Norte. Granada Capital);110 m²;"Estas buscando habitacion  cerca de las universidades,  para el proximo curso!!!! Quedan dos habitaciones disponibles.

Bonito pis...";37.1963468;-3.6043632;4 habs.;1 baño;10ª planta;granada
620 €/mes;Piso en Alhedin;/alquilar/piso-alhendin_centro_urbano-44244183539_100500/;Alhendín;80 m²;Se alquila piso independiente con entrada desde la calle en alhedin por la zona del ayuntamiento y rodeado de todo tipo de comerci...;37.1061534;-3.6442785;2 habs.;1 baño;Bajo;granada
975 €/mes;Piso en Avenida de la Ilustración, 129;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45026611948_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);103 m²;Este fantástico piso en alquiler se encuentra en la zona de campus de la salud-palacio de los deportes en granada capital. Situado...;37.149727;-3.5984533;3 habs.;2 baños;2ª planta;granada
390 €/sem;Apartamento en calle Alpaargateros Alta, nº 19;/alquilar/apartamento-san_ildefonso_hospital_real18010-40093541482_993435/;San Ildefonso Hospital Real (Distrito Beiro. Granada Capital);50 m²;Apartamento se alquila por meses y por semanas.  Precioso apartamento amueblado en el albaycin, con espectaculares vistas y precio...;37.184477246689134;-3.598435432514614;1 hab.;1 baño;1ª planta;granada
1.000 €/mes;Piso en calle del Compositor Ruiz Aznar, 8;/alquilar/piso-genil_cervantes18008-45054575584_501273/;Cervantes (Distrito Genil. Granada Capital);120 m²;En la encantadora ciudad de granada capital se encuentra este amplio piso en venta. Con una superficie total de 120 m² y distribui...;37.16672;-3.592237;3 habs.;2 baños;4ª planta;granada
1.600 €/mes;Piso en calle calle;/alquilar/piso-calahonda_carchuna18730-35857156232_105400/;Calahonda-Carchuna (Motril);75 m²;Referencia: 663bb  se alquila 2ª quincena de agosto en calahonda . Piso que se distribuye en dos dormitorios, aseo y cuarto de bañ...;36.6993788;-3.4182914;2 habs.;2 baños;3ª planta;granada
3.000 €/mes;Ático en Puerta Real;/alquilar/atico-figares_san_anton18005-45050633378_100500/;Figares-San Antón (Granada Capital);180 m²;Impresionante ático situado en el mismo centro de granada, puerta real, situado en una octava planta con una distribución impecabl...;37.1722818;-3.5995075;4 habs.;2 baños;;granada
1.000 €/mes;Piso en callejón de Arenas;/alquilar/piso-figares_san_anton18005-45071830833_100500/;Figares-San Antón (Granada Capital);79 m²;Se alquila piso de 79 m² con 3 dormitorios, un baño, salón, cocina y patio interior ubicado en el centro de granada en callejón de...;37.1685035;-3.5970131;3 habs.;1 baño;1ª planta;granada
650 €/mes;Piso en Churiana de La Vega;/alquilar/piso-churriana_de_la_vega_casco_antiguo-44175419702_100500/;Casco Antiguo (Churriana de La Vega);86 m²;"""¡Disfruta de la vida en el corazón de churriana de la vega! Este luminoso apartamento, situado en la avenida principal, te ofrece...";37.1465184;-3.6482819;2 habs.;1 baño;2ª planta;granada
790 €/mes;Piso en calle Fontiveros;/alquilar/piso-zaidin_vergeles18008-45013795107_515283/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);104 m²;"Ponemos a vuestra disposición este magnífico piso en alquiler en la mima calle fontiveros.

El piso se encuentra en una 7ª planta ...";37.161209542;-3.592561214;3 habs.;1 baño;7ª planta;granada
500 €/mes;Piso en calle Norte;/alquilar/piso-la_zubia_centro_urbano-43338759404_106000/;La Zubia;77 m²;Piso sin muebles junto al ayuntamiento, ubicado en un bonito edificio con una corrala que tiene todos los servicios a pocos metros...;37.1217343;-3.585477;2 habs.;1 baño;Bajo;granada
1.000 €/mes;Piso en Plaza de la Ciudad De Los Carmenes, 6;/alquilar/piso-beiro_san_francisco_javier18013-40916733323_101800/;San Francisco Javier (Distrito Beiro. Granada Capital);105 m²;Piso en practicamente nuevo en la plaza ciudad de los carmenes salón totalmente independiente con acceso a terraza , dormitorio pr...;37.1905;-3.60574;3 habs.;2 baños;;granada
3.000 €/mes;Dúplex en calle Acera del Darro;/alquilar/duplex-figares_san_anton18005-43423570939_516199/;Figares-San Antón (Granada Capital);180 m²;Impresionante ático situado en el mismo centro de granada, situado en una octava planta con una distribución impecable , cuenta co...;37.1723136;-3.5995922;4 habs.;2 baños;8ª planta;granada
2.600 €/mes;Apartamento en calle Rector Federico Mayor Zaragoza;/alquilar/apartamento-playa_granada18613-43429167134_999165/;Playa Granada (Motril);94 m²;"Alquiler vacacional para el mes de agosto.
Bonito piso en urbanización los moriscos de playa granada. Disponible el mes de agosto....";36.7198541;-3.5501501;2 habs.;2 baños;2ª planta;granada
965 €/mes;Apartamento en calle Rector Pascual Rivas Carrera, 5;/alquilar/apartamento-playa_granada-807191396_173200/;Playa Granada (Motril);93 m²;"Junto al hotel impressive playa granada golf , en pleno campo de golf "" los moriscos"" se alquila apartamento bien amueblado con am...";36.721691;-3.5625744;2 habs.;2 baños;3ª planta;granada
1.800 €/mes;Piso en calle del Azahar;/alquilar/piso-calahonda_carchuna18730-41671894485_527294/;Calahonda-Carchuna (Motril);80 m²;Se alquila precioso piso para meses de verano . Estupendo piso para temporada vacacional con todas las comodidades necesarias para...;36.7000784;-3.4183829;3 habs.;2 baños;2ª planta;granada
1.300 €/mes;Piso en Avenida Don Bosco;/alquilar/piso-zaidin_vergeles18007-44238743627_525859/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);110 m²;Extraordinario piso de estudiantes en zaidin, en muy buena zona, rodeada de comercios, con parada de metro cerca y bus en la puert...;37.159306111;-3.595898743;4 habs.;2 baños;1ª planta;granada
800 €/mes;Piso en Campus de La Salud;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-43336564090_100500/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);102 m²;Estupendo piso en zona campus de la salud. El piso dispone de dos dormitorios, dos baños, uno de ellos en suite, estupendo salón y...;37.149538;-3.6032158;2 habs.;2 baños;3ª planta;granada
700 €/mes;Piso en calle Pan, 2;/alquilar/piso-albaicin_distrito18010-41763094054_100500/;Albaicín (Granada Capital);50 m²;"Plaza nueva. Disponibilidad inmediata. No se reserva para septiembre. 
Piso amueblado haciendo esquina. 
Ubicado en una tercera pl...";37.1769;-3.5966;2 habs.;;3ª planta;granada
850 €/mes;Piso en Camino de Ronda;/alquilar/piso-granada_capital_chana18015-37597085252_100500/;Chana (Granada Capital);120 m²;Estupendo piso de 120 metros muy luminoso en residencial cerrado, con amplias zonas comunes, se trata de un fabuloso piso de 4 dor...;37.1872154;-3.6162101;4 habs.;2 baños;2ª planta;granada
900 €/mes;Piso en Camino de Ronda;/alquilar/piso-figares_san_anton18005-45083877182_100500/;Figares-San Antón (Granada Capital);89 m²;"Piso de alquiler totalmente amueblado en el centro de granada.
Consta de tres habitaciones, salón amplio, cocina amueblado,baño y ...";37.167875;-3.6021788;3 habs.;1 baño;6ª planta;granada
220 €/mes;Piso en Zaidin;/alquilar/piso-zaidin_vergeles18007-40017973427_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);94 m²;Inmobiliaria garcia delgado alquila habitacion en la zona del zaidin (zona estadio de futbol los carmenes), habitacion en piso com...;37.153079628;-3.597957322;1 hab.;2 baños;6ª planta;granada
850 €/mes;Piso en calle Xauen;/alquilar/piso-zaidin_vergeles18007-45010842029_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);107 m²;¡Descubre tu nuevo hogar en una ubicación privilegiada! Este espacioso piso de 107 m² construidos  se encuentra a un paso del pts...;37.1524675;-3.6018337;3 habs.;1 baño;5ª planta;granada
650 €/mes;Piso en Avenida del Sol;/alquilar/piso-cotobro18690-44242713236_103800/;Cotobro (Almuñécar);80 m²;Se alquila piso en verano, por semanas/quincenas y por meses de octubre a junio. Consulta disponibilidad y precio.;36.7359845;-3.7222998;2 habs.;1 baño;;granada
825 €/mes;Piso en Avenida de la Ilustración, 127;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45036116468_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);68 m²;Este encantador piso en alquiler se encuentra en el primer piso de un edificio con ascensor en granada capital. Con una superficie...;37.14985;-3.5984175;2 habs.;1 baño;1ª planta;granada
800 €/mes;Piso en Avenida de la Ilustración, 125;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45009798193_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);86 m²;En granada capital, se encuentra este encantador piso en alquiler. Con una superficie total de 86,39 m² y 2 habitaciones individua...;37.1499;-3.5985074;2 habs.;2 baños;3ª planta;granada
950 €/mes;Piso en Paseo de China Gorda;/alquilar/piso-cotobro18690-44263606164_103800/;Cotobro (Almuñécar);50 m²;Se alquila de septiembre a julio por meses, quincenas o semanas. El precio varía según temporada. Pregunte disponibilidad y precio...;36.7340874;-3.7031885;2 habs.;1 baño;7ª planta;granada
A consultar;Casa en calle de la Cuesta Abadejo;/alquilar/casa-cotobro18690-45001435046_103200/;Cotobro (Almuñécar);120 m²;Sensacional  casa adosada en  urbanización privada en almuñécar con gran piscina, jardines, pista de ...;36.7365;-3.70429;3 habs.;2 baños;;granada
750 €/mes;Apartamento en Paseo de China Gorda, 6;/alquilar/apartamento-cotobro18690-44252835154_103800/;Cotobro (Almuñécar);55 m²;"Se alquila por meses, semanas o quincenas. 
Consultar los precios para los meses de junio, julio, agosto y septiembre.";36.73326097945568;-3.706856280082838;1 hab.;1 baño;3ª planta;granada
600 €/mes;Apartamento en calle de Andrés Muller, 1;/alquilar/apartamento-almunecar_casco_urbano-44245999144_103800/;Casco Urbano (Almuñécar);42 m²;Situado en un sitio muy tranquilo y a 5 minutos de la playa, en pleno centro de la ciudad. Se alquila de septiembre a junio, 200€ ...;36.734559147294455;-3.6872398157072466;1 hab.;2 baños;1ª planta;granada
600 €/mes;Piso en calle calle Real;/alquilar/piso-torrenueva_costa_torrenueva-37571460654_100500/;Torrenueva (Torrenueva Costa);56 m²;Alquiler de septiembre de 2024 a junio de 2025, piso recién reformado, mobiliario nuevo, cocina nueva, 2 habitaciones con cama de ...;36.7048843;-3.4912638;2 habs.;1 baño;1ª planta;granada
A consultar;Casa en calle de la Cuesta Abadejo;/alquilar/casa-cotobro18690-45006381180_103200/;Cotobro (Almuñécar);120 m²;Sensacional  casa adosada en  urbanización privada en almuñécar con gran piscina, jardines, pista de ...;36.7365;-3.70429;3 habs.;2 baños;;granada
850 €/mes;Apartamento en Avenida del Mediterráneo, 51;/alquilar/apartamento-almunecar_casco_urbano-44171034005_103800/;Casco Urbano (Almuñécar);46 m²;Apartamento de un dormitorio, recientemente renovado, con dos camas grandes, aire acondicionado en habitación y salón. Rincón come...;36.73458512099669;-3.702574338920635;1 hab.;2 baños;10ª planta;granada
925 €/mes;Piso en Avenida de la Ilustración, 121;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45056247743_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);92 m²;Este encantador piso en alquiler se encuentra en la zona de campus de la salud-palacio de los deportes, en granada capital. Con un...;37.149532;-3.5990105;2 habs.;2 baños;Bajo;granada
1.100 €/mes;Piso en calle Playa de Cotobro;/alquilar/piso-cotobro18697-35051047021_100500/;Cotobro (Almuñécar);100 m²;"Costa tropical de granada

El precio anunciado no corresponde a los meses de verano ( consultar precio)
Dsiponible: todo julio

Ap...";36.7344194;-3.7145923;2 habs.;;1ª planta;granada
850 €/mes;Estudio en calle Avda/ Mediterráneo, nº 51;/alquilar/estudio-cotobro18690-44166884271_103800/;Cotobro (Almuñécar);40 m²;Se alquila por meses, semanas y quincenas. Precio según temporada. Consúltenos disponibilidad sin compromiso.;36.7433558;-3.701075;1 hab.;1 baño;;granada
1.600 €/mes;Chalet en calle Almendros;/alquilar/chalet-salobrena_centro_urbano-44211024490_520321/;Salobreña;200 m²;"Fantastique villa de plain pied entourée d'un charmant jardin, vue mer.
Résidence avec grande piscine communautaire, paddle, tenni...";36.7470892;-3.616347;2 habs.;2 baños;;granada
800 €/mes;Casa en calle Rueda Bolas, 6;/alquilar/casa-albaicin_distrito-40836652901_993435/;Albaicín (Granada Capital);100 m²;¡No pierdas la oportunidad de vivir en esta encantadora casa adosada en albaicín! Con una ubicación privilegiada en una zona tranq...;37.17863363333469;-3.5978335612742542;2 habs.;2 baños;;granada
800 €/mes;Casa adosada en calle Urbanizacion Monteverde, nº 3 -9;/alquilar/casa_adosada-guadix_centro_urbano-44236818152_100500/;Guadix;195 m²;"Vivienda sita en urbanización monteverde, vivienda: 3-9 cp 18500 guadix (granada)
Consta la citada vivienda de 3 plantas, y zona a...";37.2962;-3.12846;3 habs.;;;granada
850 €/mes;Piso en calle de Santiago, 25;/alquilar/piso-realejo18009-38400018532_100500/;Realejo (Granada Capital);79 m²;Gran piso, en pleno realejo, uno de los mejores barrios de granada. A estrenar, completamente nuevo y moderna decoración. Muy bien...;37.1722;-3.593;2 habs.;2 baños;2ª planta;granada
A consultar;Apartamento en Paseo de Velilla, 21;/alquilar/apartamento-velilla_distrito-45000580314_108500/;Velilla (Almuñécar);80 m²;Maravilloso apartamento muy bien cuidado y equipado con dos dormitorios, salón con sofá cama y terraza, cocina totalmente equipada...;36.7399;-3.66839;2 habs.;1 baño;;granada
1.200 €/mes;Piso en Recogidas;/alquilar/piso-camino_de_ronda18004-45056458086_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);110 m²;"Luminoso piso cerca de recogidas
Estupendo piso muy céntrico, junto a  ronda y el parque garcía lorca, muy buenas comunicaciones, ...";37.171533885;-3.606974503;4 habs.;2 baños;6ª planta;granada
800 €/mes;Apartamento en Camino de Gójar;/alquilar/apartamento-la_zubia_centro_urbano-45087336585_100500/;La Zubia;72 m²;Espectacular apartamento tipo loft en la zubia, prácticamente a estrenar, con aerotermia. Dispone de 1 dormitorio, baño completo, ...;37.116639315;-3.59992589;1 hab.;1 baño;Bajo;granada
750 €/mes;Piso en calle Laguna de la Mosca, 2;/alquilar/piso-camino_de_los_neveros_serrallo-45035241782_100500/;Camino de los Neveros-Serrallo (Distrito Genil. Granada Capital);70 m²;Se alquila excepcional piso en calle laguna de la mosca, muy cerca del centro comercial serrallo. El edificio dispone de ascensor....;37.1598;-3.58158;1 hab.;1 baño;3ª planta;granada
650 €/mes;Estudio en calle Capri;/alquilar/estudio-zaidin_vergeles18007-44253331358_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);30 m²;;37.1585252;-3.5971994;1 hab.;1 baño;;granada
700 €/mes;Piso en Paseo de San Cristóbal, 18;/alquilar/piso-almunecar_casco_urbano-37560709421_100500/;Casco Urbano (Almuñécar);60 m²;"Costa tropical de granada. Playa de san cristobal 
Disponible.
Alquiler de temporada invernal, escolar hasta junio. 
El precio no ...";36.7345;-3.70179;1 hab.;2 baños;3ª planta;granada
800 €/mes;Chalet en Calahonda-Carchuna;/alquilar/chalet-calahonda_carchuna18730-44170106908_108500/;Calahonda-Carchuna (Motril);140 m²;Disponible  en alquiler esta encantadora casa en primera línea de playa, en calahonda.  Con un amplio y bonito salón con dos zonas...;36.6959238;-3.4187966;3 habs.;2 baños;;granada
A consultar;Ático en calle del Tesorillo;/alquilar/atico-velilla_distrito-34250578474_108500/;Velilla (Almuñécar);90 m²;Dos habitaciones.  Baño y aseo. Gran terraza. Piscina. Parking dentro de la urbanización. Wifi. Consulta precio y disponibilidad[i...;36.744;-3.66487;2 habs.;3 baños;;granada
500 €/mes;Piso en Plaza del Doctor Álvarez;/alquilar/piso-cotobro18690-36682984095_100500/;Cotobro (Almuñécar);50 m²;"Costa tropical de granada, alquiler de temporadas.
Alquiler de temporada. Curso escolar
 Disponible: de septiembre hasta junio.
Ap...";36.7359997;-3.6917581;1 hab.;;4ª planta;granada
550 €/mes;Piso en calle de la Reina Aixa;/alquilar/piso-guadix_centro_urbano-45053861001_100500/;Guadix;100 m²;Se alquila piso en guadix en plaza de sierra nevada, muy luminoso y en perfecto estado. Cuatro dormitorios, dos baños, cocina amue...;37.303244266;-3.137612645;4 habs.;;1ª planta;granada
650 €/mes;Piso en Paseo de San Cristóbal, 18;/alquilar/piso-almunecar_casco_urbano-45015623114_100500/;Casco Urbano (Almuñécar);65 m²;"Alquiler de temporadas.
Disponible: todo julio
El precio anunciado no corresponde al periodo veraniego (consultar precio)
 Apartam...";36.7345;-3.70179;2 habs.;;2ª planta;granada
500 €/mes;Piso en Atarfe;/alquilar/piso-atarfe_centro_urbano-45093587477_100500/;Atarfe;49 m²;Piso con un dormitorio, baño completo con plato de ducha, salón-cocina y terraza. 49m² construidos, 43m² útiles. Exterior y amuebl...;37.2255543;-3.6801792;1 hab.;;2ª planta;granada
1.300 €/mes;Piso en calle de Jacinto Benavente;/alquilar/piso-camino_de_ronda18003-26765445087_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);77 m²;Alquiler de temporada. Hermoso piso recién reformado, donde el confort y la comodidad se unen para ofrecerte una experiencia sin i...;37.178849273;-3.610158447;3 habs.;1 baño;7ª planta;granada
1.200 €/mes;Piso en calle del Aconcagua;/alquilar/piso-camino_de_los_neveros_serrallo-44220751912_100500/;Camino de los Neveros-Serrallo (Distrito Genil. Granada Capital);134 m²;Disponible piso tres dormitorios , dos baños en zona serrallo. Dentro de una urbanización con zonas comunes , piscina , pista de p...;37.1589448;-3.5779562;3 habs.;2 baños;Bajo;granada
550 €/mes;Casa rústica en calle Estación;/alquilar/casa_rustica-saleres-38340517921_516199/;Saleres (El Valle);80 m²;Casita rustica en el pueblo de saleres en el valle de lecrin, a 20minutos de granada y de la costa, con buen acceso, ambiente muy ...;36.9294333;-3.5978601;1 hab.;1 baño;;granada
