sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;publicado_hace;plataforma;precio;CCAA
Piso 2hab en plaza las autonomias. Frente universidades;https://rd.clk.thribee.com/id.1q18D1pWx1Re/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.11/;39300, Tanos, Torrelavega, Provincia de Cantabria;2  habitaciones;1  baños;60  m²;SOLO TEMPORADA SEPTIEMBRE 24 A JUNIO 2025, Idepisos alquila magnífico Piso amueblado en Torrelavega frente a las universidades, 60 m2. De superfi...;Hace 17 días;Vadevender;790€;Cantabria
Piso en alquiler en Noja, Centro;https://rd.clk.thribee.com/id.JlC1F16c131f/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.12/;39180, Noja, Provincia de Cantabria;3  habitaciones;2  baños;120  m²;Fantástico piso en alquiler, dispone de tres dormitorios y dos baños. Ubicado en una zona residencial a tan solo dos minutos del centro del puebl...;Hace +30 días;Todopisos;;Cantabria
2 dormitorio, Santander 39012 1ES48767-;https://rd.clk.thribee.com/id.KM12G1a1r1xG/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.13/;39012, Santander, Provincia de Cantabria;2  habitaciones;-;-;TRV48767---. Apartamento en Santander...;Hace +30 días;Listanza;1.350€;Cantabria
Piso en alquiler en Santander, Castilla - Hermida;https://rd.clk.thribee.com/id.1Qu161X1E1hk1u/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.14/;39004, Castilla-Hermida, Santander, Provincia de Cantabria;3  habitaciones;1  baños;-;Alquilo piso para temporada de verano centro zona castilla. Hermida. Zona muy bien comunicada tanto poara ir a la playa que tien bus a lña puerta...;Hace +30 días;Todopisos;650€;Cantabria
Piso en alquiler en Santander, Centro;https://rd.clk.thribee.com/id.1S191Ad111ShM/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.15/;39006, Centro, Santander, Provincia de Cantabria;6  habitaciones;3  baños;165  m²;¡No busques más! Este piso recién reformado lo tiene todo para que te sientas en casa. Con seis habitaciones, tres baños completos, un amplio sal...;Hace 3 días;Todopisos;1.900€;Cantabria
Piso en alquiler en Santander, Numancia-San Fernando;https://rd.clk.thribee.com/id.1lB1o1BlR1g1P/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.16/;39010, Santander, Provincia de Cantabria;3  habitaciones;1  baños;95  m²;Descubre la comodidad y elegancia en este encantador piso de 95 metros cuadrados sin amueblar, ubicado en el corazón de Santander, en la prestigi...;Hace 7 días;Todopisos;890€;Cantabria
Piso en alquiler en Santander, Dávila-Castros;https://rd.clk.thribee.com/id.1q1O1L51JrIK/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.17/;39005, Santander, Provincia de Cantabria;3  habitaciones;2  baños;130  m²;Alquiler temporal para estudiantes en temporada septiembre 2023. Junio 2024. El precio incluye la calefacción central y el agua caliente, dispone...;Hace 13 días;Todopisos;850€;Cantabria
Se alquila vivienda en Prezanes;https://rd.clk.thribee.com/id.1s1h1w1O1-1G1LW/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.18/;39110, Santa Cruz de Bezana, Provincia de Cantabria;3  habitaciones;1  baños;70  m²;¡Descubre tu refugio v perfecto en Prezanes! Esta vivienda v se encuentra en un entorno privilegiado, rodeado de playas y montañas que te permiti...;Hace 20 días;Vadevender;1.800€;Cantabria
Piso en alquiler en Santander, Dávila-Castros;https://rd.clk.thribee.com/id.1sa1v813b171j/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.19/;39006, Santander, Provincia de Cantabria;3  habitaciones;2  baños;90  m²;Alquiler en temporada escolar para estudiantes, solo de Septiembre a Junio. Se encuentra ubicado en la calle Augusto G. Linares, frente a las uni...;Hace 7 días;Todopisos;870€;Cantabria
Aticos en alquiler en Santander, Centro;https://rd.clk.thribee.com/id.51VP1n1P17u1d/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.20/;39009, Centro, Santander, Provincia de Cantabria;2  habitaciones;1  baños;52  m²;Tenemos para ti la vivienda en alquiler que estabas buscando. En Santander, en la calle Antonio López, ático soleado con dos dormitorios, totalme...;Hace +30 días;Todopisos;700€;Cantabria
Piso en alquiler en Santander, Centro-Puertochico;https://rd.clk.thribee.com/id.8Y2cw1YLU/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.21/;39004, Centro, Santander, Provincia de Cantabria;2  habitaciones;1  baños;60  m²;Alquilo piso en tetuán, amueblado para la temporada de sept a junio. A 5 m del centro y de las universidades, con parada de bus a la puerta ´~Pis...;Hace +30 días;Todopisos;740€;Cantabria
4 dormitorio, Santander 39006 1ES70903-;https://rd.clk.thribee.com/id.1YT1K1jU1EvH/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.22/;39006, Santander, Provincia de Cantabria;4  habitaciones;2  baños;-;TRV70903---. Piso en alquiler de 4 habitaciones en Canalejas, Santander. Se alquila piso amueblado de 4 habitaciones en el P. Âº MenÃ©ndez Pelayo...;Hace 19 días;Listanza;2.000€;Cantabria
Piso en alquiler en Isla, -playa;https://rd.clk.thribee.com/id.1YlI1n1e1V1HT/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.23/;39195, Isla Playa, Arnuero, Provincia de Cantabria;2  habitaciones;1  baños;50  m²;Piso en muy buen estado situado a pie de la Playa de El Sable dispone de 2 dormitorios (2 camas de 150 cm), baño con ducha y espacio de salón-com...;Hace +30 días;Todopisos;;Cantabria
Piso en alquiler en Santander, Centro;https://rd.clk.thribee.com/id.1b1p111XtF1z1A/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.24/;39001, Centro, Santander, Provincia de Cantabria;3  habitaciones;1  baños;80  m²;Mies de Rial pone en alquiler para fijo esta preciosa vivienda en el Centro de Santander, muy cerca del Ayuntamiento, en pleno centro de Santande...;Hace 7 días;Todopisos;850€;Cantabria
Piso en alquiler en Santander, Centro;https://rd.clk.thribee.com/id.1Tk1iHt1W1HW/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.3578trovit-web-7fddc9494f-fzz656692dbba98f6e/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.7/cookieid.1020012016692dbba834ab6.49078247/pos.25/;39012, Centro, Santander, Provincia de Cantabria;2  habitaciones;1  baños;-;Alquilo piso en el centro para temporada de sept a junio, zona muy bien comunicada, todos los servicios, a un paso como bus, hospital, ayuntamien...;Hace +30 días;Todopisos;670€;Cantabria
Piso en alquiler en Santander, Sardinero;https://rd.clk.thribee.com/id.lt__1F1rVD/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.1/;39005, Santander, Provincia de Cantabria;2  habitaciones;1  baños;65  m²;...la calle Juan de Herrera nº 3, en Suances Plaza de Viares nº 3 o por Torrelavega en la Avda Cantabria nº 20 y estaremos encantados de atenderle...;Hace +30 días;Todopisos;800€;Cantabria
Piso en alquiler en Laredo, Centro;https://rd.clk.thribee.com/id.p7K1e141rF1Y/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.2/;39770, Laredo, Provincia de Cantabria;3  habitaciones;1  baños;120  m²;...1.170~Mes: 2.050~SEPTIEMBRE: 1ª Quincena: 1.170~2ª Quincena: 1.20~Mes: 2.050~. Para más información: Garanty Home Cantabria 942 40 8- --...;Hace +30 días;Todopisos;2.050€;Cantabria
Piso en alquiler en Laredo;https://rd.clk.thribee.com/id.S12FdmV1AX/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.3/;39770, Laredo, Provincia de Cantabria;2  habitaciones;1  baños;70  m²;...mar. Para mas información visiten nuestra web: o contacte con nosotros en el teléfono. Ksa13, tu agencia inmobiliaria de confianza en Cantabria...;Hace +30 días;Todopisos;;Cantabria
Bungalow en alquiler en Guarnizo, Ayuntamiento de el astillero;https://rd.clk.thribee.com/id.T1oQz1_wE6/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.4/;39611, Guarnizo, El Astillero, Provincia de Cantabria;3  habitaciones;2  baños;165  m²;...y cantabria en el alquiler de viviendas. Os garantizamos un buen trabajo, calidad profesional y el mejor trato personalizado de nuestro equipo...;Hace 13 días;Todopisos;1.400€;Cantabria
Apartamento en alquiler en Laredo, Casco Viejo;https://rd.clk.thribee.com/id.o1J46l51YB/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.5/;39770, Laredo, Provincia de Cantabria;1  habitaciones;1  baños;50  m²;...inquilino. Julio: 1.100. Agosto: 1.600. (Otras fechas, consultar disponibilidad y precio). Más información: Garanty Home Cantabria 942 40 8- --...;Hace +30 días;Todopisos;1.100€;Cantabria
Piso en alquiler en Santander, Centro-Puertochico;https://rd.clk.thribee.com/id.X1o31P01dHV/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.6/;39004, Centro, Santander, Provincia de Cantabria;4  habitaciones;3  baños;200  m²;...la calle Juan de Herrera nº 3, en Suances Plaza de Viares nº 3 o por Torrelavega en la Avda Cantabria nº 20 y estaremos encantados de atenderle...;Hace +30 días;Todopisos;2.000€;Cantabria
Piso en alquiler en Noja, Centro;https://rd.clk.thribee.com/id.Xz1mNJWw12/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.7/;39180, Noja, Provincia de Cantabria;2  habitaciones;1  baños;68  m²;...mar. Pónganse en contacto con nosotros, SIN COMISIONES. Teléfono. Correo electrónico: Ksa13, tu agencia inmobiliaria de confianza en Cantabria...;Hace +30 días;Todopisos;;Cantabria
Casa rural en pujayo;https://rd.clk.thribee.com/id.b1bIUs61x0/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.8/;Bárcena de Pie de Concha, Provincia de Cantabria;3  habitaciones;1  baños;76  m²;...Casa Ubicada en Pujayo, Bárcena de Pie de Concha, este idílico pueblo fue declarado como uno de los lugares más hermosos de Cantabria...;Hace +30 días;Vadevender;1.500€;Cantabria
Piso en alquiler en Santander, Cazoña-Albericia-Alisal;https://rd.clk.thribee.com/id.X111zv1w1P1MZ/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.9/;39012, Cazoña, Santander, Provincia de Cantabria;1  habitaciones;1  baños;60  m²;...la calle Juan de Herrera nº 3, en Suances Plaza de Viares nº 3 o por Torrelavega en la Avda Cantabria nº 20 y estaremos encantados de atenderle...;Hace +30 días;Todopisos;800€;Cantabria
Piso en alquiler en Noja, Palacio;https://rd.clk.thribee.com/id.R1-1x1a1sbL_/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.10/;39180, Noja, Provincia de Cantabria;2  habitaciones;2  baños;66  m²;...visiten nuestra web: o contacte con nosotros en el teléfono. Ksa13, tu agencia inmobiliaria de confianza en Cantabria. Sin comisiones...;Hace +30 días;Todopisos;1.000€;Cantabria
Chalet en alquiler en Santander, Sardinero;https://rd.clk.thribee.com/id.d1NX1Y1T1q1t1z/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.11/;39005, Santander, Provincia de Cantabria;4  habitaciones;2  baños;175  m²;...la calle Juan de Herrera nº 3, en Suances Plaza de Viares nº 3 o por Torrelavega en la Avda Cantabria nº 20 y estaremos encantados de atenderle...;Hace +30 días;Todopisos;7.000€;Cantabria
Piso en alquiler en Santander, Dávila-Castros;https://rd.clk.thribee.com/id.j1G12G1t1J1Fa/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.12/;39005, Santander, Provincia de Cantabria;3  habitaciones;2  baños;112  m²;...la calle Juan de Herrera nº 3, en Suances Plaza de Viares nº 3 o por Torrelavega en la Avda Cantabria nº 20 y estaremos encantados de atenderle...;Hace +30 días;Todopisos;890€;Cantabria
Casas de pueblo en alquiler en Hazas de Cesto, Beranga Zona Tranquila;https://rd.clk.thribee.com/id.m01_1x101MbK/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.13/;39730, Hazas de Cesto, Provincia de Cantabria;3  habitaciones;1  baños;90  m²;...salón y habitación multifuncional. Precios: SEMANA: 430€~QUICENA: 820€~MES: 1.500€~Para más información: Garanty Home Cantabria 623 57 1- --...;Hace +30 días;Todopisos;1.500€;Cantabria
Piso en alquiler en Noja, Playa de Ris;https://rd.clk.thribee.com/id.Q1x1N1S1Y1SH5/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.14/;39180, Noja, Provincia de Cantabria;2  habitaciones;2  baños;75  m²;...mar. Pónganse en contacto con nosotros, SIN COMISIONES. Teléfono. Correo electrónico: Ksa13, tu agencia inmobiliaria de confianza en Cantabria...;Hace +30 días;Todopisos;;Cantabria
Piso en alquiler en Noja, Playa de Ris;https://rd.clk.thribee.com/id.T131t1X15y1Mk/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.15/;39180, Noja, Provincia de Cantabria;2  habitaciones;2  baños;70  m²;...mar. Pónganse en contacto con nosotros, SIN COMISIONES. Teléfono. Correo electrónico: Ksa13, tu agencia inmobiliaria de confianza en Cantabria...;Hace +30 días;Todopisos;1.000€;Cantabria
Apartamento en alquiler en Laredo, EVER;https://rd.clk.thribee.com/id._W1e1VJN-1W/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.16/;39770, Laredo, Provincia de Cantabria;1  habitaciones;1  baños;49  m²;...Para más información: Garanty Home Cantabria. Agosto: Semana: 602~Quincena: 1.012~Ocupado hasta el 17 de agosto. Otras fechas: consultar...;Hace +30 días;Todopisos;1.600€;Cantabria
Piso en alquiler en Noja, Playa de Ris;https://rd.clk.thribee.com/id.ahi1b1pu2C/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.17/;39180, Noja, Provincia de Cantabria;3  habitaciones;2  baños;90  m²;...mas. Ponganse en contacto con nosotros, SIN COMISIONES. Telefono. Correo electronico: Ksa13, tu agencia inmobiliaria de confianza en Cantabria...;Hace +30 días;Todopisos;;Cantabria
Piso en alquiler en Noja, Playa Trengandin;https://rd.clk.thribee.com/id.kWr1YUdL-/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.18/;39180, Noja, Provincia de Cantabria;3  habitaciones;2  baños;78  m²;...mar. Pónganse en contacto con nosotros, SIN COMISIONES. Teléfono. Correo electrónico: Ksa13, tu agencia inmobiliaria de confianza en Cantabria...;Hace +30 días;Todopisos;;Cantabria
Piso en alquiler en Noja, Centro;https://rd.clk.thribee.com/id.p18LOG1F1d1n/origin.1/section.1/section_type.2/country.es/vertical.homes/iuid.279065trovit-web-7fddc9494f-m6rt26692dbbf23549/tracking.%7B%22cmp%22%3A%22u%22%7D/what_d.provincia%20cantabria/type.2/page.4/cookieid.10211576692dbbf093267.30035099/pos.19/;39180, Noja, Provincia de Cantabria;3  habitaciones;2  baños;90  m²;...con nosotros. Telefono. Correo electronico: Ksa13, tu agencia inmobiliaria de confianza en Cantabria. Solicite Visita, atencion personalizada...;Hace +30 días;Todopisos;;Cantabria
