precio;sub_descr;href;ubicacion;habitaciones;mt2;planta;otros;latitude;longitude;banios;CCAA
700 €/mes;Apartamento en calle Ancha de la Virgen;/alquilar/apartamento-realejo18009-6696926687_100500/;Realejo (Granada Capital);1 hab.;65 m²;1ª planta;Bonito apartamento amueblado de 1 dormitorio muy céntrico, en calle ancha de la virgen junto al corte inglés. Rodeado de todo tipo...;37.1714551;-3.5953233;1 baño;granada
350 €/mes;Piso en calle de Ganivet;/alquilar/piso-zona_calle_poniente_avenida_cristobal_colon18100-44182256304_103800/;Zona Calle Poniente-Avenida Cristóbal Colón (Armilla);4 habs.;120 m²;2ª planta;Piso  en armilla, con 120 m² construidos, 4 dormitorios, 2 baños, buen estado, exterior, planta 2, amueblado. ¿ Estas buscando alq...;37.1443442;-3.6257445;;granada
385 €/sem;Casa adosada en calle Al Club, nº 19;/alquilar/casa_adosada-almunecar_centro_urbano-945856908445356_109700/;Velilla (Almuñécar);2 habs.;100 m²;;Casa totalmente reformada y consta de 2 dormitorios ( uno de ellos con cama extra grande de 150x 2m y el otro dormitorio con 2 ca...;36.7392;-3.67181;2 baños;granada
880 €/sem;Casa en Avenida de los Pinos, 34;/alquilar/casa-almunecar_los_pinos-240363243_173200/;Velilla (Almuñécar);3 habs.;180 m²;;En los pinos inmobiliaria grupo iris alquila preciosa villa en estilo andaluz rodeada de pinares sobre el mar mediterráneo. Situad...;36.738892722159875;-3.6744493246078496;3 baños;granada
650 €/mes;Piso en La Chana;/alquilar/piso-granada_capital_chana18015-45006423662_100500/;Chana (Granada Capital);2 habs.;64 m²;1ª planta;Te presentamos este fantástico piso de alquiler recién reformado en la chana. Este acogedor piso ha sido renovado por completo par...;37.1927815;-3.6261221;1 baño;granada
200 €/día;Piso en Avenida de la Marina del Este, 73;/alquilar/piso-marina_del_este_punta_de_la_mona-42566489521_525717/;Marina del Este-Punta de la Mona (Almuñécar);3 habs.;120 m²;3ª planta;Altura piso 3º, piso superficie total 120 m², superficie útil 110 m², hab. Individuales: 2, habitaciones dobles: 1, 2 baños, aire ...;36.726036;-3.7277658;2 baños;granada
900 €/mes;Apartamento en Paseo de Cotobro;/alquilar/apartamento-cotobro-32519045320_512325/;Cotobro (Almuñécar);1 hab.;60 m²;7ª planta;No se alquila todo el año. En la mejor zona de almuñécar disponemos de un piso muy coqueto situado a primera linea de playa al fin...;36.7338827;-3.7053824;1 baño;granada
700 €/mes;Piso en calle de Darro del Boquerón;/alquilar/piso-granada_capital_centro_catedral18001-45019954519_512614/;Centro-Catedral (Granada Capital);2 habs.;60 m²;3ª planta;Se alquila pisoa estudiantes en la zona centro-catedral. Situado en un 3º piso, con una superficie total de 60 m² distribuidos en ...;37.1813272;-3.6012196;2 baños;granada
870 €/mes;Apartamento en Plaza de Toros;/alquilar/apartamento-pajaritos_plaza_de_toros18012-35011407408_100500/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);3 habs.;95 m²;3ª planta;"¡Bienvenido a tu nuevo hogar en plaza de toros!

Este encantador piso de 3 habitaciones es el sueño de cualquier estudiante que bu...";37.1899089;-3.6095497;1 baño;granada
850 €/mes;Piso en Avenida de la Ilustración;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45053429922_100500/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;90 m²;1ª planta;Se alquila precioso piso en gran manzana con muebles en el campus de la salud. La vivienda cuenta con 90 metros construidos,2 balc...;37.1495373;-3.6026683;1 baño;granada
700 €/sem;Chalet pareado en calle Enebro, nº 8;/alquilar/chalet_pareado-las_palomas_cerro_gordo-152524819_173200/;Las Palomas-Cerro Gordo (Almuñécar);3 habs.;140 m²;;Inmobiliaria grupo iris alquilas para cortas estancias en la herradura , en pleno paraje natural de cerro gordo este fantastico ch...;36.73615130376844;-3.763123573552246;3 baños;granada
1.050 €/mes;Casa adosada en Campus Salud;/alquilar/casa_adosada-armilla_san_miguel18100-45068511764_100500/;San Miguel (Armilla);3 habs.;127 m²;;Ponemos en alquiler esta fantástica casa de dos plantas que consta de 127m², con 3 habitaciones, 2 baños y 90m de terraza. En la p...;37.1490925;-3.6132167;2 baños;granada
A consultar;Apartamento en Las Flores-La Huerta;/alquilar/apartamento-las_flores_la_huerta-43349657790_995390/;Las Flores-La Huerta (Las Gabias);1 hab.;60 m²;1ª planta;Bonito  apartamento  nuevo  a  estrenar,  1  dormitorio , salon moderno  con  television   de  pantalla   plana   ,  cocina  ameri...;37.133342932;-3.667957499;1 baño;granada
1.300 €/mes;Ático en calle Hinojosa;/alquilar/atico-granada_capital_centro_catedral18001-44204643701_512614/;Centro-Catedral (Granada Capital);4 habs.;128 m²;;Se alquila ático duplex a estudiantes este magnífico ático que se encuentra en la zona centro-catedral de granada capital junto a ...;37.1784691;-3.6004107;2 baños;granada
1.200 €/mes;Casa en Carretera de Otura;/alquilar/casa-villa_de_otura_centro_urbano-45094566452_100500/;Villa de Otura;4 habs.;250 m²;;Descubre este oasis de serenidad y lujo en la encantadora localidad de otura, donde el confort moderno se encuentra con la tranqui...;37.0824415;-3.6353578;3 baños;granada
1.200 €/mes;Piso en Centro;/alquilar/piso-figares_san_anton18005-45069322159_100500/;Figares-San Antón (Granada Capital);2 habs.;75 m²;6ª planta;Te presentamos este espectacular piso recién reformado en la emblemática calle recogidas. Con un diseño moderno y funcional, esta ...;37.1724808;-3.6017203;2 baños;granada
1.000 €/mes;Piso en Campus de La Salud;/alquilar/piso-armilla_san_anton18100-45019780432_100500/;San Antón (Armilla);3 habs.;81 m²;2ª planta;"¡Amplio y luminoso piso con plaza de garaje en alquiler de larga temporada!

Este fantástico piso de 3 dormitorios se encuentra en...";37.150338;-3.6076061;2 baños;granada
1.050 €/mes;Piso en Avenida Andaluces;/alquilar/piso-pajaritos_plaza_de_toros18014-45042538186_100500/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);3 habs.;160 m²;5ª planta;Estudiantes!! No dejéis pasar esta oportunidad!! Alquilamos este gran piso en avenida andaluces. Rodeados de todos los servicios, ...;37.1852202;-3.6082944;2 baños;granada
375 €/mes;Piso en Avenida Dilar;/alquilar/piso-zaidin_vergeles18007-45020210880_103800/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);3 habs.;72 m²;;Piso  en avenida dilar, con 72 m² construidos, 3 dormitorios, 1 baños, reformado, exterior, planta baja, cocina con electrodomésti...;37.1528986;-3.6009762;;granada
220 €/mes;Piso en Zaidin;/alquilar/piso-zaidin_vergeles18007-40017973427_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);1 hab.;94 m²;6ª planta;Inmobiliaria garcia delgado alquila habitacion en la zona del zaidin (zona estadio de futbol los carmenes), habitacion en piso com...;37.153079628;-3.597957322;2 baños;granada
A consultar;Piso en calle Golondrina;/alquilar/piso-torrenueva_costa_torrenueva-43376549371_510584/;Torrenueva (Torrenueva Costa);3 habs.;65 m²;2ª planta;Bonito piso en alquiler vacacional en torrenueva costa. Disfrute de una excelente estancia en este piso de 3 habitaciones, salon, ...;36.702299;-3.4876678;1 baño;granada
750 €/mes;Estudio en Constitucion;/alquilar/estudio-granada_capital_centro_catedral18001-45055810186_100500/;Centro-Catedral (Granada Capital);;35 m²;;Disponible en julio! Estudio recién reformado en pleno centro de granada, con 35 m² es todo lo que necesitas para estar en el cent...;37.1820908;-3.6026315;1 baño;granada
900 €/mes;Piso en Hipercor;/alquilar/piso-camino_de_ronda18004-24230763442_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);3 habs.;90 m²;1ª planta;Atención estudiantes piso  disponible para el curso 24/25  bonito piso de tres dormitorios en una de las mejores zonas para vivir ...;37.1812145;-3.6151383;1 baño;granada
850 €/mes;Piso en Zaidin;/alquilar/piso-zaidin_vergeles18006-45003585448_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);3 habs.;80 m²;Bajo;Disponible desde ya!! Piso exterior muy luminoso y con buenas vistas, aportando así un nivel excepcional de luz natural. Completam...;37.1600166;-3.5993726;1 baño;granada
800 €/mes;Estudio en Centro;/alquilar/estudio-granada_capital_centro_catedral18002-41670307113_100500/;Centro-Catedral (Granada Capital);1 hab.;40 m²;;Estudio en pleno centro de granada, rodeado de todo tipo de comercios, cuenta con salón con salida a terraza, cocina americana, do...;37.1759942;-3.6032179;1 baño;granada
1.300 €/mes;Piso en Camino de Ronda;/alquilar/piso-camino_de_ronda18004-35069154731_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);4 habs.;115 m²;Bajo;Buscando piso para el proximo curso aqui lo tienes ,magnifico piso en el camino de ronda con excelente ubicación a un paso del cen...;37.168926298;-3.605224693;2 baños;granada
430 €/mes;Estudio en Avenida de Madrid;/alquilar/estudio-san_ildefonso_hospital_real18012-45071034393_526436/;San Ildefonso Hospital Real (Distrito Beiro. Granada Capital);1 hab.;40 m²;;Se alquila bonito estudio amueblado centrico. Zona triunfo. Hospital real. Avenida madrid. Ideal estudiante. Master.opositor@.curs...;37.1863553;-3.603777956;1 baño;granada
975 €/mes;Piso en Avenida de la Ilustración, 129;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45026611948_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);3 habs.;103 m²;2ª planta;Este fantástico piso en alquiler se encuentra en la zona de campus de la salud-palacio de los deportes en granada capital. Situado...;37.149727;-3.5984533;2 baños;granada
750 €/mes;Piso en calle Laguna de la Mosca, 2;/alquilar/piso-camino_de_los_neveros_serrallo-45035241782_100500/;Camino de los Neveros-Serrallo (Distrito Genil. Granada Capital);1 hab.;70 m²;3ª planta;Se alquila excepcional piso en calle laguna de la mosca, muy cerca del centro comercial serrallo. El edificio dispone de ascensor....;37.1598;-3.58158;1 baño;granada
800 €/mes;Casa en calle Rueda Bolas, 6;/alquilar/casa-albaicin_distrito-40836652901_993435/;Albaicín (Granada Capital);2 habs.;100 m²;;¡No pierdas la oportunidad de vivir en esta encantadora casa adosada en albaicín! Con una ubicación privilegiada en una zona tranq...;37.17863363333469;-3.5978335612742542;2 baños;granada
950 €/mes;Piso en calle de la Pianista Rosa Sabater, 1;/alquilar/piso-genil_cervantes18008-45079532237_526983/;Cervantes (Distrito Genil. Granada Capital);3 habs.;140 m²;2ª planta;¡Descubre tu nuevo hogar en una de las mejores zonas de granada! Este precioso piso de 140 m² construidos y 135 m² útiles te ofrec...;37.158657;-3.5876467;2 baños;granada
650 €/mes;Estudio en calle Capri;/alquilar/estudio-zaidin_vergeles18007-44253331358_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);1 hab.;30 m²;;;37.1585252;-3.5971994;1 baño;granada
800 €/mes;Piso en calle Tórtola, 9;/alquilar/piso-pajaritos_plaza_de_toros18014-45018143745_998322/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);3 habs.;87 m²;3ª planta;Piso amueblado de tres dormitorios, salón, cocina y baño solo para estudiantes. Requisitos económicos avalistas. Para mas informac...;37.185383;-3.6102393;1 baño;granada
3.000 €/mes;Ático en Puerta Real;/alquilar/atico-figares_san_anton18005-45050633378_100500/;Figares-San Antón (Granada Capital);4 habs.;180 m²;;Impresionante ático situado en el mismo centro de granada, puerta real, situado en una octava planta con una distribución impecabl...;37.1722818;-3.5995075;2 baños;granada
1.600 €/mes;Piso en calle calle;/alquilar/piso-calahonda_carchuna18730-35857156232_105400/;Calahonda-Carchuna (Motril);2 habs.;75 m²;3ª planta;Referencia: 663bb  se alquila 2ª quincena de agosto en calahonda . Piso que se distribuye en dos dormitorios, aseo y cuarto de bañ...;36.6993788;-3.4182914;2 baños;granada
1.000 €/mes;Piso en calle del Compositor Ruiz Aznar, 8;/alquilar/piso-genil_cervantes18008-45054575584_501273/;Cervantes (Distrito Genil. Granada Capital);3 habs.;120 m²;4ª planta;En la encantadora ciudad de granada capital se encuentra este amplio piso en venta. Con una superficie total de 120 m² y distribui...;37.16672;-3.592237;2 baños;granada
3.000 €/mes;Dúplex en calle Acera del Darro;/alquilar/duplex-figares_san_anton18005-43423570939_516199/;Figares-San Antón (Granada Capital);4 habs.;180 m²;8ª planta;Impresionante ático situado en el mismo centro de granada, situado en una octava planta con una distribución impecable , cuenta co...;37.1723136;-3.5995922;2 baños;granada
790 €/mes;Piso en calle Fontiveros;/alquilar/piso-zaidin_vergeles18008-45013795107_515283/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);3 habs.;104 m²;7ª planta;"Ponemos a vuestra disposición este magnífico piso en alquiler en la mima calle fontiveros.

El piso se encuentra en una 7ª planta ...";37.161209542;-3.592561214;1 baño;granada
1.000 €/mes;Piso en Plaza de la Ciudad De Los Carmenes, 6;/alquilar/piso-beiro_san_francisco_javier18013-40916733323_101800/;San Francisco Javier (Distrito Beiro. Granada Capital);3 habs.;105 m²;;Piso en practicamente nuevo en la plaza ciudad de los carmenes salón totalmente independiente con acceso a terraza , dormitorio pr...;37.1905;-3.60574;2 baños;granada
1.300 €/mes;Piso en calle El Guerra;/alquilar/piso-pajaritos_plaza_de_toros18014-45037166105_100500/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);4 habs.;172 m²;1ª planta;Se pone en alquiler piso de 4 dormitorios 2 baños, con wifi, ventanas de doble acristalamiento, en la calle el guerra. Este piso s...;37.1943501;-3.6116495;2 baños;granada
965 €/mes;Apartamento en calle Rector Pascual Rivas Carrera, 5;/alquilar/apartamento-playa_granada-807191396_173200/;Playa Granada (Motril);2 habs.;93 m²;3ª planta;"Junto al hotel impressive playa granada golf , en pleno campo de golf "" los moriscos"" se alquila apartamento bien amueblado con am...";36.721691;-3.5625744;2 baños;granada
600 €/mes;Piso en calle Junto Hospital Real;/alquilar/piso-san_ildefonso_hospital_real18012-45049841084_998708/;San Ildefonso Hospital Real (Distrito Beiro. Granada Capital);1 hab.;33 m²;1ª planta;"Tqa085   disponible a partir del 1 de julio

Piso de alquiler de 33 m² construidos (30 m² útiles) en triunfo junto a hospital real...";37.1858207;-3.5985125;1 baño;granada
500 €/mes;Piso en calle Norte;/alquilar/piso-la_zubia_centro_urbano-43338759404_106000/;La Zubia;2 habs.;77 m²;Bajo;Piso sin muebles junto al ayuntamiento, ubicado en un bonito edificio con una corrala que tiene todos los servicios a pocos metros...;37.1217343;-3.585477;1 baño;granada
A consultar;Chalet rústico en Rambla Puntalón;/alquilar/chalet_rustico-pueblo_nuevo_las_ventillas-44227472195_520312/;Pueblo Nuevo-Las Ventillas (Motril);3 habs.;140 m²;;"Alquiler vacacional 

Rential inmobiliaria te presenta esta maravillosa casa de campo con piscina donde poder desconectar del ruid...";36.7305773;-3.4849153;2 baños;granada
800 €/mes;Piso en Campus de La Salud;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-43336564090_100500/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;102 m²;3ª planta;Estupendo piso en zona campus de la salud. El piso dispone de dos dormitorios, dos baños, uno de ellos en suite, estupendo salón y...;37.149538;-3.6032158;2 baños;granada
695 €/mes;Apartamento en calle de Quijada, 1;/alquilar/apartamento-granada_capital_centro_catedral-34207322588_525859/;Centro-Catedral (Granada Capital);1 hab.;65 m²;Bajo;"Por favor leer antes de escribir o llamar! Se puede visitar previa cita con los inquilinos.

Disponemos de numerosos inmuebles par...";37.17909366371092;-3.596315408444092;1 baño;granada
700 €/mes;Piso en Realejo;/alquilar/piso-realejo18009-44258479403_108500/;Realejo (Granada Capital);1 hab.;60 m²;;Precioso apartamento en alquiler en pleno corazón de granada. Dispone de 1 amplio dormitorio con armario empotrado, baño completo,...;37.1730859;-3.5968488;1 baño;granada
2.600 €/mes;Apartamento en calle Rector Federico Mayor Zaragoza;/alquilar/apartamento-playa_granada18613-43429167134_999165/;Playa Granada (Motril);2 habs.;94 m²;2ª planta;"Alquiler vacacional para el mes de agosto.
Bonito piso en urbanización los moriscos de playa granada. Disponible el mes de agosto....";36.7198541;-3.5501501;2 baños;granada
1.200 €/mes;Piso en Camino de Ronda, 93;/alquilar/piso-camino_de_ronda18004-35038058207_100500/;Camino de Ronda (Distrito Ronda. Granada Capital);4 habs.;109 m²;6ª planta;"Piso en alquiler en camino de ronda, junto gimnasio yo10, a un paso del parque garcia lorca
Un piso reformado, amplio, confortable...";37.1733;-3.60801;;granada
875 €/mes;Piso en Cervantes;/alquilar/piso-zaidin_vergeles18006-45022711377_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);3 habs.;81 m²;4ª planta;Aqui tienes tu oportunidad de alquilar un piso integramente reformado con mobiliario a estrenar en una zona privilegiada, los verg...;37.1630602;-3.5948306;1 baño;granada
900 €/mes;Piso en Camino de Ronda;/alquilar/piso-figares_san_anton18005-45083877182_100500/;Figares-San Antón (Granada Capital);3 habs.;89 m²;6ª planta;"Piso de alquiler totalmente amueblado en el centro de granada.
Consta de tres habitaciones, salón amplio, cocina amueblado,baño y ...";37.167875;-3.6021788;1 baño;granada
650 €/mes;Apartamento en calle Recogidas;/alquilar/apartamento-figares_san_anton18005-45047600804_998849/;Figares-San Antón (Granada Capital);1 hab.;50 m²;2ª planta;Agencia nf, alquila bonito estudio en calle recogidas, disponible para entrar en julio, reformado, calefacción y aire acondicionad...;37.172934;-3.6005533;1 baño;granada
650 €/mes;Piso en Avenida del Sol;/alquilar/piso-cotobro18690-44242713236_103800/;Cotobro (Almuñécar);2 habs.;80 m²;;Se alquila piso en verano, por semanas/quincenas y por meses de octubre a junio. Consulta disponibilidad y precio.;36.7359845;-3.7222998;1 baño;granada
825 €/mes;Piso en Avenida de la Ilustración, 127;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45036116468_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;68 m²;1ª planta;Este encantador piso en alquiler se encuentra en el primer piso de un edificio con ascensor en granada capital. Con una superficie...;37.14985;-3.5984175;1 baño;granada
800 €/mes;Piso en Avenida de la Ilustración, 125;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45009798193_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;86 m²;3ª planta;En granada capital, se encuentra este encantador piso en alquiler. Con una superficie total de 86,39 m² y 2 habitaciones individua...;37.1499;-3.5985074;2 baños;granada
925 €/mes;Piso en Avenida de la Ilustración, 121;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45056247743_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;92 m²;Bajo;Este encantador piso en alquiler se encuentra en la zona de campus de la salud-palacio de los deportes, en granada capital. Con un...;37.149532;-3.5990105;2 baños;granada
1.200 €/mes;Piso en Avenida de Murcia;/alquilar/piso-san_ildefonso_hospital_real18012-45042006505_526436/;San Ildefonso Hospital Real (Distrito Beiro. Granada Capital);4 habs.;130 m²;2ª planta;Ideal piso amueblado centrico. Zona avenida madrid. Plaza san isidro. Ande de capuchinos. Ideal estudiantes. Master.opositor@s.cur...;37.1875561;-3.600959;2 baños;granada
A consultar;Casa en calle de la Cuesta Abadejo;/alquilar/casa-cotobro18690-45006381180_103200/;Cotobro (Almuñécar);3 habs.;120 m²;;Sensacional  casa adosada en  urbanización privada en almuñécar con gran piscina, jardines, pista de ...;36.7365;-3.70429;2 baños;granada
750 €/mes;Apartamento en Paseo de China Gorda, 6;/alquilar/apartamento-cotobro18690-44252835154_103800/;Cotobro (Almuñécar);1 hab.;55 m²;3ª planta;"Se alquila por meses, semanas o quincenas. 
Consultar los precios para los meses de junio, julio, agosto y septiembre.";36.73326097945568;-3.706856280082838;1 baño;granada
650 €/mes;Piso en Paseo de San Cristóbal, 18;/alquilar/piso-almunecar_casco_urbano-45015623114_100500/;Casco Urbano (Almuñécar);2 habs.;65 m²;2ª planta;"Alquiler de temporadas.
Disponible: todo julio
El precio anunciado no corresponde al periodo veraniego (consultar precio)
 Apartam...";36.7345;-3.70179;;granada
850 €/mes;Estudio en calle Avda/ Mediterráneo, nº 51;/alquilar/estudio-cotobro18690-44166884271_103800/;Cotobro (Almuñécar);1 hab.;40 m²;;Se alquila por meses, semanas y quincenas. Precio según temporada. Consúltenos disponibilidad sin compromiso.;36.7433558;-3.701075;1 baño;granada
A consultar;Casa en calle de la Cuesta Abadejo;/alquilar/casa-cotobro18690-45001435046_103200/;Cotobro (Almuñécar);3 habs.;120 m²;;Sensacional  casa adosada en  urbanización privada en almuñécar con gran piscina, jardines, pista de ...;36.7365;-3.70429;2 baños;granada
600 €/mes;Apartamento en calle de Andrés Muller, 1;/alquilar/apartamento-almunecar_casco_urbano-44245999144_103800/;Casco Urbano (Almuñécar);1 hab.;42 m²;1ª planta;Situado en un sitio muy tranquilo y a 5 minutos de la playa, en pleno centro de la ciudad. Se alquila de septiembre a junio, 200€ ...;36.734559147294455;-3.6872398157072466;2 baños;granada
950 €/mes;Piso en Paseo de China Gorda;/alquilar/piso-cotobro18690-44263606164_103800/;Cotobro (Almuñécar);2 habs.;50 m²;7ª planta;Se alquila de septiembre a julio por meses, quincenas o semanas. El precio varía según temporada. Pregunte disponibilidad y precio...;36.7340874;-3.7031885;1 baño;granada
850 €/mes;Apartamento en Avenida del Mediterráneo, 51;/alquilar/apartamento-almunecar_casco_urbano-44171034005_103800/;Casco Urbano (Almuñécar);1 hab.;46 m²;10ª planta;Apartamento de un dormitorio, recientemente renovado, con dos camas grandes, aire acondicionado en habitación y salón. Rincón come...;36.73458512099669;-3.702574338920635;2 baños;granada
390 €/sem;Apartamento en calle Alpaargateros Alta, nº 19;/alquilar/apartamento-san_ildefonso_hospital_real18010-40093541482_993435/;San Ildefonso Hospital Real (Distrito Beiro. Granada Capital);1 hab.;50 m²;1ª planta;Apartamento se alquila por meses y por semanas.  Precioso apartamento amueblado en el albaycin, con espectaculares vistas y precio...;37.184477246689134;-3.598435432514614;1 baño;granada
1.000 €/mes;Piso en callejón de Arenas;/alquilar/piso-figares_san_anton18005-45071830833_100500/;Figares-San Antón (Granada Capital);3 habs.;79 m²;1ª planta;Se alquila piso de 79 m² con 3 dormitorios, un baño, salón, cocina y patio interior ubicado en el centro de granada en callejón de...;37.1685035;-3.5970131;1 baño;granada
190 €/mes;Piso en calle Arzobispo Pedro de Castro;/alquilar/piso-joaquina_eguaras18013-45081103834_526436/;Joaquina Eguaras (Distrito Norte. Granada Capital);4 habs.;120 m²;2ª planta;Se alquilan dos habitaciones en bonito piso amueblado. Zona estacion de autobuses cerca facultades. Ideal estudiantes. Master.opos...;37.2004567;-3.6093402;2 baños;granada
1.600 €/mes;Chalet en calle Almendros;/alquilar/chalet-salobrena_centro_urbano-44211024490_520321/;Salobreña;2 habs.;200 m²;;"Fantastique villa de plain pied entourée d'un charmant jardin, vue mer.
Résidence avec grande piscine communautaire, paddle, tenni...";36.7470892;-3.616347;2 baños;granada
560 €/mes;Piso en C/ Fray Bartolome de Las Casas;/alquilar/piso-residencial_triana_barrio_alto_hijar-45059797182_100500/;Residencial Triana-Barrio Alto-Híjar (Las Gabias);2 habs.;60 m²;1ª planta;Precioso y coqueto piso situado en urbanización privada con 3 piscinas, zona muy céntrica del pueblo cerca de supermercados, autob...;37.139614312;-3.665971719;1 baño;granada
550 €/mes;Casa rústica en calle Estación;/alquilar/casa_rustica-saleres-38340517921_516199/;Saleres (El Valle);1 hab.;80 m²;;Casita rustica en el pueblo de saleres en el valle de lecrin, a 20minutos de granada y de la costa, con buen acceso, ambiente muy ...;36.9294333;-3.5978601;1 baño;granada
550 €/mes;Piso en calle de la Reina Aixa;/alquilar/piso-guadix_centro_urbano-45053861001_100500/;Guadix;4 habs.;100 m²;1ª planta;Se alquila piso en guadix en plaza de sierra nevada, muy luminoso y en perfecto estado. Cuatro dormitorios, dos baños, cocina amue...;37.303244266;-3.137612645;;granada
700 €/mes;Piso en Paseo de San Cristóbal, 18;/alquilar/piso-almunecar_casco_urbano-37560709421_100500/;Casco Urbano (Almuñécar);1 hab.;60 m²;3ª planta;"Costa tropical de granada. Playa de san cristobal 
Disponible.
Alquiler de temporada invernal, escolar hasta junio. 
El precio no ...";36.7345;-3.70179;2 baños;granada
