precio;sub_descr;href;ubicacion;habitaciones;mt2;planta;otros;latitude;longitude;banios;CCAA
620 €/mes;Piso en Alhedin;/alquilar/piso-alhendin_centro_urbano-44244183539_100500/;Alhendín;2 habs.;80 m²;Bajo;Se alquila piso independiente con entrada desde la calle en alhedin por la zona del ayuntamiento y rodeado de todo tipo de comerci...;37.1061534;-3.6442785;1 baño;granada
800 €/mes;Piso en Avenida de la Ilustración, 125;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45009798193_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;86 m²;3ª planta;En granada capital, se encuentra este encantador piso en alquiler. Con una superficie total de 86,39 m² y 2 habitaciones individua...;37.1499;-3.5985074;2 baños;granada
390 €/sem;Apartamento en calle Alpaargateros Alta, nº 19;/alquilar/apartamento-san_ildefonso_hospital_real18010-40093541482_993435/;San Ildefonso Hospital Real (Distrito Beiro. Granada Capital);1 hab.;50 m²;1ª planta;Apartamento se alquila por meses y por semanas.  Precioso apartamento amueblado en el albaycin, con espectaculares vistas y precio...;37.184477246689134;-3.598435432514614;1 baño;granada
1.600 €/mes;Piso en calle calle;/alquilar/piso-calahonda_carchuna18730-35857156232_105400/;Calahonda-Carchuna (Motril);2 habs.;75 m²;3ª planta;Referencia: 663bb  se alquila 2ª quincena de agosto en calahonda . Piso que se distribuye en dos dormitorios, aseo y cuarto de bañ...;36.6993788;-3.4182914;2 baños;granada
650 €/mes;Piso en Churiana de La Vega;/alquilar/piso-churriana_de_la_vega_casco_antiguo-44175419702_100500/;Casco Antiguo (Churriana de La Vega);2 habs.;86 m²;2ª planta;"""¡Disfruta de la vida en el corazón de churriana de la vega! Este luminoso apartamento, situado en la avenida principal, te ofrece...";37.1465184;-3.6482819;1 baño;granada
650 €/mes;Estudio en calle Capri;/alquilar/estudio-zaidin_vergeles18007-44253331358_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);1 hab.;30 m²;;;37.1585252;-3.5971994;1 baño;granada
1.300 €/mes;Piso en calle El Guerra;/alquilar/piso-pajaritos_plaza_de_toros18014-45037166105_100500/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);4 habs.;172 m²;1ª planta;Se pone en alquiler piso de 4 dormitorios 2 baños, con wifi, ventanas de doble acristalamiento, en la calle el guerra. Este piso s...;37.1943501;-3.6116495;2 baños;granada
1.000 €/mes;Piso en calle del Compositor Ruiz Aznar, 8;/alquilar/piso-genil_cervantes18008-45054575584_501273/;Cervantes (Distrito Genil. Granada Capital);3 habs.;120 m²;4ª planta;En la encantadora ciudad de granada capital se encuentra este amplio piso en venta. Con una superficie total de 120 m² y distribui...;37.16672;-3.592237;2 baños;granada
3.000 €/mes;Ático en Puerta Real;/alquilar/atico-figares_san_anton18005-45050633378_100500/;Figares-San Antón (Granada Capital);4 habs.;180 m²;;Impresionante ático situado en el mismo centro de granada, puerta real, situado en una octava planta con una distribución impecabl...;37.1722818;-3.5995075;2 baños;granada
695 €/mes;Apartamento en calle de Quijada, 1;/alquilar/apartamento-granada_capital_centro_catedral-34207322588_525859/;Centro-Catedral (Granada Capital);1 hab.;65 m²;Bajo;"Por favor leer antes de escribir o llamar! Se puede visitar previa cita con los inquilinos.

Disponemos de numerosos inmuebles par...";37.17909366371092;-3.596315408444092;1 baño;granada
1.000 €/mes;Piso en callejón de Arenas;/alquilar/piso-figares_san_anton18005-45071830833_100500/;Figares-San Antón (Granada Capital);3 habs.;79 m²;1ª planta;Se alquila piso de 79 m² con 3 dormitorios, un baño, salón, cocina y patio interior ubicado en el centro de granada en callejón de...;37.1685035;-3.5970131;1 baño;granada
965 €/mes;Apartamento en calle Rector Pascual Rivas Carrera, 5;/alquilar/apartamento-playa_granada-807191396_173200/;Playa Granada (Motril);2 habs.;93 m²;3ª planta;"Junto al hotel impressive playa granada golf , en pleno campo de golf "" los moriscos"" se alquila apartamento bien amueblado con am...";36.721691;-3.5625744;2 baños;granada
3.000 €/mes;Dúplex en calle Acera del Darro;/alquilar/duplex-figares_san_anton18005-43423570939_516199/;Figares-San Antón (Granada Capital);4 habs.;180 m²;8ª planta;Impresionante ático situado en el mismo centro de granada, situado en una octava planta con una distribución impecable , cuenta co...;37.1723136;-3.5995922;2 baños;granada
800 €/mes;Chalet en Calahonda-Carchuna;/alquilar/chalet-calahonda_carchuna18730-44170106908_108500/;Calahonda-Carchuna (Motril);3 habs.;140 m²;;Disponible  en alquiler esta encantadora casa en primera línea de playa, en calahonda.  Con un amplio y bonito salón con dos zonas...;36.6959238;-3.4187966;2 baños;granada
1.000 €/mes;Piso en Plaza de la Ciudad De Los Carmenes, 6;/alquilar/piso-beiro_san_francisco_javier18013-40916733323_101800/;San Francisco Javier (Distrito Beiro. Granada Capital);3 habs.;105 m²;;Piso en practicamente nuevo en la plaza ciudad de los carmenes salón totalmente independiente con acceso a terraza , dormitorio pr...;37.1905;-3.60574;2 baños;granada
790 €/mes;Piso en calle Fontiveros;/alquilar/piso-zaidin_vergeles18008-45013795107_515283/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);3 habs.;104 m²;7ª planta;"Ponemos a vuestra disposición este magnífico piso en alquiler en la mima calle fontiveros.

El piso se encuentra en una 7ª planta ...";37.161209542;-3.592561214;1 baño;granada
600 €/mes;Piso en calle Junto Hospital Real;/alquilar/piso-san_ildefonso_hospital_real18012-45049841084_998708/;San Ildefonso Hospital Real (Distrito Beiro. Granada Capital);1 hab.;33 m²;1ª planta;"Tqa085   disponible a partir del 1 de julio

Piso de alquiler de 33 m² construidos (30 m² útiles) en triunfo junto a hospital real...";37.1858207;-3.5985125;1 baño;granada
800 €/mes;Piso en Campus de La Salud;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-43336564090_100500/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;102 m²;3ª planta;Estupendo piso en zona campus de la salud. El piso dispone de dos dormitorios, dos baños, uno de ellos en suite, estupendo salón y...;37.149538;-3.6032158;2 baños;granada
500 €/mes;Piso en calle Norte;/alquilar/piso-la_zubia_centro_urbano-43338759404_106000/;La Zubia;2 habs.;77 m²;Bajo;Piso sin muebles junto al ayuntamiento, ubicado en un bonito edificio con una corrala que tiene todos los servicios a pocos metros...;37.1217343;-3.585477;1 baño;granada
1.500 €/mes;Piso en calle Fray Leopoldo de Alpandeire;/alquilar/piso-pajaritos_plaza_de_toros18014-45057192591_100500/;Pajaritos-Plaza de Toros (Distrito Beiro. Granada Capital);5 habs.;200 m²;3ª planta;"¡¡Gran oportunidad en  granada!! Ponemos en alquiler este fantástico piso en una de las mejores zonas de la ciudad

 Este amplio p...";37.1846687;-3.6076047;3 baños;granada
2.600 €/mes;Apartamento en calle Rector Federico Mayor Zaragoza;/alquilar/apartamento-playa_granada18613-43429167134_999165/;Playa Granada (Motril);2 habs.;94 m²;2ª planta;"Alquiler vacacional para el mes de agosto.
Bonito piso en urbanización los moriscos de playa granada. Disponible el mes de agosto....";36.7198541;-3.5501501;2 baños;granada
840 €/mes;Piso en calle del Periodista Luis Seco de Lucena, 3;/alquilar/piso-los_periodistas_parque_almunia_albayda18014-45011762667_100500/;Los Periodistas-Parque Almunia-Albayda (Granada Capital);3 habs.;118 m²;2ª planta;Piso en alquiler para larga temporada, contratos anuales. Situado en barrio de los periodistas, parque almunia. Cerca de edificio ...;37.1979;-3.62767;;granada
850 €/mes;Piso en Camino de Ronda;/alquilar/piso-granada_capital_chana18015-37597085252_100500/;Chana (Granada Capital);4 habs.;120 m²;2ª planta;Estupendo piso de 120 metros muy luminoso en residencial cerrado, con amplias zonas comunes, se trata de un fabuloso piso de 4 dor...;37.1872154;-3.6162101;2 baños;granada
220 €/mes;Piso en Zaidin;/alquilar/piso-zaidin_vergeles18007-40017973427_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);1 hab.;94 m²;6ª planta;Inmobiliaria garcia delgado alquila habitacion en la zona del zaidin (zona estadio de futbol los carmenes), habitacion en piso com...;37.153079628;-3.597957322;2 baños;granada
850 €/mes;Piso en calle Xauen;/alquilar/piso-zaidin_vergeles18007-45010842029_100500/;Zaidín-Vergeles (Distrito Zaidín. Granada Capital);3 habs.;107 m²;5ª planta;¡Descubre tu nuevo hogar en una ubicación privilegiada! Este espacioso piso de 107 m² construidos  se encuentra a un paso del pts...;37.1524675;-3.6018337;1 baño;granada
900 €/mes;Piso en Camino de Ronda;/alquilar/piso-figares_san_anton18005-45083877182_100500/;Figares-San Antón (Granada Capital);3 habs.;89 m²;6ª planta;"Piso de alquiler totalmente amueblado en el centro de granada.
Consta de tres habitaciones, salón amplio, cocina amueblado,baño y ...";37.167875;-3.6021788;1 baño;granada
825 €/mes;Piso en Avenida de la Ilustración, 127;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45036116468_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;68 m²;1ª planta;Este encantador piso en alquiler se encuentra en el primer piso de un edificio con ascensor en granada capital. Con una superficie...;37.14985;-3.5984175;1 baño;granada
650 €/mes;Piso en Avenida del Sol;/alquilar/piso-cotobro18690-44242713236_103800/;Cotobro (Almuñécar);2 habs.;80 m²;;Se alquila piso en verano, por semanas/quincenas y por meses de octubre a junio. Consulta disponibilidad y precio.;36.7359845;-3.7222998;1 baño;granada
950 €/mes;Piso en Paseo de China Gorda;/alquilar/piso-cotobro18690-44263606164_103800/;Cotobro (Almuñécar);2 habs.;50 m²;7ª planta;Se alquila de septiembre a julio por meses, quincenas o semanas. El precio varía según temporada. Pregunte disponibilidad y precio...;36.7340874;-3.7031885;1 baño;granada
600 €/mes;Apartamento en calle de Andrés Muller, 1;/alquilar/apartamento-almunecar_casco_urbano-44245999144_103800/;Casco Urbano (Almuñécar);1 hab.;42 m²;1ª planta;Situado en un sitio muy tranquilo y a 5 minutos de la playa, en pleno centro de la ciudad. Se alquila de septiembre a junio, 200€ ...;36.734559147294455;-3.6872398157072466;2 baños;granada
800 €/mes;Casa en calle Rueda Bolas, 6;/alquilar/casa-albaicin_distrito-40836652901_993435/;Albaicín (Granada Capital);2 habs.;100 m²;;¡No pierdas la oportunidad de vivir en esta encantadora casa adosada en albaicín! Con una ubicación privilegiada en una zona tranq...;37.17863363333469;-3.5978335612742542;2 baños;granada
925 €/mes;Piso en Avenida de la Ilustración, 121;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45056247743_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);2 habs.;92 m²;Bajo;Este encantador piso en alquiler se encuentra en la zona de campus de la salud-palacio de los deportes, en granada capital. Con un...;37.149532;-3.5990105;2 baños;granada
975 €/mes;Piso en Avenida de la Ilustración, 129;/alquilar/piso-campus_de_la_salud_palacio_de_los_deportes18016-45026611948_997271/;Campus de la Salud-Palacio de los Deportes (Distrito Zaidín. Granada Capital);3 habs.;103 m²;2ª planta;Este fantástico piso en alquiler se encuentra en la zona de campus de la salud-palacio de los deportes en granada capital. Situado...;37.149727;-3.5984533;2 baños;granada
A consultar;Casa en calle de la Cuesta Abadejo;/alquilar/casa-cotobro18690-45006381180_103200/;Cotobro (Almuñécar);3 habs.;120 m²;;Sensacional  casa adosada en  urbanización privada en almuñécar con gran piscina, jardines, pista de ...;36.7365;-3.70429;2 baños;granada
850 €/mes;Estudio en calle Avda/ Mediterráneo, nº 51;/alquilar/estudio-cotobro18690-44166884271_103800/;Cotobro (Almuñécar);1 hab.;40 m²;;Se alquila por meses, semanas y quincenas. Precio según temporada. Consúltenos disponibilidad sin compromiso.;36.7433558;-3.701075;1 baño;granada
750 €/mes;Apartamento en Paseo de China Gorda, 6;/alquilar/apartamento-cotobro18690-44252835154_103800/;Cotobro (Almuñécar);1 hab.;55 m²;3ª planta;"Se alquila por meses, semanas o quincenas. 
Consultar los precios para los meses de junio, julio, agosto y septiembre.";36.73326097945568;-3.706856280082838;1 baño;granada
850 €/mes;Apartamento en Avenida del Mediterráneo, 51;/alquilar/apartamento-almunecar_casco_urbano-44171034005_103800/;Casco Urbano (Almuñécar);1 hab.;46 m²;10ª planta;Apartamento de un dormitorio, recientemente renovado, con dos camas grandes, aire acondicionado en habitación y salón. Rincón come...;36.73458512099669;-3.702574338920635;2 baños;granada
600 €/mes;Piso en calle calle Real;/alquilar/piso-torrenueva_costa_torrenueva-37571460654_100500/;Torrenueva (Torrenueva Costa);2 habs.;56 m²;1ª planta;Alquiler de septiembre de 2024 a junio de 2025, piso recién reformado, mobiliario nuevo, cocina nueva, 2 habitaciones con cama de ...;36.7048843;-3.4912638;1 baño;granada
A consultar;Casa en calle de la Cuesta Abadejo;/alquilar/casa-cotobro18690-45001435046_103200/;Cotobro (Almuñécar);3 habs.;120 m²;;Sensacional  casa adosada en  urbanización privada en almuñécar con gran piscina, jardines, pista de ...;36.7365;-3.70429;2 baños;granada
A consultar;Apartamento en Paseo de Velilla, 21;/alquilar/apartamento-velilla_distrito-45000580314_108500/;Velilla (Almuñécar);2 habs.;80 m²;;Maravilloso apartamento muy bien cuidado y equipado con dos dormitorios, salón con sofá cama y terraza, cocina totalmente equipada...;36.7399;-3.66839;1 baño;granada
A consultar;Ático en calle del Tesorillo;/alquilar/atico-velilla_distrito-34250578474_108500/;Velilla (Almuñécar);2 habs.;90 m²;;Dos habitaciones.  Baño y aseo. Gran terraza. Piscina. Parking dentro de la urbanización. Wifi. Consulta precio y disponibilidad[i...;36.744;-3.66487;3 baños;granada
800 €/mes;Apartamento en Camino de Gójar;/alquilar/apartamento-la_zubia_centro_urbano-45087336585_100500/;La Zubia;1 hab.;72 m²;Bajo;Espectacular apartamento tipo loft en la zubia, prácticamente a estrenar, con aerotermia. Dispone de 1 dormitorio, baño completo, ...;37.116639315;-3.59992589;1 baño;granada
500 €/mes;Piso en Atarfe;/alquilar/piso-atarfe_centro_urbano-45093587477_100500/;Atarfe;1 hab.;49 m²;2ª planta;Piso con un dormitorio, baño completo con plato de ducha, salón-cocina y terraza. 49m² construidos, 43m² útiles. Exterior y amuebl...;37.2255543;-3.6801792;;granada
550 €/mes;Piso en calle de la Reina Aixa;/alquilar/piso-guadix_centro_urbano-45053861001_100500/;Guadix;4 habs.;100 m²;1ª planta;Se alquila piso en guadix en plaza de sierra nevada, muy luminoso y en perfecto estado. Cuatro dormitorios, dos baños, cocina amue...;37.303244266;-3.137612645;;granada
500 €/mes;Piso en calle de la Ermita, 8;/alquilar/piso-dilar_centro_urbano-45037142212_100500/;Dílar;2 habs.;60 m²;1ª planta;(disponible para entrar a partir del 1 de julio de 2024 ) precioso piso en una de las localidades mas tranquilas y bonitas de la p...;37.0737;-3.60106;1 baño;granada
650 €/mes;Piso en Paseo de San Cristóbal, 18;/alquilar/piso-almunecar_casco_urbano-45015623114_100500/;Casco Urbano (Almuñécar);2 habs.;65 m²;2ª planta;"Alquiler de temporadas.
Disponible: todo julio
El precio anunciado no corresponde al periodo veraniego (consultar precio)
 Apartam...";36.7345;-3.70179;;granada
1.200 €/mes;Piso en calle del Aconcagua;/alquilar/piso-camino_de_los_neveros_serrallo-44220751912_100500/;Camino de los Neveros-Serrallo (Distrito Genil. Granada Capital);3 habs.;134 m²;Bajo;Disponible piso tres dormitorios , dos baños en zona serrallo. Dentro de una urbanización con zonas comunes , piscina , pista de p...;37.1589448;-3.5779562;2 baños;granada
1.100 €/mes;Piso en calle Playa de Cotobro;/alquilar/piso-cotobro18697-35051047021_100500/;Cotobro (Almuñécar);2 habs.;100 m²;1ª planta;"Costa tropical de granada

El precio anunciado no corresponde a los meses de verano ( consultar precio)
Dsiponible: todo julio

Ap...";36.7344194;-3.7145923;;granada
800 €/mes;Casa adosada en calle Urbanizacion Monteverde, nº 3 -9;/alquilar/casa_adosada-guadix_centro_urbano-44236818152_100500/;Guadix;3 habs.;195 m²;;"Vivienda sita en urbanización monteverde, vivienda: 3-9 cp 18500 guadix (granada)
Consta la citada vivienda de 3 plantas, y zona a...";37.2962;-3.12846;;granada
750 €/mes;Piso en Paseo de Velilla, 48;/alquilar/piso-velilla_distrito-44200709764_100500/;Velilla (Almuñécar);1 hab.;59 m²;10ª planta;"Alquiler de temporadas. 
Dsiponible: septiembre a junio
El precio anunciado no corresponde al periodo estival. (consultar precio)
...";36.7431;-3.66468;;granada
550 €/mes;Estudio en Paseo de San Cristóbal;/alquilar/estudio-almunecar_casco_urbano-35083424530_100500/;Casco Urbano (Almuñécar);;37 m²;;"Alquiler de temporadas.
Precio hasta abril.
El precio no incluye facturas de agua y electricidad
Edificio chinasol. Apartamento es...";36.7342;-3.70247;1 baño;granada
750 €/mes;Piso en Plaza de Kuwait;/alquilar/piso-almunecar_casco_urbano-40011333219_520321/;Casco Urbano (Almuñécar);3 habs.;100 m²;1ª planta;Piso en primera planta, exposición este, da al interior del edificio mirando a la piscina comunitaria con lo cual no tiene ruidos ...;36.735580112;-3.692614807;2 baños;granada
850 €/mes;Piso en calle de Santiago, 25;/alquilar/piso-realejo18009-38400018532_100500/;Realejo (Granada Capital);2 habs.;79 m²;2ª planta;Gran piso, en pleno realejo, uno de los mejores barrios de granada. A estrenar, completamente nuevo y moderna decoración. Muy bien...;37.1722;-3.593;2 baños;granada
850 €/mes;Casa pareada en calle del Barranco los Marinos;/alquilar/casa_pareada-cotobro18690-44177386460_100500/;Cotobro (Almuñécar);2 habs.;108 m²;;"Alquiler de temporadas
El precio anunciado no corresponde a los meses de verano.

¡Descubre esta bonita casa en la exclusiva urban...";36.736;-3.70319;1 baño;granada
