precio;sub_descr;href;ubicacion;habitaciones;banios;otros;latitude;longitude;mt2;planta;CCAA
1.300 €/mes;;/alquilar/apartamento-mogarizas_las_rapaces-42502066906_103800/;Mogarizas-Las Rapaces (Chiclana de la Frontera);3 habs.;2 baños;Vacaciones. Apartamento en aldea del coto en primera planta, con tres dormitorios, dos baños, terraza y plaza de parking. Capacida...;36.3797492;-6.1740087;97 m²;1ª planta;cadiz
130 €/mes;;/alquilar/piso-conil_de_la_frontera_centro_urbano-43379174939_102200/;Conil de la Frontera;2 habs.;1 baño;"www.casasalacarta.es en exclusiva para nuestros clientes

Alquiler  solamente vacacional, los precios van en función de la tempora...";36.2776231;-6.0804466;140 m²;2ª planta;cadiz
900 €/mes;;/alquilar/piso-el_puerto_de_santa_maria_centro-45066643803_100500/;Centro (El Puerto de Santa María);2 habs.;1 baño;Piso en precioso edificio totalmente reformado en pleno centro histórico. El edificio cuenta con 2 grandes patios exteriores, asce...;36.6011583;-6.2237366;70 m²;Bajo;cadiz
550 €/mes;;/alquilar/piso-barrio_alto-41667118296_100500/;Barrio Alto (Sanlúcar de Barrameda);2 habs.;1 baño;"¡¡¡¡¡¡ Nueva fecha diponible desde el 8/18 de  agosto!!!!

¡¡¡ Alquiler vacacional 2024!!! ¡¡¡Precioso atico !!  Ya solo queda del...";36.7749433;-6.3509065;70 m²;3ª planta;cadiz
500 €/mes;;/alquilar/piso-centro_calzada-35080998400_100500/;Centro-Calzada (Sanlúcar de Barrameda);2 habs.;1 baño;"Novedad¡¡¡¡¡ Alquiler vacacional zona centro/playa disponible todas las fechas!!!!!!
Estupendo piso de 2 dormitorios , 1 cama dobl...";36.7794696;-6.3592401;70 m²;1ª planta;cadiz
900 €/mes;;/alquilar/piso-la_caleta_la_vina11002-45053834819_513533/;La Caleta-La Viña (Cádiz Capital);3 habs.;1 baño;Alquileres cádiz les ofrece una vivienda en el barrio de la viña, para unas fabulosas vacaciones de verano en la ciudad, cerca de ...;36.5310144;-6.3028621;61 m²;3ª planta;cadiz
3.500 €/mes;;/alquilar/chalet_adosado-el_aguila_las_redes_fuentebravia-44235310196_104700/;El Águila-Las Redes-Fuentebravía (El Puerto de Santa María);3 habs.;1 baño;Puerto playa pone en alquiler vacacional este espectacular unifamiliar con vistas desde el dormitorio al mar, gracias a su magnífi...;36.6072914;-6.2809647;90 m²;;cadiz
800 €/mes;;/alquilar/piso-san_jose_varela_la_laguna-10866604570_501539/;San José-Varela-La Laguna (Cádiz Capital);3 habs.;2 baños;"Libre del 01 al 31 de julio y del 14 de agosto al 31 de agosto. Preguntar precio segun disponibilidad.
Temporada escolar: 800€ men...";36.5165671;-6.2805307;96 m²;1ª planta;cadiz
600 €/mes;;/alquilar/piso-sanlucar_de_barrameda_las_piletas-16685628598_100500/;Las Piletas (Sanlúcar de Barrameda);2 habs.;2 baños;Alquiler turistico !!!!! Magnifico piso situado en zona residencial, en la playa de las piletas, comercios, colegios, supermercado...;36.7765138;-6.3696061;70 m²;Bajo;cadiz
1.500 €/mes;;/alquilar/piso-cadiz_capital_centro_historico11004-45055027320_100500/;Centro Histórico (Cádiz Capital);2 habs.;2 baños;Luz del sur inmobiliaria le ofrece este bonito piso de dos dormitorios  para alquiler por quincena (actualmente libre segunda sema...;36.5332778;-6.2942618;86 m²;1ª planta;cadiz
550 €/mes;;/alquilar/piso-sanlucar_de_barrameda_las_piletas-25856398462_100500/;Las Piletas (Sanlúcar de Barrameda);2 habs.;1 baño;Alquiler  vacacional disponible julio y agosto !!! Piso en zona centro  y cerca de la playa, 2 dormitorios, baño, cocina totalment...;36.7773802;-6.3577092;80 m²;Bajo;cadiz
1.500 €/mes;;/alquilar/piso-barbate_centro_urbano-40076535174_102200/;Barbate;4 habs.;2 baños;"Casasalacarta.es, te ofrecemos esta única oportunidad de poder disfruttar de esta fabulosa casa en caños de meca a pie de playa.

...";36.193162899;-5.923497694;100 m²;;cadiz
650 €/mes;;/alquilar/piso-el_mentidero_teatro_falla_alameda11003-42509054612_100500/;El Mentidero-Teatro Falla-Alameda (Cádiz Capital);1 hab.;1 baño;"Alquiler curso escolar 2024/2025

Os presentamos este magnífico inmueble en una de las zonas más cotizadas de la ciudad, cerca de ...";36.5349824;-6.3003739;60 m²;1ª planta;cadiz
3.300 €/mes;;/alquilar/piso-centro_zona_playas-42541037464_100500/;Centro-Zona Playas (Chipiona);2 habs.;1 baño;Magnífico y cómodo piso en primera línea de playa, dispone de 2 dormitorios, salón-comedor con sofá cama, cocina totalmente equipa...;36.7433323;-6.4313582;60 m²;;cadiz
500 €/mes;;/alquilar/piso-sanlucar_de_barrameda_las_piletas-24207042538_100500/;Las Piletas (Sanlúcar de Barrameda);3 habs.;2 baños;"¡¡ Alquiler 
¡¡¡¡ Temporada escolar 500€/mes!!! ¡¡¡ Plaza de garaje !!!
¡¡¡¡¡ Temporada vacacional consulte disponibilidad!!!!

Zo...";36.775129;-6.3591167;80 m²;2ª planta;cadiz
9.000 €/mes;;/alquilar/casa-sotogrande_alto11310-45060865144_106000/;Sotogrande Alto (Sotogrande);5 habs.;5 baños;Villa de arquitectura moderna y muy diáfana por dentro, tiene muy buenas vistas, es muy tranquila pues es un cull de sac con orien...;36.2762204;-5.3357144;500 m²;;cadiz
2.500 €/mes;;/alquilar/chalet-el_aguila_las_redes_fuentebravia-43391321735_100500/;El Águila-Las Redes-Fuentebravía (El Puerto de Santa María);6 habs.;5 baños;"Alquiler de temporada escolar

Chalet ubicado en la urbanización el aguila, zona tranquila, cerca de centros comerciales con todo ...";36.5996733;-6.2646036;204 m²;;cadiz
750 €/mes;;/alquilar/piso-la_caleta_la_vina-85857283544_516894/;La Caleta-La Viña (Cádiz Capital);3 habs.;1 baño;Cadizsur servicios inmobiliarios les presenta ésta vivienda en alquiler de temporada escolar , en pleno centro histórico junto a l...;36.5298308;-6.298068;80 m²;2ª planta;cadiz
950 €/mes;;/alquilar/piso-puerto_real_centro_urbano-44221883787_100500/;Puerto Real;3 habs.;2 baños;Se alquila bonito piso en casines de 90 m². La vivienda se distribuye en hall de entrada, cocina independiente equipada con frigor...;36.523724;-6.1764752;100 m²;3ª planta;cadiz
1.700 €/mes;;/alquilar/chalet-el_puerto_de_santa_maria_vistahermosa-42588045926_100500/;Vistahermosa (El Puerto de Santa María);4 habs.;2 baños;"Chalet ubicado en vistahermosa a menos de 5 minutos andando de la playa y del club del buzo.

Distribuido en 2 plantas con porche ...";36.584217;-6.2667671;174 m²;;cadiz
850 €/mes;;/alquilar/piso-centro_calzada-22540699556_100500/;Centro-Calzada (Sanlúcar de Barrameda);3 habs.;1 baño;"Opourtinidad de piso en zona playa!! Alquiler vacacional!!  A pie de playa!!!!
Piso de 3 dormitorios ( cama de matrimonio y tres c...";36.7832768;-6.3577011;90 m²;3ª planta;cadiz
5.400 €/mes;;/alquilar/casa_adosada-sancti_petri_playa_de_la_barrosa11139-5916667541_100500/;Costa de Sancti Petri-Playa de La Barrosa (Chiclana de la Frontera);3 habs.;2 baños;Se alquila estupendo adosado en la urb. Las arenas, situada a escasos metros de la playa de la barrosa. La vivienda se divide en d...;36.374858;-6.1857195;80 m²;;cadiz
1.000 €/mes;;/alquilar/piso-centro_calzada-42515392628_103800/;Centro-Calzada (Sanlúcar de Barrameda);3 habs.;;Piso  en calzada de la duquesa, con 90 m² construidos, 70 m² útiles, 3 dormitorios, 1 baños, reformado, exterior, planta 3, 2 arma...;36.7810544;-6.3569839;90 m²;3ª planta;cadiz
700 €/mes;;/alquilar/piso-cortadura_zona_franca-10834785389_501539/;Cortadura-Zona Franca (Cádiz Capital);2 habs.;1 baño;"Se alquila para verano 2023. Preguntar precio y disponibilidad.
Luminoso, tranquilo y alegre piso, ideal para pasar unas estupenda...";36.4965767;-6.2715329;72 m²;5ª planta;cadiz
6.000 €/mes;;/alquilar/casa-sancti_petri_playa_de_la_barrosa11139-92523653618_100500/;Costa de Sancti Petri-Playa de La Barrosa (Chiclana de la Frontera);3 habs.;2 baños;"Esta unifamiliar está situada en la segunda pista, a pocos metros de la playa.
 La vivienda tiene piscina privada, porche, tres ha...";36.3663192;-6.1702714;100 m²;;cadiz
600 €/mes;;/alquilar/piso-chipiona_la_laguna-45866354082_100500/;La Laguna (Chipiona);3 habs.;1 baño;"Disponible solo septiembre, magnífica ubicación junto a la playa de regla y del santuario (3 minutos a pie). 
Precio a consultar s...";36.7314037;-6.436858;83 m²;2ª planta;cadiz
2.700 €/mes;;/alquilar/casa_adosada-novo_sancti_petri11139-27549094940_100500/;Novo Sancti Petri-Loma de Sancti Petri (Chiclana de la Frontera);3 habs.;2 baños;"Se alquila estupendo adosado en novo sancti petri. Urbanización pinar del novo. 
 Planta baja: hall de entrada, salón con salida a...";36.3444863;-6.1552189;130 m²;;cadiz
2.900 €/mes;;/alquilar/atico-novo_sancti_petri11139-31742396972_100500/;Novo Sancti Petri-Loma de Sancti Petri (Chiclana de la Frontera);3 habs.;2 baños;"Primera quincena de agosto ocupado. 
Se alquila estupendo ático en la urb. El atardecer (novo sancti petri). 
Consta de 3 dormitor...";36.351628837;-6.163448962;120 m²;;cadiz
600 €/mes;;/alquilar/apartamento-fuentenueva_salesianos-35048121102_100500/;Fuentenueva-Salesianos (Algeciras);2 habs.;2 baños;Altura piso 2º, apartamento superficie total 80 m², superficie útil 75 m², hab. Individuales: 1, habitaciones dobles: 1, 2 baños, ...;36.1282576;-5.4522327;48 m²;1ª planta;cadiz
A consultar;;/alquilar/chalet-el_puerto_de_santa_maria_centro-45047087311_100500/;Centro (El Puerto de Santa María);5 habs.;4 baños;"Magnifico chalet independiente en el puerto de santa maría en la urbanización vistahermosa. 
Se alquila por fines de semana, por s...";36.5952573;-6.2643389;140 m²;;cadiz
600 €/mes;;/alquilar/piso-centro_calzada-37503592408_100500/;Centro-Calzada (Sanlúcar de Barrameda);4 habs.;2 baños;¡¡¡¡¡Alquiler vacacional !!!! No anual. Estupendo piso en la mejor zona de sanlucar de barrameda, junto a la estación de autobuses...;36.7801338;-6.3595168;100 m²;2ª planta;cadiz
67 €/día;;/alquilar/piso-centro_calzada-25073193570_100500/;Centro-Calzada (Sanlúcar de Barrameda);2 habs.;1 baño;Precioso piso en alquiler vacacional!!!! Semanas, quincenas, mes completo, ( fines de semana ( 67€/dia entrada viernes y salida do...;36.7826112;-6.350299;80 m²;1ª planta;cadiz
800 €/mes;;/alquilar/piso-san_jose_varela_la_laguna11010-45067291691_100500/;San José-Varela-La Laguna (Cádiz Capital);3 habs.;1 baño;1. Piso → piso en cadiz zona avenida, 72 m. De superficie, 3 habitaciones,  un baño, propiedad reformada, cocina equipada, carpint...;36.5038363;-6.2728505;72 m²;4ª planta;cadiz
650 €/mes;;/alquilar/piso-el_aguila_las_redes_fuentebravia-44214126756_104700/;El Águila-Las Redes-Fuentebravía (El Puerto de Santa María);2 habs.;1 baño;Novedad! Puerto playa pone  en  alquiler escolar ( septiembre a junio) este precioso piso de dos dormitorios junto a la playa de  ...;36.6113604;-6.285526;70 m²;;cadiz
6.000 €/mes;;/alquilar/casa_adosada-novo_sancti_petri_loma_de_sancti_petri11139-44210354830_100500/;Novo Sancti Petri-Loma de Sancti Petri (Chiclana de la Frontera);3 habs.;3 baños;"Se alquila estupendo adosado en la urbanización la loma de sancti petri. 
Vivienda con salón, cocina y dormitorio principal amplia...";36.338133561;-6.145024516;115 m²;;cadiz
900 €/mes;;/alquilar/piso-el_puerto_de_santa_maria_valdelagrana-43345987699_104700/;Valdelagrana (El Puerto de Santa María);2 habs.;1 baño;Puerto playa alquila este fantastico apartamento de dos dormitorios totalmente reformado a estrenar,, muebles, sofa cama , ventana...;36.5738001;-6.2221113;70 m²;10ª planta;cadiz
650 €/mes;;/alquilar/apartamento-el_mentidero_teatro_falla_alameda11003-38377061576_100500/;El Mentidero-Teatro Falla-Alameda (Cádiz Capital);1 hab.;1 baño;Inmobiliaria vivencadiz os presente este coqueto apartamento completamente reformado y equipado, disponible para temporada escolar...;36.5347521;-6.3000871;45 m²;1ª planta;cadiz
550 €/mes;Apartamento en Camino de los Enamorados, 35;/alquilar/apartamento-pinar_alto_crevillet_menesteo-44250730010_528266/;Pinar Alto-Crevillet-Menesteo (El Puerto de Santa María);1 hab.;1 baño;Ocasion vacacional junto a la playa por 550€ la semana. Alquiler de apartamento a 2min de la playa andando , no anual, disponible ...;36.59082857281683;-6.241470319342568;50 m²;1ª planta;cadiz
1.550 €/mes;;/alquilar/piso-playa_de_la_victoria-45065319566_265000/;Playa de la Victoria (Cádiz Capital);3 habs.;2 baños;Estupendo piso  de 140 m²,  3 habitaciones ( 1 tipo suite y 2 dobles),  2 baños completos, amplia cocina a estrenar, lavadero, com...;36.5094775;-6.2789471;140 m²;3ª planta;cadiz
750 €/mes;;/alquilar/piso-algeciras_centro11201-45003012160_100500/;Centro (Algeciras);4 habs.;2 baños;1. Piso → piso en algeciras zona centro, 114 m. De superficie, 4 habitaciones dobles, 2 baños, propiedad en buen estado, cocina eq...;36.1316992;-5.4500809;114 m²;1ª planta;cadiz
1.800 €/mes;;/alquilar/chalet_unifamiliar-el_aguila_las_redes_fuentebravia-44194528372_528266/;El Águila-Las Redes-Fuentebravía (El Puerto de Santa María);4 habs.;3 baños;"Alquiler anual a partir de julio chalet en el soto de vistahermosa sin muebles, magnífica ubicación y orientación (sur)
La viviend...";36.600323324;-6.250533919;145 m²;;cadiz
800 €/mes;;/alquilar/piso-rinconcillo-45025664864_100500/;Rinconcillo (Algeciras);3 habs.;2 baños;1. Piso → piso en algeciras zona  - san jose artesano - el rosario, 100 m. De superficie, 3 habitaciones dobles, 2 baños, propieda...;36.157704845;-5.45710855;100 m²;5ª planta;cadiz
900 €/mes;;/alquilar/piso-la_paz_segunda_aguado_loreto11011-45043040497_100500/;La Paz-Segunda Aguado-Loreto (Cádiz Capital);3 habs.;1 baño;A pocos minutos de la playa, piso en cadiz zona avenida, 71 m. De superficie, 3 habitaciones,  un baño, propiedad en buen estado, ...;36.5034951;-6.2716288;71 m²;2ª planta;cadiz
2.200 €/mes;;/alquilar/chalet-urbanizaciones_zona_norte-44182115840_100500/;Urbanizaciones Zona Norte (El Puerto de Santa María);4 habs.;2 baños;"Fersa inmobiliaria ofrece en exclusiva alquiler anual de chalet con piscina en montes de oca.
Chalet independiente distribuido en ...";36.6257577;-6.2435624;281 m²;;cadiz
2.000 €/mes;;/alquilar/casa_adosada-san_garcia_getares-38351335476_100500/;San García-Getares (Algeciras);3 habs.;2 baños;"Fantástico adosado en san garcía  solo mes de junio y julio o quincenas de julio

En urbanización special getares, junto a la play...";36.1029048;-5.4433351;130 m²;;cadiz
1.000 €/mes;;/alquilar/apartamento-rota_zona_norte11520-42529427345_526725/;Zona Norte (Rota);2 habs.;1 baño;A que esperas, quieres descansar y tener unos dias de playa. En urbanización tranquila y a 2 manzanas de salida a playa, pregunte ...;36.6256344;-6.3585487;55 m²;2ª planta;cadiz
3.000 €/mes;Piso en Avenida de la Ballena, 2;/alquilar/piso-costa_ballena-35855749235_101800/;Costa Ballena (Rota);3 habs.;2 baños;"Disponible 1-15 julio 2024: 2270 €

Piso en alquiler en costa ballena, rota. Intergolf. Código de turismo (vft/ca/12116). Capacida...";36.6905;-6.40651;127 m²;1ª planta;cadiz
3.000 €/mes;;/alquilar/atico-centro_calzada-42553817851_100500/;Centro-Calzada (Sanlúcar de Barrameda);2 habs.;1 baño;"¡Espectacular atico en pleno centro de sanlucar de barrameda!

De este increíble atico lo mas destacable es su amplia terraza con ...";36.7787566;-6.3537584;90 m²;;cadiz
1.005 €/mes;Apartamento en calle Mozart, 3;/alquilar/apartamento-playa_de_las_tres_piedras_costa_ballena-43343473663_101800/;Playa de las Tres Piedras-Costa Ballena (Chipiona);2 habs.;2 baños;"Disponible septiembre y octubre 2024

Bajo en alquiler en urbanización jardines del infante, costa ballena, chipiona. Signatura rt...";36.6978;-6.41292;110 m²;;cadiz
460 €/mes;;/alquilar/piso-centro_calzada-44234791411_100500/;Centro-Calzada (Sanlúcar de Barrameda);1 hab.;1 baño;"Nuevo !!! Apartamentos turisticos en alquiler,disponibilidad julio y agosto!!
En todo el centro de la ciudad , junto a  calle anch...";36.7804403;-6.352398;60 m²;;cadiz
900 €/mes;;/alquilar/piso-la_caleta_la_vina11001-45850240804_514376/;La Caleta-La Viña (Cádiz Capital);4 habs.;1 baño;Alquiler anual  de amplio piso en el campo del sur, consta de 4 dormitorios, 1 baño, cocina y salón con terraza  cerrada. Amueblad...;36.528063;-6.3034866;105 m²;2ª planta;cadiz
600 €/mes;;/alquilar/piso-centro_calzada-37518859776_100500/;Centro-Calzada (Sanlúcar de Barrameda);3 habs.;2 baños;"Solo temporada escolar y vacacional, no anual. 

Consulta precios y fechas disponibles.

Piso en calle ancha, en pleno centro de l...";36.7795585;-6.3520453;98 m²;1ª planta;cadiz
2.900 €/mes;;/alquilar/casa-urbanizaciones_zona_norte-42511021017_106000/;Urbanizaciones Zona Norte (El Puerto de Santa María);5 habs.;3 baños;"Ref: ralmhoj24 -
Ofertas verano - pregunta por precios por semana / quincena en julio y agosto.
Cómodo alojamiento independiente d...";36.6093467;-6.2697287;190 m²;;cadiz
950 €/mes;;/alquilar/piso-playa_de_la_victoria11008-43420822600_521698/;Playa de la Victoria (Cádiz Capital);1 hab.;1 baño;Se alquila luminoso piso en la playa de la victoria, en una 5ª planta con impresionantes vistas al mar. Con una superficie total d...;36.5128986;-6.2814818;40 m²;5ª planta;cadiz
300 €/mes;;/alquilar/piso-jerez_de_la_frontera_centro11401-45096885763_520608/;Centro (Jerez de la Frontera);4 habs.;2 baños;Alquiler por habitaciones para estudiantes y profesores. Os traemos una vivienda en la calle campana para alquilar por habitacione...;36.6798216;-6.1325533;121 m²;2ª planta;cadiz
600 €/mes;;/alquilar/apartamento-jerez_de_la_frontera_centro11404-44232740304_996776/;Centro (Jerez de la Frontera);1 hab.;1 baño;Apto en alquiler ubicado a dos minutos del centro de jerez, consta de un dormitorio, salón, cocina y baño, se encuentra completame...;36.6892399;-6.1419817;60 m²;1ª planta;cadiz
800 €/mes;;/alquilar/piso-cortadura_zona_franca11011-45011372383_513533/;Cortadura-Zona Franca (Cádiz Capital);2 habs.;1 baño;"Alquileres cádiz les ofrece un magnifico piso en pleno paseo marítimo frente a la principal playa de en la capital gaditana.
Esta ...";36.4989183;-6.273703;65 m²;7ª planta;cadiz
115 €/día;;/alquilar/piso-el_puerto_de_santa_maria_centro-36710493467_526583/;Centro (El Puerto de Santa María);3 habs.;1 baño;Se alquila encantador piso, moderno y funcional, ideal para vacaciones cerca de centros educativos, servicios de restauración y oc...;36.5963774;-6.2278455;60 m²;1ª planta;cadiz
1.300 €/mes;;/alquilar/apartamento-mogarizas_las_rapaces-43360093359_103800/;Mogarizas-Las Rapaces (Chiclana de la Frontera);2 habs.;1 baño;Se alquila apartamento en residencial privado con piscina comunitaria, consta de dos dormitorios, con cama de matrimonio y cama-ni...;36.3800844;-6.1744119;60 m²;1ª planta;cadiz
650 €/mes;;/alquilar/piso-este11406-45062536950_100500/;Este (Jerez de la Frontera);3 habs.;1 baño;Espacioso y reformado piso!! No tiene ascensor!!. Tres aires ac.!! Soleado!! Disp. Ya!! Visite ya!!Muy luminoso piso equipado y am...;36.682145391;-6.120189682;80 m²;4ª planta;cadiz
900 €/mes;;/alquilar/piso-la_paz_segunda_aguado_loreto11012-45851525876_100500/;La Paz-Segunda Aguado-Loreto (Cádiz Capital);3 habs.;2 baños;"🏡 ¡Descubre tu nuevo hogar en cádiz!

Luz del sur inmobiliaria te presenta este magnífico piso de tres dormitorios, ubicado en un...";36.5133272;-6.2760625;80 m²;10ª planta;cadiz
2.200 €/mes;;/alquilar/chalet_rustico-costa_de_sancti_petri_playa_de_la_barrosa11139-41689776550_516524/;Costa de Sancti Petri-Playa de La Barrosa (Chiclana de la Frontera);4 habs.;2 baños;"Alquiler anual o tempoporada 
¡Increíble chalet independiente en alquiler en la exclusiva zona de la barrosa! Con una ubicación pr...";36.371667546;-6.1665212;190 m²;;cadiz
