
Balance de criminalidad. 2024 - 1er Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
Indicadores de seguridad 2024 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-marzo 2023,enero-marzo 2024,Variación % 2024/2023,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,1.0,-50.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,2.0,1.0,-50.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,2.0,1.0,-50.0,
    6. Robos con violencia e intimidación,3.0,2.0,-33.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,14.0,16.0,14.3,
    7.1.-Robos con fuerza en domicilios,13.0,14.0,7.7,
    8. Hurtos,42.0,66.0,57.1,
    9. Sustracciones de vehículos,1.0,3.0,200.0,
    10. Tráfico de drogas,6.0,3.0,-50.0,
    11. Resto de criminalidad convencional,162.0,133.0,-17.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),21.0,37.0,76.2,
    12.-Estafas informáticas,19.0,30.0,57.9,
    13.-Otros ciberdelitos,2.0,7.0,250.0,
    III. TOTAL INFRACCIONES PENALES,253.0,262.0,3.6,
04013 Almería,
    I. CRIMINALIDAD CONVENCIONAL,1766.0,1822.0,3.2,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,22.0,29.0,31.8,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,26.0,26.0,0.0,
    5.1.-Agresión sexual con penetración,5.0,7.0,40.0,
    5.2.-Resto de delitos contra la libertad sexual,21.0,19.0,-9.5,
    6. Robos con violencia e intimidación,43.0,66.0,53.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,94.0,75.0,-20.2,
    7.1.-Robos con fuerza en domicilios,72.0,56.0,-22.2,
    8. Hurtos,472.0,540.0,14.4,
    9. Sustracciones de vehículos,39.0,32.0,-17.9,
    10. Tráfico de drogas,47.0,47.0,0.0,
    11. Resto de criminalidad convencional,1020.0,1006.0,-1.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),328.0,495.0,50.9,
    12.-Estafas informáticas,299.0,463.0,54.8,
    13.-Otros ciberdelitos,29.0,32.0,10.3,
    III. TOTAL INFRACCIONES PENALES,2094.0,2317.0,10.6,
04902 Ejido (El),
    I. CRIMINALIDAD CONVENCIONAL,904.0,870.0,-3.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,24.0,17.0,-29.2,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,7.0,9.0,28.6,
    5.1.-Agresión sexual con penetración,1.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,6.0,7.0,16.7,
    6. Robos con violencia e intimidación,11.0,15.0,36.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,53.0,32.0,-39.6,
    7.1.-Robos con fuerza en domicilios,27.0,21.0,-22.2,
    8. Hurtos,210.0,156.0,-25.7,
    9. Sustracciones de vehículos,9.0,11.0,22.2,
    10. Tráfico de drogas,15.0,20.0,33.3,
    11. Resto de criminalidad convencional,574.0,610.0,6.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),90.0,88.0,-2.2,
    12.-Estafas informáticas,77.0,73.0,-5.2,
    13.-Otros ciberdelitos,13.0,15.0,15.4,
    III. TOTAL INFRACCIONES PENALES,994.0,958.0,-3.6,
04053 Huércal-Overa,
    I. CRIMINALIDAD CONVENCIONAL,132.0,110.0,-16.7,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,0.0,-100.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,5.0,2.0,-60.0,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,4.0,2.0,-50.0,
    6. Robos con violencia e intimidación,0.0,2.0,100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,29.0,9.0,-69.0,
    7.1.-Robos con fuerza en domicilios,28.0,8.0,-71.4,
    8. Hurtos,29.0,25.0,-13.8,
    9. Sustracciones de vehículos,3.0,0.0,-100.0,
    10. Tráfico de drogas,1.0,1.0,0.0,
    11. Resto de criminalidad convencional,62.0,71.0,14.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),26.0,40.0,53.8,
    12.-Estafas informáticas,22.0,35.0,59.1,
    13.-Otros ciberdelitos,4.0,5.0,25.0,
    III. TOTAL INFRACCIONES PENALES,158.0,150.0,-5.1,
04066 Níjar,
    I. CRIMINALIDAD CONVENCIONAL,330.0,315.0,-4.5,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,9.0,13.0,44.4,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,2.0,2.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,2.0,1.0,-50.0,
    6. Robos con violencia e intimidación,11.0,8.0,-27.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,12.0,14.0,16.7,
    7.1.-Robos con fuerza en domicilios,7.0,12.0,71.4,
    8. Hurtos,36.0,42.0,16.7,
    9. Sustracciones de vehículos,0.0,5.0,100.0,
    10. Tráfico de drogas,5.0,3.0,-40.0,
    11. Resto de criminalidad convencional,255.0,228.0,-10.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),40.0,52.0,30.0,
    12.-Estafas informáticas,37.0,45.0,21.6,
    13.-Otros ciberdelitos,3.0,7.0,133.3,
    III. TOTAL INFRACCIONES PENALES,370.0,367.0,-0.8,
04079 Roquetas de Mar,
    I. CRIMINALIDAD CONVENCIONAL,1289.0,1343.0,4.2,
    1. Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,17.0,28.0,64.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,14.0,21.0,50.0,
    5.1.-Agresión sexual con penetración,3.0,6.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,11.0,15.0,36.4,
    6. Robos con violencia e intimidación,47.0,45.0,-4.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,83.0,96.0,15.7,
    7.1.-Robos con fuerza en domicilios,62.0,82.0,32.3,
    8. Hurtos,316.0,305.0,-3.5,
    9. Sustracciones de vehículos,10.0,7.0,-30.0,
    10. Tráfico de drogas,11.0,17.0,54.5,
    11. Resto de criminalidad convencional,790.0,822.0,4.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),117.0,243.0,107.7,
    12.-Estafas informáticas,99.0,206.0,108.1,
    13.-Otros ciberdelitos,18.0,37.0,105.6,
    III. TOTAL INFRACCIONES PENALES,1406.0,1586.0,12.8,
04102 Vícar,
    I. CRIMINALIDAD CONVENCIONAL,347.0,287.0,-17.3,
    1. Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,7.0,75.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,4.0,33.3,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,3.0,0.0,
    6. Robos con violencia e intimidación,3.0,3.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,19.0,17.0,-10.5,
    7.1.-Robos con fuerza en domicilios,11.0,12.0,9.1,
    8. Hurtos,61.0,55.0,-9.8,
    9. Sustracciones de vehículos,3.0,3.0,0.0,
    10. Tráfico de drogas,9.0,11.0,22.2,
    11. Resto de criminalidad convencional,244.0,186.0,-23.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),38.0,41.0,7.9,
    12.-Estafas informáticas,29.0,33.0,13.8,
    13.-Otros ciberdelitos,9.0,8.0,-11.1,
    III. TOTAL INFRACCIONES PENALES,385.0,328.0,-14.8,
Provincia de CÁDIZ,
    I. CRIMINALIDAD CONVENCIONAL,11374.0,10480.0,-7.9,
    1. Homicidios dolosos y asesinatos consumados,4.0,11.0,175.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,13.0,8.0,-38.5,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,170.0,161.0,-5.3,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,109.0,85.0,-22.0,
    5.1.-Agresión sexual con penetración,16.0,16.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,93.0,69.0,-25.8,
    6. Robos con violencia e intimidación,198.0,207.0,4.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,716.0,583.0,-18.6,
    7.1.-Robos con fuerza en domicilios,442.0,382.0,-13.6,
    8. Hurtos,3077.0,2725.0,-11.4,
    9. Sustracciones de vehículos,234.0,253.0,8.1,
    10. Tráfico de drogas,185.0,176.0,-4.9,
    11. Resto de criminalidad convencional,6667.0,6271.0,-5.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2858.0,3304.0,15.6,
    12.-Estafas informáticas,2468.0,2861.0,15.9,
    13.-Otros ciberdelitos,390.0,443.0,13.6,
    III. TOTAL INFRACCIONES PENALES,14232.0,13784.0,-3.1,
11004 Algeciras,
    I. CRIMINALIDAD CONVENCIONAL,1250.0,1176.0,-5.9,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,24.0,21.0,-12.5,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,13.0,8.0,-38.5,
    5.1.-Agresión sexual con penetración,3.0,4.0,33.3,
    5.2.-Resto de delitos contra la libertad sexual,10.0,4.0,-60.0,
    6. Robos con violencia e intimidación,27.0,21.0,-22.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,49.0,41.0,-16.3,
    7.1.-Robos con fuerza en domicilios,26.0,22.0,-15.4,
    8. Hurtos,282.0,218.0,-22.7,
    9. Sustracciones de vehículos,25.0,31.0,24.0,
    10. Tráfico de drogas,47.0,72.0,53.2,
    11. Resto de criminalidad convencional,780.0,764.0,-2.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),219.0,248.0,13.2,
    12.-Estafas informáticas,191.0,207.0,8.4,
    13.-Otros ciberdelitos,28.0,41.0,46.4,
    III. TOTAL INFRACCIONES PENALES,1469.0,1424.0,-3.1,
11006 Arcos de la Frontera,
    I. CRIMINALIDAD CONVENCIONAL,200.0,170.0,-15.0,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,3.0,50.0,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,2.0,3.0,50.0,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,3.0,200.0,
    6. Robos con violencia e intimidación,4.0,4.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,18.0,15.0,-16.7,
    7.1.-Robos con fuerza en domicilios,12.0,13.0,8.3,
    8. Hurtos,52.0,25.0,-51.9,
    9. Sustracciones de vehículos,8.0,3.0,-62.5,
    10. Tráfico de drogas,4.0,6.0,50.0,
    11. Resto de criminalidad convencional,109.0,111.0,1.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),23.0,34.0,47.8,
    12.-Estafas informáticas,14.0,29.0,107.1,
    13.-Otros ciberdelitos,9.0,5.0,-44.4,
    III. TOTAL INFRACCIONES PENALES,223.0,204.0,-8.5,
11007 Barbate,
    I. CRIMINALIDAD CONVENCIONAL,316.0,230.0,-27.2,
    1. Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1.0,3.0,200.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,4.0,3.0,-25.0,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,3.0,0.0,
    6. Robos con violencia e intimidación,4.0,2.0,-50.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,40.0,15.0,-62.5,
    7.1.-Robos con fuerza en domicilios,26.0,13.0,-50.0,
    8. Hurtos,55.0,42.0,-23.6,
    9. Sustracciones de vehículos,1.0,0.0,-100.0,
    10. Tráfico de drogas,2.0,1.0,-50.0,
    11. Resto de criminalidad convencional,209.0,162.0,-22.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),34.0,43.0,26.5,
    12.-Estafas informáticas,32.0,39.0,21.9,
    13.-Otros ciberdelitos,2.0,4.0,100.0,
    III. TOTAL INFRACCIONES PENALES,350.0,273.0,-22.0,
11008 Barrios (Los),
    I. CRIMINALIDAD CONVENCIONAL,234.0,231.0,-1.3,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,0.0,4.0,100.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,3.0,200.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,2.0,100.0,
    6. Robos con violencia e intimidación,2.0,4.0,100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,8.0,5.0,-37.5,
    7.1.-Robos con fuerza en domicilios,3.0,2.0,-33.3,
    8. Hurtos,66.0,70.0,6.1,
    9. Sustracciones de vehículos,3.0,3.0,0.0,
    10. Tráfico de drogas,1.0,2.0,100.0,
    11. Resto de criminalidad convencional,153.0,140.0,-8.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),42.0,86.0,104.8,
    12.-Estafas informáticas,40.0,76.0,90.0,
    13.-Otros ciberdelitos,2.0,10.0,400.0,
    III. TOTAL INFRACCIONES PENALES,276.0,317.0,14.9,
11012 Cádiz,
    I. CRIMINALIDAD CONVENCIONAL,1138.0,1055.0,-7.3,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,15.0,12.0,-20.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,12.0,10.0,-16.7,
    5.1.-Agresión sexual con penetración,1.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,11.0,8.0,-27.3,
    6. Robos con violencia e intimidación,34.0,28.0,-17.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,49.0,43.0,-12.2,
    7.1.-Robos con fuerza en domicilios,19.0,12.0,-36.8,
    8. Hurtos,494.0,432.0,-12.6,
    9. Sustracciones de vehículos,22.0,30.0,36.4,
    10. Tráfico de drogas,11.0,7.0,-36.4,
    11. Resto de criminalidad convencional,500.0,493.0,-1.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),388.0,415.0,7.0,
    12.-Estafas informáticas,309.0,359.0,16.2,
    13.-Otros ciberdelitos,79.0,56.0,-29.1,
    III. TOTAL INFRACCIONES PENALES,1526.0,1470.0,-3.7,
11015 Chiclana de la Frontera,
    I. CRIMINALIDAD CONVENCIONAL,741.0,712.0,-3.9,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,6.0,22.0,266.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,14.0,5.0,-64.3,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,13.0,5.0,-61.5,
    6. Robos con violencia e intimidación,5.0,11.0,120.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,87.0,99.0,13.8,
    7.1.-Robos con fuerza en domicilios,65.0,76.0,16.9,
    8. Hurtos,164.0,135.0,-17.7,
    9. Sustracciones de vehículos,21.0,13.0,-38.1,
    10. Tráfico de drogas,10.0,10.0,0.0,
    11. Resto de criminalidad convencional,433.0,417.0,-3.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),228.0,254.0,11.4,
    12.-Estafas informáticas,188.0,212.0,12.8,
    13.-Otros ciberdelitos,40.0,42.0,5.0,
    III. TOTAL INFRACCIONES PENALES,969.0,966.0,-0.3,
11014 Conil de la Frontera,
    I. CRIMINALIDAD CONVENCIONAL,211.0,158.0,-25.1,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,1.0,-75.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,5.0,100.0,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,3.0,100.0,
    6. Robos con violencia e intimidación,4.0,5.0,25.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,32.0,24.0,-25.0,
    7.1.-Robos con fuerza en domicilios,23.0,21.0,-8.7,
    8. Hurtos,39.0,33.0,-15.4,
    9. Sustracciones de vehículos,5.0,2.0,-60.0,
    10. Tráfico de drogas,6.0,3.0,-50.0,
    11. Resto de criminalidad convencional,121.0,85.0,-29.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),63.0,70.0,11.1,
    12.-Estafas informáticas,57.0,62.0,8.8,
    13.-Otros ciberdelitos,6.0,8.0,33.3,
    III. TOTAL INFRACCIONES PENALES,274.0,228.0,-16.8,
11020 Jerez de la Frontera,
    I. CRIMINALIDAD CONVENCIONAL,2273.0,2008.0,-11.7,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,33.0,19.0,-42.4,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,19.0,15.0,-21.1,
    5.1.-Agresión sexual con penetración,3.0,1.0,-66.7,
    5.2.-Resto de delitos contra la libertad sexual,16.0,14.0,-12.5,
    6. Robos con violencia e intimidación,54.0,56.0,3.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,109.0,61.0,-44.0,
    7.1.-Robos con fuerza en domicilios,57.0,46.0,-19.3,
    8. Hurtos,741.0,717.0,-3.2,
    9. Sustracciones de vehículos,43.0,57.0,32.6,
    10. Tráfico de drogas,15.0,26.0,73.3,
    11. Resto de criminalidad convencional,1258.0,1054.0,-16.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),637.0,754.0,18.4,
    12.-Estafas informáticas,550.0,660.0,20.0,
    13.-Otros ciberdelitos,87.0,94.0,8.0,
    III. TOTAL INFRACCIONES PENALES,2910.0,2762.0,-5.1,
11022 Línea de la Concepción (La),
    I. CRIMINALIDAD CONVENCIONAL,437.0,600.0,37.3,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,9.0,14.0,55.6,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,5.0,7.0,40.0,
    5.1.-Agresión sexual con penetración,2.0,3.0,50.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,4.0,33.3,
    6. Robos con violencia e intimidación,10.0,11.0,10.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,10.0,12.0,20.0,
    7.1.-Robos con fuerza en domicilios,4.0,5.0,25.0,
    8. Hurtos,60.0,126.0,110.0,
    9. Sustracciones de vehículos,8.0,11.0,37.5,
    10. Tráfico de drogas,13.0,6.0,-53.8,
    11. Resto de criminalidad convencional,321.0,412.0,28.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),93.0,62.0,-33.3,
    12.-Estafas informáticas,86.0,53.0,-38.4,
    13.-Otros ciberdelitos,7.0,9.0,28.6,
    III. TOTAL INFRACCIONES PENALES,530.0,662.0,24.9,
11027 Puerto de Santa María (El),
    I. CRIMINALIDAD CONVENCIONAL,791.0,872.0,10.2,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,2.0,-33.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,10.0,13.0,30.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,10.0,6.0,-40.0,
    5.1.-Agresión sexual con penetración,2.0,1.0,-50.0,
    5.2.-Resto de delitos contra la libertad sexual,8.0,5.0,-37.5,
    6. Robos con violencia e intimidación,13.0,11.0,-15.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,34.0,53.0,55.9,
    7.1.-Robos con fuerza en domicilios,27.0,34.0,25.9,
    8. Hurtos,194.0,226.0,16.5,
    9. Sustracciones de vehículos,21.0,25.0,19.0,
    10. Tráfico de drogas,12.0,6.0,-50.0,
    11. Resto de criminalidad convencional,493.0,530.0,7.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),209.0,251.0,20.1,
    12.-Estafas informáticas,187.0,229.0,22.5,
    13.-Otros ciberdelitos,22.0,22.0,0.0,
    III. TOTAL INFRACCIONES PENALES,1000.0,1123.0,12.3,
11028 Puerto Real,
    I. CRIMINALIDAD CONVENCIONAL,320.0,226.0,-29.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,3.0,0.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,2.0,100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,2.0,100.0,
    6. Robos con violencia e intimidación,6.0,1.0,-83.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,14.0,12.0,-14.3,
    7.1.-Robos con fuerza en domicilios,11.0,7.0,-36.4,
    8. Hurtos,99.0,47.0,-52.5,
    9. Sustracciones de vehículos,7.0,4.0,-42.9,
    10. Tráfico de drogas,0.0,2.0,100.0,
    11. Resto de criminalidad convencional,191.0,155.0,-18.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),97.0,104.0,7.2,
    12.-Estafas informáticas,87.0,89.0,2.3,
    13.-Otros ciberdelitos,10.0,15.0,50.0,
    III. TOTAL INFRACCIONES PENALES,417.0,330.0,-20.9,
11030 Rota,
    I. CRIMINALIDAD CONVENCIONAL,315.0,268.0,-14.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,5.0,25.0,
