
Balance de criminalidad. 2024 - 1er Trimestre - CCAA
Indicadores de seguridad 2024 - 1erTrimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-marzo 2023,enero-marzo 2024,Variación % 2024/2023,
    10. Tráfico de drogas,70.0,133.0,90.0,
    11. Resto de criminalidad convencional,7545.0,7690.0,1.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2565.0,3488.0,36.0,
    12.-Estafas informáticas,2279.0,3123.0,37.0,
    13.-Otros ciberdelitos,286.0,365.0,27.6,
    III. TOTAL INFRACCIONES PENALES,15552.0,16376.0,5.3,
CANARIAS,
    I. CRIMINALIDAD CONVENCIONAL,21990.0,23976.0,9.0,
    1. Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3,
    2. Homicidios dolosos y asesinatos en grado tentativa,12.0,8.0,-33.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,307.0,314.0,2.3,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,252.0,275.0,9.1,
    5.1.-Agresión sexual con penetración,47.0,54.0,14.9,
    5.2.-Resto de delitos contra la libertad sexual,205.0,221.0,7.8,
    6. Robos con violencia e intimidación,515.0,464.0,-9.9,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,945.0,810.0,-14.3,
    7.1.-Robos con fuerza en domicilios,594.0,473.0,-20.4,
    8. Hurtos,7372.0,8656.0,17.4,
    9. Sustracciones de vehículos,372.0,403.0,8.3,
    10. Tráfico de drogas,173.0,173.0,0.0,
    11. Resto de criminalidad convencional,12038.0,12871.0,6.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3820.0,4593.0,20.2,
    12.-Estafas informáticas,3301.0,4122.0,24.9,
    13.-Otros ciberdelitos,519.0,471.0,-9.2,
    III. TOTAL INFRACCIONES PENALES,25810.0,28569.0,10.7,
CANTABRIA,
    I. CRIMINALIDAD CONVENCIONAL,4179.0,4537.0,8.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,3.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,92.0,103.0,12.0,
    4. Secuestro,0.0,1.0,100.0,
    5. Delitos contra la libertad sexual,37.0,38.0,2.7,
    5.1.-Agresión sexual con penetración,6.0,10.0,66.7,
    5.2.-Resto de delitos contra la libertad sexual,31.0,28.0,-9.7,
    6. Robos con violencia e intimidación,61.0,51.0,-16.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,453.0,480.0,6.0,
    7.1.-Robos con fuerza en domicilios,331.0,326.0,-1.5,
    8. Hurtos,1078.0,1099.0,1.9,
    9. Sustracciones de vehículos,26.0,53.0,103.8,
    10. Tráfico de drogas,34.0,28.0,-17.6,
    11. Resto de criminalidad convencional,2395.0,2681.0,11.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1409.0,1648.0,17.0,
    12.-Estafas informáticas,1291.0,1481.0,14.7,
    13.-Otros ciberdelitos,118.0,167.0,41.5,
    III. TOTAL INFRACCIONES PENALES,5588.0,6185.0,10.7,
CASTILLA Y LEÓN,
    I. CRIMINALIDAD CONVENCIONAL,15260.0,15658.0,2.6,
    1. Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3,
    2. Homicidios dolosos y asesinatos en grado tentativa,9.0,10.0,11.1,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,189.0,222.0,17.5,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,124.0,137.0,10.5,
    5.1.-Agresión sexual con penetración,29.0,38.0,31.0,
    5.2.-Resto de delitos contra la libertad sexual,95.0,99.0,4.2,
    6. Robos con violencia e intimidación,185.0,212.0,14.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1115.0,1102.0,-1.2,
    7.1.-Robos con fuerza en domicilios,700.0,770.0,10.0,
    8. Hurtos,4307.0,4177.0,-3.0,
    9. Sustracciones de vehículos,121.0,112.0,-7.4,
    10. Tráfico de drogas,115.0,96.0,-16.5,
    11. Resto de criminalidad convencional,9092.0,9588.0,5.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),5850.0,6617.0,13.1,
    12.-Estafas informáticas,5165.0,5842.0,13.1,
    13.-Otros ciberdelitos,685.0,775.0,13.1,
    III. TOTAL INFRACCIONES PENALES,21110.0,22275.0,5.5,
CASTILLA - LA MANCHA,
    I. CRIMINALIDAD CONVENCIONAL,15395.0,16179.0,5.1,
    1. Homicidios dolosos y asesinatos consumados,8.0,1.0,-87.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,9.0,800.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,194.0,247.0,27.3,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,139.0,139.0,0.0,
    5.1.-Agresión sexual con penetración,29.0,20.0,-31.0,
    5.2.-Resto de delitos contra la libertad sexual,110.0,119.0,8.2,
    6. Robos con violencia e intimidación,206.0,227.0,10.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1279.0,1493.0,16.7,
    7.1.-Robos con fuerza en domicilios,918.0,1046.0,13.9,
    8. Hurtos,3478.0,3696.0,6.3,
    9. Sustracciones de vehículos,140.0,181.0,29.3,
    10. Tráfico de drogas,133.0,132.0,-0.8,
    11. Resto de criminalidad convencional,9816.0,10054.0,2.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4488.0,4705.0,4.8,
    12.-Estafas informáticas,3939.0,4203.0,6.7,
    13.-Otros ciberdelitos,549.0,502.0,-8.6,
    III. TOTAL INFRACCIONES PENALES,19883.0,20884.0,5.0,
CATALUÑA,
    I. CRIMINALIDAD CONVENCIONAL,103450.0,106265.0,2.7,
    1. Homicidios dolosos y asesinatos consumados,18.0,17.0,-5.6,
    2. Homicidios dolosos y asesinatos en grado tentativa,55.0,54.0,-1.8,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,863.0,894.0,3.6,
    4. Secuestro,2.0,2.0,0.0,
    5. Delitos contra la libertad sexual,880.0,915.0,4.0,
    5.1.-Agresión sexual con penetración,328.0,332.0,1.2,
    5.2.-Resto de delitos contra la libertad sexual,552.0,583.0,5.6,
    6. Robos con violencia e intimidación,6053.0,5854.0,-3.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,7430.0,6709.0,-9.7,
    7.1.-Robos con fuerza en domicilios,4946.0,4384.0,-11.4,
    8. Hurtos,41947.0,39585.0,-5.6,
    9. Sustracciones de vehículos,2015.0,1888.0,-6.3,
    10. Tráfico de drogas,1074.0,1194.0,11.2,
    11. Resto de criminalidad convencional,43113.0,49153.0,14.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),17210.0,20420.0,18.7,
    12.-Estafas informáticas,16660.0,19856.0,19.2,
    13.-Otros ciberdelitos,550.0,564.0,2.5,
    III. TOTAL INFRACCIONES PENALES,120660.0,126685.0,5.0,
COMUNITAT VALENCIANA,
    I. CRIMINALIDAD CONVENCIONAL,56551.0,58141.0,2.8,
    1. Homicidios dolosos y asesinatos consumados,8.0,21.0,162.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,36.0,34.0,-5.6,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,707.0,813.0,15.0,
    4. Secuestro,3.0,3.0,0.0,
    5. Delitos contra la libertad sexual,492.0,521.0,5.9,
    5.1.-Agresión sexual con penetración,87.0,121.0,39.1,
    5.2.-Resto de delitos contra la libertad sexual,405.0,400.0,-1.2,
    6. Robos con violencia e intimidación,1468.0,1508.0,2.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4858.0,4763.0,-2.0,
    7.1.-Robos con fuerza en domicilios,3679.0,3809.0,3.5,
    8. Hurtos,18216.0,17681.0,-2.9,
    9. Sustracciones de vehículos,741.0,805.0,8.6,
    10. Tráfico de drogas,606.0,665.0,9.7,
    11. Resto de criminalidad convencional,29416.0,31327.0,6.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),11215.0,12110.0,8.0,
    12.-Estafas informáticas,9470.0,10747.0,13.5,
    13.-Otros ciberdelitos,1745.0,1363.0,-21.9,
    III. TOTAL INFRACCIONES PENALES,67766.0,70251.0,3.7,
EXTREMADURA,
    I. CRIMINALIDAD CONVENCIONAL,6444.0,6577.0,2.1,
    1. Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,4.0,33.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,90.0,85.0,-5.6,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,56.0,89.0,58.9,
    5.1.-Agresión sexual con penetración,13.0,19.0,46.2,
    5.2.-Resto de delitos contra la libertad sexual,43.0,70.0,62.8,
    6. Robos con violencia e intimidación,93.0,65.0,-30.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,470.0,528.0,12.3,
    7.1.-Robos con fuerza en domicilios,328.0,346.0,5.5,
    8. Hurtos,1780.0,1702.0,-4.4,
    9. Sustracciones de vehículos,42.0,45.0,7.1,
    10. Tráfico de drogas,95.0,70.0,-26.3,
    11. Resto de criminalidad convencional,3815.0,3987.0,4.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2161.0,2047.0,-5.3,
    12.-Estafas informáticas,1839.0,1664.0,-9.5,
    13.-Otros ciberdelitos,322.0,383.0,18.9,
    III. TOTAL INFRACCIONES PENALES,8605.0,8624.0,0.2,
GALICIA,
    I. CRIMINALIDAD CONVENCIONAL,17485.0,17287.0,-1.1,
    1. Homicidios dolosos y asesinatos consumados,3.0,5.0,66.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,13.0,8.0,-38.5,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,270.0,271.0,0.4,
    4. Secuestro,2.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,190.0,191.0,0.5,
    5.1.-Agresión sexual con penetración,43.0,55.0,27.9,
    5.2.-Resto de delitos contra la libertad sexual,147.0,136.0,-7.5,
    6. Robos con violencia e intimidación,256.0,241.0,-5.9,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1226.0,1199.0,-2.2,
    7.1.-Robos con fuerza en domicilios,654.0,648.0,-0.9,
    8. Hurtos,4890.0,4779.0,-2.3,
    9. Sustracciones de vehículos,137.0,131.0,-4.4,
    10. Tráfico de drogas,120.0,123.0,2.5,
    11. Resto de criminalidad convencional,10378.0,10339.0,-0.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4864.0,5771.0,18.6,
    12.-Estafas informáticas,4116.0,4941.0,20.0,
    13.-Otros ciberdelitos,748.0,830.0,11.0,
    III. TOTAL INFRACCIONES PENALES,22349.0,23058.0,3.2,
MADRID (COMUNIDAD DE),
    I. CRIMINALIDAD CONVENCIONAL,85209.0,83349.0,-2.2,
    1. Homicidios dolosos y asesinatos consumados,8.0,5.0,-37.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,31.0,36.0,16.1,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,742.0,737.0,-0.7,
    4. Secuestro,9.0,6.0,-33.3,
    5. Delitos contra la libertad sexual,621.0,681.0,9.7,
    5.1.-Agresión sexual con penetración,143.0,182.0,27.3,
    5.2.-Resto de delitos contra la libertad sexual,478.0,499.0,4.4,
    6. Robos con violencia e intimidación,3042.0,2832.0,-6.9,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,3563.0,3658.0,2.7,
    7.1.-Robos con fuerza en domicilios,2275.0,2232.0,-1.9,
    8. Hurtos,33890.0,31611.0,-6.7,
    9. Sustracciones de vehículos,1861.0,1898.0,2.0,
    10. Tráfico de drogas,805.0,805.0,0.0,
    11. Resto de criminalidad convencional,40637.0,41080.0,1.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),17882.0,19569.0,9.4,
    12.-Estafas informáticas,16183.0,17523.0,8.3,
    13.-Otros ciberdelitos,1699.0,2046.0,20.4,
    III. TOTAL INFRACCIONES PENALES,103091.0,102918.0,-0.2,
MURCIA (REGIÓN DE),
    I. CRIMINALIDAD CONVENCIONAL,15090.0,14591.0,-3.3,
    1. Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,15.0,18.0,20.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,227.0,265.0,16.7,
    4. Secuestro,0.0,1.0,100.0,
    5. Delitos contra la libertad sexual,143.0,175.0,22.4,
    5.1.-Agresión sexual con penetración,17.0,24.0,41.2,
    5.2.-Resto de delitos contra la libertad sexual,126.0,151.0,19.8,
    6. Robos con violencia e intimidación,519.0,488.0,-6.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1589.0,1364.0,-14.2,
    7.1.-Robos con fuerza en domicilios,1121.0,1048.0,-6.5,
    8. Hurtos,4225.0,3933.0,-6.9,
    9. Sustracciones de vehículos,235.0,214.0,-8.9,
    10. Tráfico de drogas,143.0,132.0,-7.7,
    11. Resto de criminalidad convencional,7993.0,7999.0,0.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3034.0,3479.0,14.7,
    12.-Estafas informáticas,2619.0,2996.0,14.4,
    13.-Otros ciberdelitos,415.0,483.0,16.4,
    III. TOTAL INFRACCIONES PENALES,18124.0,18070.0,-0.3,
NAVARRA (COMUNIDAD FORAL DE),
    I. CRIMINALIDAD CONVENCIONAL,6182.0,6649.0,7.6,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,5.0,3.0,-40.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,80.0,90.0,12.5,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,86.0,92.0,7.0,
    5.1.-Agresión sexual con penetración,19.0,10.0,-47.4,
    5.2.-Resto de delitos contra la libertad sexual,67.0,82.0,22.4,
    6. Robos con violencia e intimidación,98.0,89.0,-9.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,415.0,366.0,-11.8,
    7.1.-Robos con fuerza en domicilios,268.0,232.0,-13.4,
    8. Hurtos,1687.0,1585.0,-6.0,
    9. Sustracciones de vehículos,40.0,32.0,-20.0,
    10. Tráfico de drogas,35.0,50.0,42.9,
    11. Resto de criminalidad convencional,3735.0,4342.0,16.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1883.0,1772.0,-5.9,
    12.-Estafas informáticas,1672.0,1553.0,-7.1,
    13.-Otros ciberdelitos,211.0,219.0,3.8,
    III. TOTAL INFRACCIONES PENALES,8065.0,8421.0,4.4,
PAÍS VASCO,
    I. CRIMINALIDAD CONVENCIONAL,20128.0,19690.0,-2.2,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,8.0,15.0,87.5,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,333.0,429.0,28.8,
    4. Secuestro,1.0,1.0,0.0,
    5. Delitos contra la libertad sexual,160.0,231.0,44.4,
    5.1.-Agresión sexual con penetración,54.0,75.0,38.9,
    5.2.-Resto de delitos contra la libertad sexual,106.0,156.0,47.2,
    6. Robos con violencia e intimidación,435.0,440.0,1.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1754.0,1328.0,-24.3,
    7.1.-Robos con fuerza en domicilios,1042.0,835.0,-19.9,
    8. Hurtos,7950.0,7413.0,-6.8,
    9. Sustracciones de vehículos,155.0,162.0,4.5,
    10. Tráfico de drogas,169.0,194.0,14.8,
    11. Resto de criminalidad convencional,9163.0,9477.0,3.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),6284.0,7191.0,14.4,
    12.-Estafas informáticas,5532.0,6494.0,17.4,
    13.-Otros ciberdelitos,752.0,697.0,-7.3,
    III. TOTAL INFRACCIONES PENALES,26412.0,26881.0,1.8,
RIOJA (LA),
    I. CRIMINALIDAD CONVENCIONAL,2345.0,2313.0,-1.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,3.0,200.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,36.0,59.0,63.9,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,28.0,30.0,7.1,
    5.1.-Agresión sexual con penetración,5.0,5.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,23.0,25.0,8.7,
    6. Robos con violencia e intimidación,28.0,27.0,-3.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,189.0,205.0,8.5,
    7.1.-Robos con fuerza en domicilios,157.0,154.0,-1.9,
    8. Hurtos,740.0,656.0,-11.4,
    9. Sustracciones de vehículos,13.0,21.0,61.5,
    10. Tráfico de drogas,25.0,12.0,-52.0,
    11. Resto de criminalidad convencional,1284.0,1299.0,1.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),674.0,524.0,-22.3,
    12.-Estafas informáticas,594.0,417.0,-29.8,
    13.-Otros ciberdelitos,80.0,107.0,33.8,
    III. TOTAL INFRACCIONES PENALES,3019.0,2837.0,-6.0,
CIUDAD AUTÓNOMA DE CEUTA,
    I. CRIMINALIDAD CONVENCIONAL,674.0,663.0,-1.6,
    1. Homicidios dolosos y asesinatos consumados,5.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,3.0,50.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,16.0,15.0,-6.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,10.0,10.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,10.0,8.0,-20.0,
    6. Robos con violencia e intimidación,14.0,19.0,35.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,10.0,12.0,20.0,
    7.1.-Robos con fuerza en domicilios,5.0,8.0,60.0,
    8. Hurtos,121.0,130.0,7.4,
    9. Sustracciones de vehículos,22.0,39.0,77.3,
    10. Tráfico de drogas,29.0,32.0,10.3,
    11. Resto de criminalidad convencional,445.0,403.0,-9.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),123.0,165.0,34.1,
    12.-Estafas informáticas,109.0,138.0,26.6,
    13.-Otros ciberdelitos,14.0,27.0,92.9,
    III. TOTAL INFRACCIONES PENALES,797.0,828.0,3.9,
CIUDAD AUTÓNOMA DE MELILLA,
    I. CRIMINALIDAD CONVENCIONAL,882.0,885.0,0.3,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,20.0,27.0,35.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,9.0,9.0,0.0,
    5.1.-Agresión sexual con penetración,2.0,4.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,7.0,5.0,-28.6,
    6. Robos con violencia e intimidación,32.0,23.0,-28.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,35.0,20.0,-42.9,
    7.1.-Robos con fuerza en domicilios,18.0,11.0,-38.9,
    8. Hurtos,190.0,160.0,-15.8,
    9. Sustracciones de vehículos,11.0,18.0,63.6,
    10. Tráfico de drogas,13.0,14.0,7.7,
    11. Resto de criminalidad convencional,572.0,613.0,7.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),98.0,132.0,34.7,
    12.-Estafas informáticas,88.0,109.0,23.9,
    13.-Otros ciberdelitos,10.0,23.0,130.0,
    III. TOTAL INFRACCIONES PENALES,980.0,1017.0,3.8,
EN EL EXTRANJERO,
    I. CRIMINALIDAD CONVENCIONAL,1149.0,1190.0,3.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,0.0,2.0,100.0,
    4. Secuestro,1.0,2.0,100.0,
    5. Delitos contra la libertad sexual,10.0,30.0,200.0,
    5.1.-Agresión sexual con penetración,4.0,11.0,175.0,
    5.2.-Resto de delitos contra la libertad sexual,6.0,19.0,216.7,
    6. Robos con violencia e intimidación,37.0,59.0,59.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,5.0,4.0,-20.0,
    7.1.-Robos con fuerza en domicilios,2.0,4.0,100.0,
    8. Hurtos,546.0,597.0,9.3,
    9. Sustracciones de vehículos,27.0,28.0,3.7,
    10. Tráfico de drogas,9.0,16.0,77.8,
    11. Resto de criminalidad convencional,514.0,452.0,-12.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1428.0,1109.0,-22.3,
    12.-Estafas informáticas,1341.0,1066.0,-20.5,
    13.-Otros ciberdelitos,87.0,43.0,-50.6,
