precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta
3.950 €/mes;Piso en calle de García de Paredes;/alquilar/piso-chamberi_almagro28003-35025104456_996542/;Almagro (Distrito Chamberí. Madrid Capital);129 m²;"Diplomatic real estate ofrece magnífico piso amueblado
 A la renta hay  que añadirle el 10% de iva.
Salón comedor de 30 m².
2 dorm...";40.436776;-3.6906338;2 habs.;2 baños;3ª planta
2.400 €/mes;Piso en calle de Narváez;/alquilar/piso-ibiza28009-39169890668_100200/;Ibiza (Distrito Retiro. Madrid Capital);104 m²;Agencia inmobiliaria de madrid - zona salamanca - goya - retiro alquila espectacular piso en calle narváez compuesto de tres dormi...;40.4199553;-3.6763229;3 habs.;2 baños;
1.900 €/mes;Ático en Ciudad Universitaria;/alquilar/atico-ciudad_universitaria28040-38422278016_100200/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);89 m²;Inmobiliaria en tetuán, berruguete - tecnocasa risico servicios inmobiliarios sl alquila espectacular piso formado por dos dormito...;40.4559334;-3.7169698;2 habs.;1 baño;
4.150 €/mes;Piso en calle de Velázquez;/alquilar/piso-salamanca_castellana28006-30874549907_101800/;Castellana (Distrito Salamanca. Madrid Capital);196 m²;"Calle velazquez, con vistas a los jardines de la embajada italiana.

Garaje incluido en el precio.

3 dormitorios con 3 baños.
Dor...";40.4308515;-3.6838773;3 habs.;3 baños;
1.400 €/mes;Piso en calle de la Fuente del Berro;/alquilar/piso-goya28009-38343407604_100500/;Goya (Distrito Salamanca. Madrid Capital);33 m²;Esriv inmobiliaria real estate pone en alquiler sensacional loft en pleno barrio salamanca específicamente en goya frente al wizin...;40.4239323;-3.670852;;1 baño;Bajo
982 €/mes;Piso en calle de las Huertas del Río, 1;/alquilar/piso-butarque28021-3509642308_109700/;Butarque (Distrito Villaverde. Madrid Capital);54 m²;"Vt 7 2 dormitorios grande.
Vivienda a estrenar sin comisiones de agencia y solamente un mes de fianza.
Vivienda a estrenar de 2 do...";40.3392081;-3.6779739;2 habs.;1 baño;
1.200 €/mes;Piso en calle de Juan Bravo, 61;/alquilar/piso-lista_barrio28006-19181119103_100500/;Lista (Distrito Salamanca. Madrid Capital);55 m²;"Se alquila piso de 2 dormitorios , salón-comedor, cocina totalmente equipada, baño con plato de ducha y ventana. 
 
 La vivienda...";40.4327;-3.67435;2 habs.;1 baño;6ª planta
4.500 €/mes;Ático en calle de Génova;/alquilar/atico-chamberi_almagro28004-30096805975_109300/;Almagro (Distrito Chamberí. Madrid Capital);241 m²;De rojas servicios inmobiliarios, pone a su disposición en alquiler este fantástico ático situado en el corazón del barrio de cham...;40.42717074818356;-3.694480545865929;4 habs.;3 baños;
3.950 €/mes;Piso en calle de García de Paredes;/alquilar/piso-trafalgar28015-35059825851_996542/;Trafalgar (Distrito Chamberí. Madrid Capital);126 m²;"Diplomatic real estate ofrece magnífico piso amueblado
 A la renta hay  que añadirle el 10% de iva.
Salón comedor de 30 m².
2 dorm...";40.4367417;-3.6945056;2 habs.;2 baños;4ª planta
990 €/mes;Ático en Cuzco;/alquilar/atico-castillejos28020-38422112465_100500/;Castillejos (Distrito Tetuán. Madrid Capital);40 m²;Bonito estudio con dormitorio aparte con gran cantidad de armarios empotrados para guardar toda la ropa, cocina americana y una fa...;40.4641471;-3.6936796;1 hab.;1 baño;
1.200 €/mes;Piso en calle de San Anastasio;/alquilar/piso-acacias28005-39193326246_100200/;Acacias (Distrito Arganzuela. Madrid Capital);86 m²;"Agencia inmobiliaria de madrid zona pirámides -acacias - madrid rio - san anastasio - tecnocasa alquila. -
Piso exterior, con terr...";40.397211816;-3.703194652;2 habs.;1 baño;4ª planta
1.600 €/mes;Piso en calle de Circón,  s/n;/alquilar/piso-arganzuela_delicias-3674068349_109700/;Delicias (Distrito Arganzuela. Madrid Capital);108 m²;Piso en un edificio de obra nueva de 108 m² de superficie construida y ubicado en la zona de madrid capital, enclavado en planta 2...;40.3969509;-3.6906645;3 habs.;2 baños;2ª planta
2.200 €/mes;Piso en Paseo de San Francisco de Sales;/alquilar/piso-chamberi_vallehermoso28003-35097658444_101800/;Vallehermoso (Distrito Chamberí. Madrid Capital);98 m²;"Oportunidad disponible. Cci 10 alquila, precioso piso en planta 7ª con vistas al jardín
Dispone de 2 dormitorio, 2 baños (1 de ell...";40.4411052;-3.7152425;;;
1.380 €/mes;Piso en Argüelles;/alquilar/piso-casa_de_campo28008-39218143450_102100/;Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital);70 m²;Gilmar pone a su disposición este fantástico piso en pleno centro de madrid, situado en la zona del templo de debod. La vivienda c...;40.401103834;-3.76226332;2 habs.;1 baño;
1.300 €/mes;Piso en Embajadores-Lavapiés;/alquilar/piso-centro_embajadores_lavapies28012-38410617765_100200/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);53 m²;"Agencia inmobiliaria de madrid zona antón martín - lavapiés - las cortes - reina sofía oficina tecnocasa
 ¡Alquila! Larga estancia...";40.4104444;-3.7021107;2 habs.;1 baño;3ª planta
2.000 €/mes;Apartamento en Salamanca;/alquilar/apartamento-recoletos28001-39186097521_102100/;Recoletos (Distrito Salamanca. Madrid Capital);70 m²;Apartamento en salamanca de 70 m², 2 dormitorios, 2 baños, exterior, muy luminoso, 1 plaza de garaje  características:  calefacció...;40.4312094;-3.686594;2 habs.;2 baños;
764 €/mes;Piso en calle de la Princesa de Kapurtala,  s/n;/alquilar/piso-ensanche_de_vallecas_valdecarros28051-3590594637_109700/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);43 m²;1d discapacitados. Piso en una finca de obra nueva de 43 m² de superficie construida y emplazado en la zona de madrid capital. Est...;40.365458;-3.5899733;1 hab.;1 baño;
1.200 €/mes;Piso en Arganzuela;/alquilar/piso-arganzuela_delicias-39239251793_108900/;Delicias (Distrito Arganzuela. Madrid Capital);75 m²;Magnífico piso de 75m², consta de 3 dormitorios, amplio salón comedor, cocina amueblada y equipada con acceso a patio privado, 1 b...;40.396976;-3.6926404;3 habs.;1 baño;1ª planta
900 €/mes;Piso en Latina;/alquilar/piso-las_aguilas28044-39254709197_108900/;Las Águilas (Distrito Latina. Madrid Capital);69 m²;Piso de 69m². Consta de tres habitaciones, salón comedor, un baño completo, cocina amueblada y equipada. Calefacción individual de...;40.3812805;-3.767332;3 habs.;1 baño;5ª planta
1.800 €/mes;Piso en Paseo de la Alameda de Osuna;/alquilar/piso-alameda_de_osuna_barrio-32528888925_995477/;Alameda de Osuna (Distrito Barajas. Madrid Capital);160 m²;Magnífico piso en una de las más selectas urbanizaciones de la alameda de osuna. Junto al prestigioso colegio de la alameda de osu...;40.4571469;-3.5905542;3 habs.;2 baños;3ª planta
1.600 €/mes;Ático en calle de Alcalá;/alquilar/atico-concepcion-25083781769_100500/;Concepción (Distrito Ciudad Lineal. Madrid Capital);83 m²;Magnífico atico/duplex con gran terraza de mas de 20m², plaza de garaje y trastero incluido en precio, amplio mirador y dos baños ...;40.431863;-3.6561021;2 habs.;2 baños;
850 €/mes;Piso en Latina;/alquilar/piso-puerta_del_angel-39246497872_108900/;Puerta del Ángel (Distrito Latina. Madrid Capital);65 m²;Vivienda de 65 m². Consta de 2 dormitorios, salón comedor, cocina amueblada y equipada con acceso a terraza de 8 m² y 1 cuarto de ...;40.409875178;-3.726357784;2 habs.;1 baño;
1.600 €/mes;Piso en calle de Babilonia;/alquilar/piso-aeropuerto28042-38397442082_516127/;Aeropuerto (Distrito Barajas. Madrid Capital);110 m²;Ijinmobiliaria alquila atico en la calle babilonia, distribuido en dos habitaciones con armarios, calefaccion por conductos, amueb...;40.4675867;-3.5882151;2 habs.;2 baños;3ª planta
1.200 €/mes;Piso en calle Martín de Vargas;/alquilar/piso-acacias28005-38353665145_100500/;Acacias (Distrito Arganzuela. Madrid Capital);65 m²;Fantástico piso de un dormitorio en urbanización cerrada con jardines, situado en pleno centro de madrid, en buen estado. Dispone ...;40.4026042;-3.7018626;1 hab.;1 baño;Bajo
3.000 €/mes;Piso en Fuentelarreina;/alquilar/piso-penagrande28035-38353760852_102100/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);324 m²;Gilmar consulting inmobiliario se complace en presentar lujoso piso con superficie construida de 324m², recién acondicionado total...;40.4809184;-3.729599;5 habs.;4 baños;
1.000 €/mes;Piso en Avenida de Pablo Iglesias;/alquilar/piso-ciudad_universitaria28039-39236933810_100500/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);70 m²;"Miren inmobiliaria. - alquila piso a estrenar de 2 dormitorios amplios, salon- comedor, cocina y cuarto de baño. 
Finca con ascens...";40.4475877;-3.7090092;2 habs.;1 baño;4ª planta
1.300 €/mes;Piso en calle de Argumosa;/alquilar/piso-centro_embajadores_lavapies28012-33367888588_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);75 m²;Smartcity s.l. Alquila, ático-dúplex en zona centro (lavapiés), en buen estado, muy luminoso, próximo a supermercados y bien comun...;40.4083487;-3.6994158;1 hab.;1 baño;Bajo
3.950 €/mes;Casa adosada en calle del Sextante;/alquilar/casa_adosada-moncloa_aravaca_aravaca28023-38431698003_107700/;Aravaca (Distrito Moncloa-Aravaca. Madrid Capital);356 m²;Se alquila un magnífico chalet en aravaca, completamente renovado, muy bien situado, a cinco minutos del centro y de la zona comer...;40.458041271248;-3.78824626382709;5 habs.;5 baños;
1.500 €/mes;Piso en Plaza de Jacinto Benavente;/alquilar/piso-cortes_huertas28012-35928824857_998664/;Cortes-Huertas (Distrito Centro. Madrid Capital);45 m²;Atencion solo para estudiantes, magnifico apartamento recién reformado en pleno centro de la capital de madrid, la vivienda consta...;40.4148685;-3.703754;1 hab.;1 baño;3ª planta
2.000 €/mes;Piso en calle de Juan Ramón Jiménez, 8;/alquilar/piso-castilla28036-9215134633_521170/;Castilla (Distrito Chamartín. Madrid Capital);84 m²;Amplio y magnífico piso recién reformado, muy luminoso en pleno corazón del distrito financiero de madrid, a tan sólo unos minutos...;40.458498657738545;-3.6865601618867396;1 hab.;1 baño;4ª planta
990 €/mes;Piso en Avenida del Doctor Federico Rubio y Galí;/alquilar/piso-ciudad_universitaria28039-37527818677_527060/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);60 m²;"Vivienda luminosa en zona privilegiada con líneas de autobuses y metro, comercios, hostelería, parques, otros.

Finca con portero ...";40.457151404;-3.713325331;1 hab.;1 baño;7ª planta
2.000 €/mes;Piso en calle del Duque de Rivas, 2;/alquilar/piso-centro_embajadores_lavapies28012-37546929139_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);90 m²;Urbanissimo real estate alquila moderno piso a estrenar con balcones a la calle, con techos altos y muy luminoso, de dos dormitori...;40.4137;-3.70658;2 habs.;2 baños;1ª planta
1.230 €/mes;Piso en calle de Canillas;/alquilar/piso-chamartin_prosperidad28002-39264208183_100500/;Prosperidad (Distrito Chamartín. Madrid Capital);69 m²;Disponible piso en alquiler en la calle canillas, muy próximo a las calles cartagena, lópez de hoyos y príncipe de vergara. 3º pla...;40.441186859;-3.676317921;2 habs.;1 baño;3ª planta
6.000 €/mes;Piso en calle de Henri Dunant;/alquilar/piso-nueva_espana28036-30901063587_524350/;Nueva España (Distrito Chamartín. Madrid Capital);384 m²;Oasis house les presenta este impresionante piso, exterior a todas las orientaciones, que dotan a la vivienda de una excepcional l...;40.4603695;-3.6844195;4 habs.;5 baños;7ª planta
4.250 €/mes;Casa en calle de Gloria Fuertes;/alquilar/casa-fuencarral_el_pardo_el_pardo28035-35919471532_520609/;El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital);363 m²;"Gavac alquila 3 chalés adosados en la selecta urbanización privada de “residencial la mina”. 
Con una lujosa edificación de 461 m²...";40.495490969;-3.72510379;3 habs.;4 baños;
2.500 €/mes;Piso en calle del Alcalde Sáinz de Baranda;/alquilar/piso-ibiza28009-39236344603_101000/;Ibiza (Distrito Retiro. Madrid Capital);112 m²;"¡Oportunidad única de alquiler en el corazón de madrid en retiro!
 Este piso totalmente reformado de 3 dormitorios se encuentra en...";40.416784;-3.6704565;3 habs.;2 baños;
2.500 €/mes;Piso en calle de la Montera;/alquilar/piso-sol_barrio28013-39251931669_100500/;Sol (Distrito Centro. Madrid Capital);80 m²;Madrid village soluciones inmobiliarias, le ofrece ésta magnífica vivienda exterior reformada a estrenar, con amplio salón, con ac...;40.4193383;-3.7016657;2 habs.;2 baños;2ª planta
2.700 €/mes;Piso en Fuente del Berro;/alquilar/piso-lista_barrio28006-39261954663_100500/;Lista (Distrito Salamanca. Madrid Capital);138 m²;Ubicado en la zona de lista,  este estupendo piso exterior de 150 m útiles, que se alquila sin amueblar, cuenta con 3 cuartos de b...;40.4300284;-3.6738045;5 habs.;2 baños;5ª planta
3.000 €/mes;Piso en calle Lagasca;/alquilar/piso-recoletos28001-38423596229_100500/;Recoletos (Distrito Salamanca. Madrid Capital);110 m²;"Yñarra inmobiliaria, presenta magnífica vivienda super luminosa, interior a gran patio de manzana, ubicada en una tercera planta.
...";40.4341755;-3.6846098;3 habs.;3 baños;3ª planta
1.100 €/mes;Apartamento en calle de Balmes, 1;/alquilar/apartamento-trafalgar28010-25043213229_101600/;Trafalgar (Distrito Chamberí. Madrid Capital);40 m²;Apartamento de un dormitorio, cocina equipada con electrodomésticos, zona metro iglesia, muy centrico y buenas comunicaciones, en ...;40.4354;-3.7003;1 hab.;1 baño;4ª planta
950 €/mes;Ático en calle de los Misterios;/alquilar/atico-ciudad_lineal_quintana-19187806197_100500/;Quintana (Distrito Ciudad Lineal. Madrid Capital);45 m²;Ático en arturo soria con espectacular terraza de 50 m² y plaza de garaje doble. Bonito ático en urbanización con jardín y piscina...;40.440469;-3.6410042;1 hab.;1 baño;
2.250 €/mes;Piso en calle de Pedro Heredia;/alquilar/piso-fuente_del_berro28028-38429217415_101800/;Fuente del Berro (Distrito Salamanca. Madrid Capital);137 m²;Planta baja: la zona de día cuenta con una cocina totalmente equipada y un gran salón comedor con salida a una pequeña terraza. La...;40.4288405;-3.6648534;;;
6.500 €/mes;Piso en Paseo del General Martínez Campos;/alquilar/piso-chamberi_almagro28010-35000945288_517811/;Almagro (Distrito Chamberí. Madrid Capital);305 m²;Espectacular piso de 300m² en el barrio de almagro, reformado y amueblado. Con un amplio hall con armario gabanero,  da paso al sa...;40.4351708;-3.6966992;4 habs.;4 baños;5ª planta
890 €/mes;Piso en calle de Pirra;/alquilar/piso-rejas28022-37532040182_101000/;Rejas (Distrito San Blas. Madrid Capital);65 m²;"Alfa inmobiliaria alquila en exclusiva este inmueble en urbanizacion de lujo en pleno centro de madrid ! 
Trato directo con la pro...";40.4443393;-3.5864575;1 hab.;1 baño;
3.500 €/mes;Piso en calle del Bonetillo, 14;/alquilar/piso-centro_palacio28013-35908417562_108700/;Palacio (Distrito Centro. Madrid Capital);190 m²;Iad ofrece este maravilloso y exclusivo dúplex en una de las mejores zonas de todo madrid, a escasos 30 metros de la plaza de óper...;40.4168847;-3.7090647;4 habs.;2 baños;
1.100 €/mes;Piso en calle de Jerez de Los Caballeros;/alquilar/piso-casco_historico_de_barajas-39251631237_100200/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);105 m²;"'oficina tecnocasa - barajas - madrid alquila piso en calle jerez de los caballeros
Vivienda exterior muy luminosa, recién reforma...";40.4705963;-3.5794431;;;2ª planta
1.600 €/mes;Piso en calle de Juan Ramón Jiménez, 14;/alquilar/piso-castilla28036-39236735100_522664/;Castilla (Distrito Chamartín. Madrid Capital);104 m²;¡Increíble oportunidad de adquirir en alquiler un hermoso piso en el exclusivo barrio de nueva españa! Este inmueble cuenta con do...;40.45966514257349;-3.6862996504543446;2 habs.;2 baños;9ª planta
950 €/mes;Estudio en calle de Dulce Chacón;/alquilar/estudio-virgen_del_cortijo_manoteras28050-39250957869_106000/;Virgen del Cortijo-Manoteras (Distrito Hortaleza. Madrid Capital);50 m²;Inmoline, 91 616 32 20 y whatsapp 663 143 487.-  magnifico estudio, muy luminoso, en la zona norte de madrid, representativa de ca...;40.4859765;-3.6697228;1 hab.;1 baño;
3.900 €/mes;Piso en Recoletos;/alquilar/piso-recoletos28001-39249128885_996152/;Recoletos (Distrito Salamanca. Madrid Capital);110 m²;"Inmoboulevard pone en alquiler este magnifico piso en alquiler en recoletos. 
Piso planta 4 º 
Superficie construida: 110 m² 
2 do...";40.422874968;-3.689993891;2 habs.;2 baños;4ª planta
1.800 €/mes;Piso en calle de Fernández de los Ríos;/alquilar/piso-chamberi_arapiles28015-39173395769_516270/;Arapiles (Distrito Chamberí. Madrid Capital);90 m²;Excelente piso, 3 dormitorios 1 baño, totalmente amueblado y con electrodomésticos, 2º planta, interior, con luz, con ascensor. Sa...;40.4350656;-3.705882;3 habs.;1 baño;2ª planta
1.200 €/mes;Apartamento en calle del Tesoro;/alquilar/apartamento-universidad_malasana28004-39244712965_440000/;Universidad-Malasaña (Distrito Centro. Madrid Capital);73 m²;"Moderno y luminoso apartamento exterior con una superficie aproximada de 65 m². 

Consta de un amplio dormitorio, cocina independi...";40.4250203;-3.7050395;1 hab.;1 baño;1ª planta
2.150 €/mes;Piso en Hispanoamérica;/alquilar/piso-chamartin_hispanoamerica28016-39189532266_108500/;Hispanoamérica (Distrito Chamartín. Madrid Capital);80 m²;Bek properties presenta este magnifico piso de 2 dormitorios y 2 baños, idealmente amueblado y recien reformado. Se encuentra en u...;40.4575059;-3.6777723;2 habs.;2 baños;
1.100 €/mes;Piso en calle de Sandoval;/alquilar/piso-trafalgar28010-39207273281_100500/;Trafalgar (Distrito Chamberí. Madrid Capital);39 m²;Mhg bienes raíces international group sl presenta luminoso y acogedor piso en alquiler, muy luminoso y, al ser interior, muy tranq...;40.4299946;-3.7043668;1 hab.;1 baño;2ª planta
1.000 €/mes;Apartamento en calle de la Aurora;/alquilar/apartamento-valdezarza28035-35923735585_101800/;Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital);42 m²;Perfecto apartamento muy luminoso, con balcón a la calle y grandes ventanas la zona está bien comunicado con el autobús 64 muy c...;40.4659809;-3.722607;1 hab.;1 baño;
1.800 €/mes;Piso en calle de Atocha;/alquilar/piso-centro_embajadores_lavapies28012-35846408273_100500/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);83 m²;"Anna inmobiliaria alquila precioso piso en plena calle atocha.
Vivienda que consta de habitación doble, cocina completamente amueb...";40.4102342;-3.6943457;3 habs.;1 baño;1ª planta
2.300 €/mes;Piso en calle de Espronceda;/alquilar/piso-rios_rosas28003-38415523561_521707/;Ríos Rosas (Distrito Chamberí. Madrid Capital);110 m²;"Monteriver, alquila en exclusiva piso de 100 metros cuadrados en una de las zonas mas selectas de madrid, barrio de chamberi.
Es 6...";40.440597;-3.6946234;2 habs.;2 baños;6ª planta
1.290 €/mes;Piso en Opañel;/alquilar/piso-opanel28019-38373881774_513233/;Opañel (Distrito Carabanchel. Madrid Capital);76 m²;"¡Se alquila precioso bajo con jardín en opañel!
Las características principales son:
-       vivienda de obra nueva a estrenar.
- ...";40.3904865;-3.7215673;2 habs.;2 baños;Bajo
1.350 €/mes;Piso en calle del Príncipe de Vergara;/alquilar/piso-chamartin_prosperidad28006-39233717906_100500/;Prosperidad (Distrito Chamartín. Madrid Capital);60 m²;"Domum realty alquila: ¡Piso reformado en barrio salamanca, zona castellana! 

**disponibilidad inmediata. 

El piso está distribui...";40.4378381;-3.6787769;1 hab.;1 baño;
2.800 €/mes;Piso en calle de Goya;/alquilar/piso-goya28009-36694812223_100500/;Goya (Distrito Salamanca. Madrid Capital);120 m²;Se alquila esta magnífica propiedad de 120 metros cuadrados, en 4º planta exterior, ubicada en c/ goya, próxima a calles emblemáti...;40.4243516;-3.6700621;2 habs.;2 baños;4ª planta
1.600 €/mes;Piso en calle del Alcalde Sáinz de Baranda;/alquilar/piso-retiro_estrella28007-39214527322_100500/;Estrella (Distrito Retiro. Madrid Capital);93 m²;"¡Vivienda de 2 dormitorios y 2 baños a 7 minutos andando del parque retiro!

Se entrega amueblada y con cocina completamente equip...";40.4168795;-3.6724009;2 habs.;2 baños;4ª planta
1.500 €/mes;Piso en calle de Emilio Ferrari, 17;/alquilar/piso-ciudad_lineal_pueblo_nuevo28017-39229488220_994129/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);113 m²;"¡ Vive en un edificio racionalista del barrio de pueblo nuevo distrito ciudad lineal!
Estupenda y amplia vivienda de 113 m² con un...";40.43387420467799;-3.6429918706069424;3 habs.;2 baños;2ª planta
2.000 €/mes;Piso en Paseo de la Virgen del Puerto;/alquilar/piso-imperial28005-29228616576_512906/;Imperial (Distrito Arganzuela. Madrid Capital);125 m²;"Magnífico piso en el pº de virgen del puerto
Hominn presenta esta fantástica propiedad de 125 m², en pleno barrio de imperial.

La...";40.4046538;-3.7218652;3 habs.;2 baños;1ª planta
1.300 €/mes;Apartamento en calle de Antonio Zamora;/alquilar/apartamento-puerta_del_angel-38337346966_101000/;Puerta del Ángel (Distrito Latina. Madrid Capital);106 m²;"Puerta del ángel
Espectacular apartamento estilo lof a estrenar. 
Se distribuye en magnifica cocina integrada en el salón con isla...";40.4118953;-3.7320229;1 hab.;2 baños;
1.400 €/mes;Piso en calle del Poeta Joan Maragall;/alquilar/piso-tetuan_almenara28020-20879708637_522357/;Almenara (Distrito Tetuán. Madrid Capital);79 m²;"Modernos apartamentos en alquiler en una de las zonas más demandadas de madrid
-zona de castellana, cuzco, calle poeta joan maraga...";40.461897648;-3.69175653;2 habs.;1 baño;5ª planta
