precio;sub_descr;href;ubicacion;mt2;otros;latitude;longitude;habitaciones;banios;planta
350.000 €;Piso en calle del Conde de Peñalver;/comprar/piso-lista_barrio28006-27523009171_100500/;Lista (Distrito Salamanca. Madrid Capital);44 m²;Agencia inmobiliaria ds realtors te ofrece este piso a estrenar, situado en una de las mejores zonas de madrid, en la calle conde ...;40.4290454;-3.6755903;1 hab.;1 baño;2ª planta
299.000 €;Piso en calle de Vargas;/comprar/piso-rios_rosas28003-44207637630_104700/;Ríos Rosas (Distrito Chamberí. Madrid Capital);57 m²;Piso bajo exterior, en venta con estupenda ubicación, esquina con la afamada calle josé abascal. Consta de 57m² construidos (51m² ...;40.438793;-3.6986356;3 habs.;;
299.000 €;Piso en San Diego;/comprar/piso-san_diego28053-44170718834_523188/;San Diego (Distrito Puente de Vallecas. Madrid Capital);75 m²;Soluin ofrece en venta formidable piso de tres dormitorios con amplio patio/jardín privado, propio (único acceso al patio desde la...;40.3864998;-3.6655637;3 habs.;2 baños;Bajo
300.000 €;Piso en Fontarrón;/comprar/piso-fontarron-44261476287_100200/;Fontarrón (Distrito Moratalaz. Madrid Capital);72 m²;¡Bienvenidos al hogar de sus sueños en moratalaz, madrid! Tecnocasa estudio moratalaz fontarrón tiene el placer de presentarles es...;40.403377;-3.6456042;3 habs.;1 baño;
458.700 €;Piso en calle del Arquitecto Sánchez Arcas, 5;/comprar/piso-ciudad_universitaria28040-3512567621_109700/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);77 m²;7-4. Piso en una finca de obra nueva de 77 m² de superficie construida y emplazado en la zona de madrid capital, posicionado en pl...;40.4537315;-3.7159647;2 habs.;1 baño;1ª planta
3.000.000 €;Piso en calle de Espalter;/comprar/piso-jeronimos28014-39205289325_101800/;Jerónimos (Distrito Retiro. Madrid Capital);275 m²;Te presentamos este exclusivo piso en venta en la prestigiosa calle espalter, ubicada en el barrio de jerónimos. Este inmueble for...;40.4126147;-3.689725;3 habs.;4 baños;1ª planta
1.349.000 €;Piso en calle del Duque de Sesto;/comprar/piso-goya28009-36680800557_101800/;Goya (Distrito Salamanca. Madrid Capital);118 m²;Walter haus tiene el placer de presentar este fantástico piso recién reformado, una joya para estrenar y deleitarse con impresiona...;40.4224253;-3.6764594;3 habs.;2 baños;7ª planta
379.000 €;Piso en calle  *;/comprar/piso-los_berrocales28031-4418412482_109700/;Los Berrocales (Distrito Vicálvaro. Madrid Capital);102 m²;Piso en una finca de obra nueva de 102 m2 de superficie construida y emplazado en la zona de Madrid Capital. Está dispuesto en 3 habitaciones, 2 baños completos y terraza. Cuenta como extras garaje y trastero.;40,3967309;-3,5844075;3 habs.;2 baños;
155.000 €;Estudio en Ronda de Toledo;/comprar/estudio-centro_embajadores_lavapies28005-40038003411_440000/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);36 m²;"Estudio semisótano de 36 m² útiles se encuentra en una ubicación privilegiada, a pocos metros de la estación de embajadores.

Reci...";40.4054692;-3.7061416;;1 baño;
1.349.000 €;Piso en Paseo de la Castellana;/comprar/piso-castillejos28046-41671455838_100500/;Castillejos (Distrito Tetuán. Madrid Capital);152 m²;Inmueble situado en la novena planta exterior. Consta de tres habitaciones, tres baños completos, dos de ellos en suite, un aseo d...;40.457793;-3.6906761;3 habs.;4 baños;9ª planta
320.000 €;Piso en calle de Azcona;/comprar/piso-guindalera28028-45077480141_440000/;Guindalera (Distrito Salamanca. Madrid Capital);94 m²;"¡Oportunidad única en venta! 

Este amplio y versátil local de 93m², con posibilidad de cambio de uso a una vivienda de 2 dormitor...";40.4348627;-3.6679849;2 habs.;2 baños;Bajo
250.000 €;Piso en calle de Amaniel;/comprar/piso-universidad_malasana28015-42559355786_100200/;Universidad-Malasaña (Distrito Centro. Madrid Capital);52 m²;"Agencia inmobiliaria de madrid zona san bernardo - conde duque – malasaña, oficina tecnocasa vende:
Piso ubicado en pleno centro d...";40.4270329;-3.7093232;2 habs.;;
470.000 €;Piso en calle de Embajadores;/comprar/piso-legazpi_barrio28045-35035226633_101800/;Legazpi (Distrito Arganzuela. Madrid Capital);109 m²;"Vivienda alquilada, no se puede visitar. 

Casas y más vende magnífica vivienda en rentabilidad, en edificio de reciente construcc...";40.3878075;-3.6912496;2 habs.;2 baños;2ª planta
995.000 €;Piso en Plaza de los Reyes Magos, 11;/comprar/piso-nino_jesus28007-45032395516_510067/;Niño Jesús (Distrito Retiro. Madrid Capital);181 m²;Proyectos inmobiliarios baupres le ofrece una oportunidad única en madrid, en el barrio niño jesús, a escasos 100 m de la puerta d...;40.408802;-3.6767056;4 habs.;3 baños;4ª planta
180.000 €;Piso en Palomeras Bajas;/comprar/piso-palomeras_bajas28018-45015388642_100200/;Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital);79 m²;Agencia inmobiliaria de madrid - zona vallecas - portazgo - palomeras bajas - oficina tecnocasa vende magnífica vivienda en calle ...;40.3922052;-3.6605612;3 habs.;;
965.000 €;Piso en Plaza de Valparaíso;/comprar/piso-castilla28016-31713777328_440000/;Castilla (Distrito Chamartín. Madrid Capital);145 m²;Impresionante vivienda en planta alta con vistas despejadas al parque valparaíso.  Cabe destacar que en origen eran dos viviendas ...;40.4547644;-3.6807607;3 habs.;3 baños;4ª planta
248.000 €;Piso en Puerta del Ángel;/comprar/piso-puerta_del_angel-45058360175_100200/;Puerta del Ángel (Distrito Latina. Madrid Capital);81 m²;Estudio inmobiliario puerta del ángel, presenta oportunidad única: 2 planta muy luminosa, con amplio salon, cocina y lavadero cerr...;40.411915;-3.7283941;2 habs.;;2ª planta
360.000 €;Piso en calle del Camino Viejo de Leganés;/comprar/piso-opanel28019-40861468145_520820/;Opañel (Distrito Carabanchel. Madrid Capital);94 m²;Se vende estupendo piso reformado de 94m², muy próximo a la avenida de oporto. Consta de hall de entrada, cocina con ventana, mueb...;40.3874972;-3.7273216;3 habs.;2 baños;2ª planta
1.160.000 €;Piso en Gaztambide;/comprar/piso-gaztambide28015-43402424984_100500/;Gaztambide (Distrito Chamberí. Madrid Capital);243 m²;"Ds realtors comercializa esta vivienda a reformar en la mejor zona de gaztambide. Sin honorarios para el comprador.
La vivienda es...";40.438036;-3.7165551;4 habs.;3 baños;4ª planta
450.000 €;Piso en Plaza de Patricio Aguado;/comprar/piso-hortaleza_canillas28043-30038328763_101800/;Canillas (Distrito Hortaleza. Madrid Capital);90 m²;"Piso en venta en excelente estado, completamente reformado y a estrenar. 

Con una superficie de 90 m² construidos y 83 m² útiles,...";40.464332;-3.636187;3 habs.;2 baños;5ª planta
2.490.000 €;Piso en calle del General Pardiñas;/comprar/piso-lista_barrio28001-39171495893_101800/;Lista (Distrito Salamanca. Madrid Capital);258 m²;En el corazón de la distinguida plaza del marqués de salamanca, se erige un espectacular piso recién reformado, una joya inmobilia...;40.429121;-3.678153;4 habs.;4 baños;1ª planta
1.550.000 €;Piso en Castellana-Orense;/comprar/piso-castilla28036-38385566296_102100/;Castilla (Distrito Chamartín. Madrid Capital);272 m²;Gilmar consulting inmobiliario, oficina castellana - orense, vende excelente vivienda en pleno paseo de la castellana. Se trata de...;40.4562229;-3.7121253;6 habs.;3 baños;
145.000 €;Piso en calle de Martínez Oviol, 70;/comprar/piso-villaverde_los_rosales28021-44211411984_994129/;Los Rosales (Distrito Villaverde. Madrid Capital);90 m²;"¡ Vive en esta estupenda vivienda con patio propio en el distrito los rosales de villaverde bajo!
Uno de los enclaves con más cari...";40.348766;-3.6880872;2 habs.;1 baño;Bajo
1.560.000 €;Piso en Lista;/comprar/piso-lista_barrio28028-43425863250_106700/;Lista (Distrito Salamanca. Madrid Capital);153 m²;Esta casa de lujo, situada en el exclusivo barrio de salamanca, ofrece una experiencia de vida incomparable gracias a sus altas ca...;40.428539;-3.6700942;2 habs.;2 baños;
590.000 €;Piso en Travesía de las Pozas;/comprar/piso-universidad_malasana28004-5015113295_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);120 m²;"""casas y más vende estupenda vivienda, actualmente  gestionándose como vivienda turística, ya que cumple todos los requisitos lega...";40.4250733;-3.7067881;3 habs.;2 baños;
150.000 €;Piso en calle del Pico de Almanzor;/comprar/piso-numancia28038-39172801459_103800/;Numancia (Distrito Puente de Vallecas. Madrid Capital);67 m²;¡Atención a todos los que buscan un hogar cálido y acogedor! ¡Este piso en venta es perfecto para ti! Con 3 amplios dormitorios, u...;40.4022854;-3.6625048;3 habs.;1 baño;3ª planta
179.000 €;Piso en Costanilla de los Olivos;/comprar/piso-puerta_del_angel-43379535515_104700/;Puerta del Ángel (Distrito Latina. Madrid Capital);76 m²;¡¡Si quieres invertir tenemos esta vivienda para ti en la calle costanilla de los olivos!! Situado en una primera planta, este pis...;40.4046575;-3.7374556;2 habs.;1 baño;
1.365.000 €;Piso en Madrid;/comprar/piso-ibiza28009-45082658352_100500/;Ibiza (Distrito Retiro. Madrid Capital);148 m²;Boher gestión inmobiliaria: vende, exclusivo piso en retiro-ibiza, 3ª planta exterior, orientación este, 148 metros de los cuales ...;40.420445;-3.6743356;3 habs.;;3ª planta
1.150.000 €;Piso en Vallehermoso;/comprar/piso-chamberi_vallehermoso28003-45049733830_100500/;Vallehermoso (Distrito Chamberí. Madrid Capital);180 m²;Ds realtors comercializa esta vivienda de 180 metros cuadrados en edificio de 1960. Es una primera planta exterior en edificio de ...;40.4398391;-3.7162907;4 habs.;3 baños;1ª planta
251.000 €;Piso en Aluche;/comprar/piso-latina_aluche28024-41741925370_108500/;Aluche (Distrito Latina. Madrid Capital);86 m²;Vihabit servicios inmobiliarios vende piso a reformar en aluche. Sexta planta exterior. 3 dormitorios, baño, aseo, trastero y apar...;40.3930051;-3.7663399;3 habs.;2 baños;
399.000 €;Piso en Ciudad Universitaria;/comprar/piso-ciudad_universitaria28035-44227621842_993204/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);67 m²;"No cobramos comisión al comprador!
Descubre este acogedor piso en madrid de 67 m² en una de las zonas más cotizadas de la ciudad. ...";40.4639467;-3.7228443;2 habs.;1 baño;2ª planta
193.000 €;Apartamento en calle del Álamo;/comprar/apartamento-universidad_malasana28015-12591410196_101800/;Universidad-Malasaña (Distrito Centro. Madrid Capital);35 m²;"Estupendo apartamento muy luminoso, ideal para una persona sola.
Totalmente amueblado, para entrar a vivir, cocina equipada, ampli...";40.424178;-3.7091517;1 hab.;1 baño;4ª planta
429.900 €;Ático en calle de la Secoya;/comprar/atico-pau_de_carabanchel28054-43402226068_527714/;Pau de Carabanchel (Distrito Carabanchel. Madrid Capital);139 m²;¡Bienvenido a tu refugio en las alturas en carabanchel alto! Este encantador ático, situado en la planta 6ª, ofrece un estilo de v...;40.3705447;-3.7431657;2 habs.;1 baño;
629.000 €;Piso en calle de Colón, 10;/comprar/piso-universidad_malasana28004-44192578743_528306/;Universidad-Malasaña (Distrito Centro. Madrid Capital);72 m²;Inmueble totalmente reformado realizado por el estudio de arquitectura, situado en la cuarta planta de la c/ colón . Consta de 2 h...;40.423866;-3.7012746;2 habs.;2 baños;4ª planta
315.000 €;Piso en calle de Eugenia de Montijo, nº 97;/comprar/piso-carabanchel_buenavista28044-89254531052_998115/;Buenavista (Distrito Carabanchel. Madrid Capital);147 m²;Edificio estilo modéjar! Edificio singular. Orientación sur, luz todo el día. Edificio estilo modéjar, patio del mismo estilo de 5...;40.37453369082771;-3.7507807215484434;3 habs.;3 baños;1ª planta
600.000 €;Piso en Avenida de Burgos;/comprar/piso-castilla28036-45006524214_440000/;Castilla (Distrito Chamartín. Madrid Capital);123 m²;Moderna y luminosa vivienda totalmente exterior, (en esquina o chaflán) con una superficie aproximada de 123m² y una fantástica di...;40.4800967;-3.6746864;4 habs.;2 baños;13ª planta
179.900 €;Piso en calle de Fray José de Cerdeiriña;/comprar/piso-las_aguilas28024-45012770062_100500/;Las Águilas (Distrito Latina. Madrid Capital);65 m²;Gespain parque europa vende piso en parque europa junto a estación de metro de aviación española (línea 10) y muy próximo a la ren...;40.3841325;-3.7804349;2 habs.;1 baño;2ª planta
240.000 €;Piso en calle de Higueras;/comprar/piso-lucero28047-43379581820_104700/;Lucero (Distrito Latina. Madrid Capital);87 m²;En redpiso paseo de extremadura ¡¡Tenemos la vivienda que estabas buscando en la calle higueras!! Situado en una 2ª planta, este f...;40.4032947;-3.7456813;3 habs.;1 baño;
348.500 €;Piso en calle Joaquín Lorenzo;/comprar/piso-penagrande28035-40010632081_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);35 m²;Piso en una finca de obra nueva de 35 m2 de superficie construida y emplazado en la zona de Madrid Capital. Está dispuesto en 1 habitación y terraza. Incluye como acabados armarios empotrados 0 habitaciones.;40,4745856;-3,7284576;1 hab.;1 baño;
979.000 €;Piso en calle de Cádiz;/comprar/piso-sol_barrio28012-44253226187_528306/;Sol (Distrito Centro. Madrid Capital);110 m²;Este piso en venta situado en madrid capital cuenta con una superficie total de 110 m², siendo la superficie útil de 91 m². Dispon...;40.4158769;-3.703095;4 habs.;4 baños;2ª planta
1.360.000 €;Dúplex en Jerónimos;/comprar/duplex-jeronimos28014-44224177656_106700/;Jerónimos (Distrito Retiro. Madrid Capital);192 m²;"Exclusivo dúplex a estrenar en la prestigiosa zona de jerónimos, en madrid! 
Este lujoso inmueble cuenta con 2 habitaciones dobles...";40.408726;-3.6895918;2 habs.;3 baños;
165.000 €;Piso en Avenida de la Albufera;/comprar/piso-numancia28038-43376966079_526615/;Numancia (Distrito Puente de Vallecas. Madrid Capital);45 m²;Vendo piso en la av. Albufera al lado de la parada del metro de nueva numancia en la zona puente vallecas de 45 metros tercera pla...;40.383555122;-3.625972174;1 hab.;1 baño;3ª planta
160.000 €;Piso en calle de la Gaviota;/comprar/piso-carabanchel_vista_alegre28025-44168944514_104700/;Vista Alegre (Distrito Carabanchel. Madrid Capital);63 m²;"Tenemos el piso que necesitas si lo que buscas es comodidad y accesibilidad.
Te presentamos esta planta baja reformada y pensada p...";40.3885266;-3.7379645;2 habs.;;
2.950.000 €;Piso en Jerónimos;/comprar/piso-jeronimos28014-43392339839_108500/;Jerónimos (Distrito Retiro. Madrid Capital);179 m²;Madin inmobiliaria – interiorismo ofrece en venta maravilloso piso recién reformado en la calle de montalbán, jerónimos - retiro. ...;40.4182421;-3.6908308;3 habs.;4 baños;
440.000 €;Piso en calle del Pilar de Zaragoza;/comprar/piso-guindalera28028-40908557191_440000/;Guindalera (Distrito Salamanca. Madrid Capital);78 m²;Vivienda exterior  con mucho sol en una ubicación privilegiada de guindalera, en la misma calle de pilar de zaragoza a escasos met...;40.4361518;-3.6717736;3 habs.;1 baño;1ª planta
340.000 €;Piso en calle de la Drácena;/comprar/piso-nueva_espana28016-43410671003_104700/;Nueva España (Distrito Chamartín. Madrid Capital);63 m²;Real estate nueva españa. Pone a su disposición vivienda exterior de 63 m² construidos. Situado en una muy luminosa 1ª planta de o...;40.4627423;-3.6714045;2 habs.;;
1.415.000 €;Piso en Centro;/comprar/piso-cortes_huertas28012-43420913304_109300/;Cortes-Huertas (Distrito Centro. Madrid Capital);324 m²;En un edificio de finales del siglo xix del distrito centro se vende una vivienda única para ti que sabrás valorar la singularida...;40.414041;-3.7028534;4 habs.;4 baños;
157.260 €;Piso en Portazgo;/comprar/piso-puente_de_vallecas_portazgo28038-44190704501_100200/;Portazgo (Distrito Puente de Vallecas. Madrid Capital);63 m²;Agencia inmobiliaria tecnocasa vallecas zona portazgo, vende piso para entrar a vivir en la zona de buenos aires- tajamar, de 63m²...;40.391609204;-3.642169095;3 habs.;;3ª planta
1.750.000 €;Piso en Chueca-Justicia;/comprar/piso-justicia_chueca28004-43372069234_106700/;Justicia-Chueca (Distrito Centro. Madrid Capital);222 m²;Este impresionante piso recién reformado se encuentra en la calle fuencarral, en el corazón de madrid, dentro de una finca clásica...;40.4286127;-3.7011133;3 habs.;4 baños;
449.000 €;Piso en Prosperidad;/comprar/piso-chamartin_prosperidad28002-41751517081_100500/;Prosperidad (Distrito Chamartín. Madrid Capital);64 m²;Agencia inmobiliaria ds realtors le ofrece, sin honorarios de agencia, esta fantástica vivienda en barrio de prosperidad. En calle...;40.4393823;-3.6733612;2 habs.;2 baños;1ª planta
310.000 €;Piso en calle del Camino Viejo de Leganés;/comprar/piso-opanel28019-44226421622_520820/;Opañel (Distrito Carabanchel. Madrid Capital);94 m²;Vivienda situada en una 8ª planta con vistas a la avda. De oporto. Consta de hall de entrada, cocina con despensa y terraza cerrad...;40.3873601;-3.7270722;3 habs.;2 baños;8ª planta
720.000 €;Piso en calle de la Virgen de Aránzazu, 7;/comprar/piso-fuencarral_el_pardo_valverde28034-45022724928_528410/;Valverde (Distrito Fuencarral-El Pardo. Madrid Capital);180 m²;"¡Piso de lujo reformado de 180 m² con ascensor garaje y piscina!
Vive en un oasis de lujo y confort con este espectacular piso de ...";40.4866;-3.6913302;4 habs.;2 baños;6ª planta
379.000 €;Piso en calle  *;/comprar/piso-los_berrocales28031-4418412482_109700/;Los Berrocales (Distrito Vicálvaro. Madrid Capital);102 m²;Piso en una finca de obra nueva de 102 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto en 3 h...;40.3967309;-3.5844075;3 habs.;2 baños;
850.000 €;Ático en calle de Torrelaguna;/comprar/atico-ciudad_lineal_san_pascual-30007890895_440000/;San Pascual (Distrito Ciudad Lineal. Madrid Capital);119 m²;Fantástico ático duplex con una superficie catastral total de 119 m², repartidos en las dos últimas plantas del edificio, siendo l...;40.443971;-3.6542466;3 habs.;2 baños;
215.000 €;Piso en calle de Oviedo, 16;/comprar/piso-tetuan_cuatro_caminos28020-44186310780_994129/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);40 m²;"¡ Vive en el barrio multicultural y versátil de cuatro caminos!
Estupenda vivienda 40 m² recién pintada, amueblada y actualizada l...";40.448906;-3.700502;2 habs.;1 baño;Bajo
305.000 €;Piso en calle de Cervantes;/comprar/piso-cortes_huertas28014-45091076997_500635/;Cortes-Huertas (Distrito Centro. Madrid Capital);43 m²;Luxcasa les ofrece ideal inversionistas este bonito apartamento de 43 m² situado en la mejor zona del barrio de las letras, en la ...;40.4144109;-3.696139;1 hab.;1 baño;Bajo
470.000 €;Piso en calle de Trueba y Fernández;/comprar/piso-chamartin_hispanoamerica28016-31669807834_440000/;Hispanoamérica (Distrito Chamartín. Madrid Capital);107 m²;"Espaciosa vivienda exterior. 
Se trata de una vivienda de aproximadamente 80 m², distribuidos actualmente en un amplio salón-comed...";40.4546071;-3.6796848;2 habs.;1 baño;1ª planta
348.500 €;Piso en calle Joaquín Lorenzo;/comprar/piso-penagrande28035-40010632081_109700/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);35 m²;Piso en una finca de obra nueva de 35 m² de superficie construida y emplazado en la zona de madrid capital. Está dispuesto en 1 ha...;40.4745856;-3.7284576;1 hab.;1 baño;
298.000 €;Dúplex en calle de Camarillas;/comprar/duplex-casco_historico_de_barajas-41689014904_100500/;Casco Histórico de Barajas (Distrito Barajas. Madrid Capital);58 m²;"Vohome propiedades barajas vende magnifico dúplex en el casco histórico.

La vivienda construida en el año 2022 consta de 52 m² út...";40.4725614;-3.5766148;1 hab.;2 baños;2ª planta
420.000 €;Dúplex en Simancas;/comprar/duplex-san_blas_simancas28037-37541028738_102100/;Simancas (Distrito San Blas. Madrid Capital);140 m²;Gilmar consulting inmobiliario madrid, conde orgaz-campo de las naciones, comercializa a pocos metros del parque de la quinta de l...;40.4255811;-3.622279;2 habs.;2 baños;
875.000 €;Piso en calle de la Farmacia;/comprar/piso-justicia_chueca28004-41763657311_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);133 m²;Ds realtors comercializa esta segunda planta exterior para entrar a vivir con ascensor en entreplantas en una de las calles mas tr...;40.4238645;-3.6995484;2 habs.;3 baños;2ª planta
1.350.000 €;Piso en El Viso;/comprar/piso-castilla28036-38374735499_102100/;Castilla (Distrito Chamartín. Madrid Capital);194 m²;Gilmar real estate viso-chamartín vende magnífico piso en exclusiva en bernabéu. ¡Toda un oportunidad!  La vivienda es toda exteri...;40.4645023;-3.6834882;4 habs.;3 baños;
1.129.000 €;Piso en calle de Don Ramón de la Cruz;/comprar/piso-goya28006-43340521960_524350/;Goya (Distrito Salamanca. Madrid Capital);171 m²;"Oasis house les ofrece este maravilloso piso reformado en el barrio de goya con plaza de garaje.
La vivienda es una primera planta...";40.428350312;-3.66943255;3 habs.;3 baños;1ª planta
1.590.000 €;Piso en calle de Diego de León;/comprar/piso-lista_barrio28006-45011471537_101800/;Lista (Distrito Salamanca. Madrid Capital);223 m²;Gran piso en la cuarta planta de un buen edificio con portal señorial, con orientación este. Reformado hace 10 años, con una refor...;40.4348089;-3.6768296;4 habs.;5 baños;4ª planta
532.608 €;Ático en calle de Enrique Aguilar;/comprar/atico-berruguete28039-45086506322_500564/;Berruguete (Distrito Tetuán. Madrid Capital);114 m²;Espectacular ático de 109 m² útiles en edificio de 2007, en tercera planta con ascensor, con increíble terraza de 50 m² y tres dor...;40.4593778;-3.7056444;3 habs.;2 baños;
3.185.000 €;Piso en Castellana;/comprar/piso-salamanca_castellana28006-44254784513_106700/;Castellana (Distrito Salamanca. Madrid Capital);380 m²;"Coldwell banker unique presenta esta fantástica oportunidad en castellana. 

Se trata de una propiedad con mucha luz situada en un...";40.4328309;-3.679808;5 habs.;4 baños;
499.000 €;Piso en calle de Fermín Caballero;/comprar/piso-pilar28034-45049533018_528414/;Pilar (Distrito Fuencarral-El Pardo. Madrid Capital);90 m²;"Tirma 7ª planta exterior con 2 terrazas, unico de esa tipologia con dos baños uno en suite y un aseo reformado a estrenar
Hoome so...";40.4830176;-3.7098032;3 habs.;3 baños;7ª planta
