precio;sub_descr;href;ubicacion;banios;mt2;planta;otros;latitude;longitude;habitaciones
1.500 €/mes;Piso en Plaza de Jacinto Benavente;/alquilar/piso-cortes_huertas28012-35928824857_998664/;Cortes-Huertas (Distrito Centro. Madrid Capital);1 baño;45 m²;3ª planta;Atencion solo para estudiantes, magnifico apartamento recién reformado en pleno centro de la capital de madrid, la vivienda consta...;40.4148685;-3.703754;1 hab.
1.790 €/mes;Piso en Paseo de la Florida;/alquilar/piso-casa_de_campo28008-41670550108_500635/;Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital);2 baños;85 m²;8ª planta;Luxcasa alquila excelente vivienda de 2 dormitorios y 2 baños en paseo de la florida, junto centro comercial y estacion principe p...;40.422761;-3.723319;2 habs.
1.790 €/mes;Piso en calle de Mozart;/alquilar/piso-moncloa_aravaca_arguelles28008-40922645228_500635/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);2 baños;87 m²;8ª planta;"Luxcasa pone a su disposicion una excepcional vivienda para aquellos que no precisan un contrato de larga estancia.

Ideal duracio...";40.4236896;-3.7230915;2 habs.
850 €/mes;Apartamento en Avenida de la Reina Victoria, 3;/alquilar/apartamento-chamberi_vallehermoso28003-41735930243_991170/;Vallehermoso (Distrito Chamberí. Madrid Capital);1 baño;32 m²;2ª planta;Sin honorarios de agencia para el inquilino! Se alquila caprichoso apartamento en plena glorieta de cuatro caminos, muy luminoso y...;40.446682;-3.7044816;1 hab.
1.750 €/mes;Piso en calle de Maudes;/alquilar/piso-rios_rosas28003-40062356437_100500/;Ríos Rosas (Distrito Chamberí. Madrid Capital);1 baño;70 m²;1ª planta;"Este piso se encuentra en calle de maudes, madrid, madrid, situado en el distrito de chamberí.

Este piso se encuentra en calle de...";40.4453491;-3.7000929;2 habs.
1.300 €/mes;Piso en calle de Velayos, 2;/alquilar/piso-ciudad_universitaria28035-38371468361_100500/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);1 baño;65 m²;;"Estancia minima un año

¡No te pierdas la oportunidad de alquilar este increíble piso a estrenar con un estilo propio de loft y un...";40.465;-3.72581;1 hab.
4.175 €/mes;Piso en Castellana;/alquilar/piso-salamanca_castellana28046-25864669701_515716/;Castellana (Distrito Salamanca. Madrid Capital);3 baños;230 m²;7ª planta;"""excelente oportunidad"". Piso para entrar a vivir. Lujo. Totalmente amueblado. Muy luminoso. 4 dormitorios, el principal en suite ...";40.427099;-3.690444;4 habs.
1.400 €/mes;Piso en Imperial;/alquilar/piso-imperial28005-41734182646_100200/;Imperial (Distrito Arganzuela. Madrid Capital);1 baño;80 m²;;"Tecnocasa estudio ronda de segovia s.l alquila magnifica vivienda en calle marmol.
La vivienda consta de 80m² distribuidos en dos ...";40.4052846;-3.7208486;
2.200 €/mes;Apartamento en La Florida-Valdemarín-Aravaca;/alquilar/apartamento-moncloa_aravaca_el_plantio-72574149946_101600/;El Plantío (Distrito Moncloa-Aravaca. Madrid Capital);2 baños;70 m²;;Urbanización la florida, aravaca, próximos a la avda. De valdemarín. Apartamentos en una de las zonas más exclusivas del noroeste ...;40.4672947;-3.8014291;2 habs.
15.000 €/mes;Piso en Chamberí - Almagro;/alquilar/piso-chamberi_almagro28010-35867831471_101800/;Almagro (Distrito Chamberí. Madrid Capital);11 baños;1.400 m²;4ª planta;"1.400m² en una sola planta, en almagro zona, en uno de los mejores edificios de la zona.

Unico piso por planta. 4 plazas de garaj...";40.4331906;-3.6922041;10 habs.
1.950 €/mes;Piso en Las Tablas;/alquilar/piso-fuencarral_el_pardo_las_tablas28050-93390802913_179400/;Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital);2 baños;145 m²;6ª planta;"Magnapol alquila  piso muy luminoso dentro de urbanización cerrada con seguridad 24 hs, piscina y jardines con zona para niños.
 6...";40.5007886;-3.6716723;3 habs.
5.000 €/mes;Piso en calle del Conde de Aranda;/alquilar/piso-recoletos28001-30843753475_996542/;Recoletos (Distrito Salamanca. Madrid Capital);3 baños;150 m²;1ª planta;"Iplomatic real estate ofrece piso amueblado a pocos metros del retiro.
Salón comedor de 30 m². , muy luminoso con ventanales a gra...";40.4217573;-3.6847509;3 habs.
4.900 €/mes;Dúplex en calle de Villalar;/alquilar/duplex-recoletos28001-15065560922_996542/;Recoletos (Distrito Salamanca. Madrid Capital);2 baños;140 m²;5ª planta;"Diplomatic real estate s. L. Ofrece dúplex con exquisita decoración y mobiliario a un paso de puerta de alcalá. Máximo 11 meses.
 ...";40.4214364;-3.6898192;2 habs.
1.750 €/mes;Piso en Paseo de la Tierra de Melide;/alquilar/piso-fuencarral_el_pardo_las_tablas28050-39200174684_100500/;Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital);2 baños;180 m²;2ª planta;¡Estrena en alquiler! Fantástica promoción de viviendas de lujo. Pisos de tres amplias habitaciones con dos cuartos de baño. Dormi...;40.5048899;-3.6608698;3 habs.
800 €/mes;Apartamento en Paseo de las Acacias;/alquilar/apartamento-acacias28005-41763060142_992099/;Acacias (Distrito Arganzuela. Madrid Capital);1 baño;40 m²;Subsótano;Bonito apartamento ideal para una persona completamente reformado a dos minutos a pie de la glorieta de embajadores. Imprescindibl...;40.4044446;-3.7039373;1 hab.
7.000 €/mes;Ático en calle de Fomento;/alquilar/atico-centro_palacio28013-39238491097_996542/;Palacio (Distrito Centro. Madrid Capital);3 baños;180 m²;;Diplomatic real estate alquila fantástico ático reformado, en el que se han utilizado materiales de excelente calidad, cuidando to...;40.4213099;-3.7104551;3 habs.
4.200 €/mes;Piso en Avenida de los Madroños;/alquilar/piso-piovera28043-40873548920_109300/;Piovera (Distrito Hortaleza. Madrid Capital);4 baños;250 m²;;En una de las urbanizaciones más consolidadas del conde orgaz, al lado del arturo soria plaza, se alquila una excepcional vivienda...;40.4525923;-3.6475427;5 habs.
2.200 €/mes;Piso en calle Gaztambide;/alquilar/piso-chamberi_arapiles28015-41673881391_996542/;Arapiles (Distrito Chamberí. Madrid Capital);2 baños;72 m²;Bajo;"Diplomatic real estate ofrece piso amueblado para estudiantes o profesionales. 
Alquiler minimo 6 meses. 1
12 meses o más 2.200€. ...";40.4334155;-3.7157246;3 habs.
2.400 €/mes;Apartamento en calle Gran Vía;/alquilar/apartamento-centro_palacio28013-40923764950_100500/;Palacio (Distrito Centro. Madrid Capital);2 baños;99 m²;6ª planta;Este magnífico piso se encuentra en la gran vía, una de las calles más famosas de madrid, y donde se sitúan prácticamente todas la...;40.4227137;-3.7101553;2 habs.
5.500 €/mes;Ático en calle de Sagasta;/alquilar/atico-justicia_chueca28004-25074682843_996542/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;220 m²;;"Diplomatic real estate ofrece piso amueblado con espléndida terraza de 100 m².
Disponible el 11/07/2022. Ha la renta hay que sumar...";40.428686;-3.6997822;2 habs.
1.300 €/mes;Piso en Avenida de los Rosales, 111;/alquilar/piso-butarque28021-41732941106_998173/;Butarque (Distrito Villaverde. Madrid Capital);2 baños;102 m²;8ª planta;Grupo interpres alquila en exclusiva piso reformado y amueblado de 102m². Amplio salón independiente con terraza añadida, tres dor...;40.35429;-3.6800385;4 habs.
3.900 €/mes;Piso en calle de Sagasta;/alquilar/piso-justicia_chueca28004-9250168946_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);3 baños;138 m²;2ª planta;"Diza consultores les presenta este piso amueblado de 138 metros cuadrados en la calle sagasta.

Ubicado en un segundo piso, esta v...";40.4287409;-3.7000149;3 habs.
1.850 €/mes;Piso en calle del Alcalde Luis Silvela;/alquilar/piso-hortaleza_palomas28042-39228250349_995394/;Palomas (Distrito Hortaleza. Madrid Capital);2 baños;175 m²;2ª planta;Alameda de osuna, impresionante piso reformado de 175 m construidos, en urbanización privada con piscina, zonas verdes, conserje y...;40.4491513;-3.5992467;3 habs.
2.400 €/mes;Piso en calle de Narváez;/alquilar/piso-ibiza28009-39169890668_100200/;Ibiza (Distrito Retiro. Madrid Capital);2 baños;104 m²;;Agencia inmobiliaria de madrid - zona salamanca - goya - retiro alquila espectacular recien reformado piso en calle narváez compue...;40.4199553;-3.6763229;3 habs.
1.700 €/mes;Ático en Ciudad Universitaria;/alquilar/atico-ciudad_universitaria28040-38422278016_100200/;Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital);1 baño;89 m²;;Inmobiliaria en tetuán, berruguete - tecnocasa risico servicios inmobiliarios sl alquila espectacular piso formado por dos dormito...;40.4559334;-3.7169698;2 habs.
2.500 €/mes;Piso en calle de Don Ramón de la Cruz;/alquilar/piso-goya28001-40906157707_101800/;Goya (Distrito Salamanca. Madrid Capital);2 baños;93 m²;6ª planta;"Magnifico 6º piso recién actualizado,
Junto principe de vergara y plaza marqués de salamanca. En don ramón de la cruz.
Zona muy co...";40.428672;-3.6771066;3 habs.
900 €/mes;Estudio en calle del Príncipe de Vergara, 89;/alquilar/estudio-salamanca_castellana28006-41673797348_992099/;Castellana (Distrito Salamanca. Madrid Capital);1 baño;36 m²;;Bonito estudio completamente reformado a escasos cinco minutos a pie de las estaciones de metro avenida de américa y diego de león...;40.436436;-3.6794364;
2.000 €/mes;Piso en calle de Francisco Silvela;/alquilar/piso-chamartin_prosperidad28002-41717229686_100200/;Prosperidad (Distrito Chamartín. Madrid Capital);2 baños;100 m²;;"Agencia inmobiliaria de madrid zona chamartín, prosperidad tecnocasa estudio avenida america slu - piso en alquiler: 

Acogedor pi...";40.4385727;-3.6781306;3 habs.
1.990 €/mes;Piso en calle Marceliano Santa María;/alquilar/piso-chamartin_el_viso28036-41766294060_100500/;El Viso (Distrito Chamartín. Madrid Capital);2 baños;161 m²;5ª planta;Extra inmobiliaria alquila piso de 3 dormitorios, 2 baños, en calle marceliano santa maría semi esquina pº. De la habana. Vivienda...;40.45047;-3.6888301;3 habs.
2.500 €/mes;Piso en calle de la Beneficencia, 18;/alquilar/piso-justicia_chueca28004-40020613861_100500/;Justicia-Chueca (Distrito Centro. Madrid Capital);2 baños;130 m²;2ª planta;Tanto si deseas vivir en este inmueble como si deseas darle la utilidad de oficina, esta propiedad te va a encantar al encontrarse...;40.4263;-3.69863;5 habs.
750 €/mes;Piso en Puente de Vallecas;/alquilar/piso-san_diego28053-41723661058_108900/;San Diego (Distrito Puente de Vallecas. Madrid Capital);1 baño;40 m²;2ª planta;Vivienda de 40m² con 1 dormitorio, salón, cocina amueblada y equipada, 1 baño, armarios empotrados, calefacción individual de gas ...;40.3869745;-3.6687453;1 hab.
1.500 €/mes;Piso en Canillas;/alquilar/piso-hortaleza_canillas28043-41698206590_100200/;Canillas (Distrito Hortaleza. Madrid Capital);1 baño;120 m²;4ª planta;Alquiler. Vivienda en torre de 3 habitaciones, ubicada en calle andorra cuarta planta, con ascensor. El portal cuenta con portero ...;40.4599425;-3.6454222;3 habs.
1.050 €/mes;Piso en Villaverde;/alquilar/piso-villaverde_los_angeles28041-41711634597_108900/;Los Ángeles (Distrito Villaverde. Madrid Capital);1 baño;85 m²;7ª planta;Estupendo piso de 85m² distribuidos en 3 habitaciones,  amplio salón-comedor de 30m², cocina completamente amueblada y equipada, 1...;40.3580482;-3.6940991;3 habs.
750 €/mes;Piso en Carabanchel;/alquilar/piso-puerta_bonita28025-41679937750_108900/;Puerta Bonita (Distrito Carabanchel. Madrid Capital);1 baño;41 m²;1ª planta;Vivienda reformada de 41 m². Consta de 1 dormitorio, salón comedor, cocina amueblada y equipada y 1 cuarto de baño completo. Dispo...;40.3765098;-3.7424921;1 hab.
1.050 €/mes;Piso en Puente de Vallecas;/alquilar/piso-palomeras_bajas28018-41741241970_108900/;Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital);2 baños;88 m²;4ª planta;Magnífico piso totalmente reformado de 95m² distribuidos en 3 dormitorios, salón independiente con terraza acristalada, cocina tot...;40.3894929;-3.6606816;3 habs.
1.099 €/mes;Piso en Tetuán;/alquilar/piso-valdeacederas28039-41759354978_106000/;Valdeacederas (Distrito Tetuán. Madrid Capital);1 baño;Más de 20;;"Piso en alquier, zona tetuán!
Piso en edificio de reciente construcción con ascensor. Exterior distribuido en salón-comedor-cocina...";40.4662194;-3.7063385;1 hab.
4.500 €/mes;Piso en Palacio;/alquilar/piso-centro_palacio28013-35035585586_100500/;Palacio (Distrito Centro. Madrid Capital);2 baños;150 m²;4ª planta;"Se acepta alquiler temporal con todos los gastos incluidos.
Fantástica vivienda en pleno centro de madrid, zona palacio. Tiene uno...";40.4177456;-3.7102933;4 habs.
2.300 €/mes;Piso en Retiro;/alquilar/piso-nino_jesus28009-41763884350_101000/;Niño Jesús (Distrito Retiro. Madrid Capital);3 baños;140 m²;;"Alfa doctor esquerdo ofrece esta amplia y singular vivienda en la zona de retiro, (retiro 2)
Vivienda totalmente exterior que cuen...";40.4161662;-3.6722933;4 habs.
1.400 €/mes;Ático en calle de Gabriel Lobo, 33;/alquilar/atico-chamartin_el_viso28002-40894351136_526097/;El Viso (Distrito Chamartín. Madrid Capital);1 baño;60 m²;;"Maravilloso atico en alquiler en una de las mejores zonas de madrid, 60m², 
Recién reformado integral a estrenar, cocina completa ...";40.444087455836005;-3.6793197406967364;1 hab.
1.500 €/mes;Piso en Vallehermoso;/alquilar/piso-chamberi_vallehermoso28003-5006649539_100500/;Vallehermoso (Distrito Chamberí. Madrid Capital);1 baño;;2ª planta;Alquiladirect ofrece: piso reformado y totalmente equipado. Toda la vivienda es exterior con mucha luz natural. Dispone de un ampl...;40.4390294;-3.7063882;1 hab.
1.050 €/mes;Piso en Chamberí;/alquilar/piso-trafalgar28010-41711843568_105700/;Trafalgar (Distrito Chamberí. Madrid Capital);1 baño;43 m²;3ª planta;"Globalpiso-chamberí alquila piso en zona trafalgar disponible a partir de septiembre.
Vivienda en estupenda zona, al lado del metr...";40.4346071;-3.7027633;1 hab.
1.475 €/mes;Piso en calle de José Miguel Guridi;/alquilar/piso-piovera28043-38382442694_108900/;Piovera (Distrito Hortaleza. Madrid Capital);;91 m²;1ª planta;"Este mes siente el flechazo con hasta 1 mes gratis en tu nueva renta

Estupenda vivienda de 2 dormitorios, ¡Con garaje y trastero ...";40.4602845;-3.6351099;2 habs.
1.450 €/mes;Piso en Chamberí;/alquilar/piso-trafalgar28010-32504658751_100500/;Trafalgar (Distrito Chamberí. Madrid Capital);1 baño;86 m²;4ª planta;Alquiladirect ofrece:  excelente apartamento en una cuarta planta y muy luminoso, con todos los muebles  a estrenar.  Ubicado en p...;40.4286825;-3.6984373;1 hab.
895 €/mes;Estudio en Villa de Vallecas;/alquilar/estudio-ensanche_de_vallecas_valdecarros28051-41697348975_108900/;Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital);1 baño;40 m²;;Espectacular loft en el ensanche de vallecas, con 1 plaza de garaje incluida en el precio, compuesta por 1 habitación con armario ...;40.3604648;-3.59513;1 hab.
2.750 €/mes;Piso en Ibiza;/alquilar/piso-ibiza28009-37507197337_101000/;Ibiza (Distrito Retiro. Madrid Capital);2 baños;95 m²;;Piso exterior con reforma a estrenar , amueblado 3 dormitorios con armarios empotrados, dos baños completos, la principal con baño...;40.4168004;-3.6708347;3 habs.
2.400 €/mes;Ático en calle del General Díaz Porlier;/alquilar/atico-goya28006-5020728323_517093/;Goya (Distrito Salamanca. Madrid Capital);2 baños;72 m²;;"Espectacular ático con terraza de unos 40m² con maravillosas vistas.

En la planta baja tenemos dos amplios dormitorios ambos con ...";40.4321785;-3.6767942;2 habs.
2.700 €/mes;Chalet adosado en Arroyo Fresno;/alquilar/chalet_adosado-penagrande28035-41681775365_102100/;Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital);3 baños;269 m²;;Gilmar consulting inmobiliario mirasierra se complace en presentar 	fantástico y acogedor chalet adosado de 269m². Distribuidos en...;40.4811614;-3.7334548;4 habs.
1.780 €/mes;Dúplex en Prosperidad;/alquilar/duplex-chamartin_prosperidad28002-40880080312_100500/;Prosperidad (Distrito Chamartín. Madrid Capital);1 baño;103 m²;4ª planta;Magnífico y luminoso ático dúplex de 103 m², 1 habitación, y terraza de 35 m², totalmente reformado, situado próximo al metro alfo...;40.4459022;-3.6628493;1 hab.
1.150 €/mes;Apartamento en calle del Maestro Guerrero;/alquilar/apartamento-universidad_malasana28015-40056304357_100500/;Universidad-Malasaña (Distrito Centro. Madrid Capital);1 baño;43 m²;4ª planta;"Apartamento disponible. Se alquila vacío. Situado detrás del edificio españa, plaza de españa, ahora hotel riu.

Apartamento recié...";40.424068;-3.7102655;1 hab.
1.100 €/mes;Apartamento en calle de Iriarte;/alquilar/apartamento-guindalera28028-41739682255_440000/;Guindalera (Distrito Salamanca. Madrid Capital);1 baño;30 m²;1ª planta;"Apartamento totalmente reformado en pleno corazón de barrio guindalera. Alquiler en una finca tranquila y bien comunicada.
Muy lum...";40.4377077;-3.6723907;1 hab.
1.875 €/mes;Piso en calle de Bravo Murillo;/alquilar/piso-tetuan_cuatro_caminos28020-41738613388_526198/;Cuatro Caminos (Distrito Tetuán. Madrid Capital);2 baños;122 m²;1ª planta;¡Noow urban te da la bienvenida a tu nuevo hogar en el corazón de madrid! Este encantador piso en alquiler está situado en la pres...;40.4542944;-3.7026544;4 habs.
1.600 €/mes;Piso en calle de Sinesio Delgado;/alquilar/piso-tetuan_almenara28029-40857548919_280500/;Almenara (Distrito Tetuán. Madrid Capital);2 baños;89 m²;Bajo;Descubre tu nuevo hogar en este piso recién reformado, ubicado en la calle sinesio delgado, madrid, a solo una calle de las 5 torr...;40.4741192;-3.6882034;2 habs.
4.500 €/mes;Piso en calle de Almagro, 1;/alquilar/piso-chamberi_almagro28010-41677551558_527711/;Almagro (Distrito Chamberí. Madrid Capital);2 baños;233 m²;Bajo;"Alquiler de oficina en edificio emblemático, representativo y muy cuidado. 
Un amplio espacio de 233 m² en dos plantas conectadas ...";40.428192;-3.6954086;7 habs.
900 €/mes;Apartamento en calle de la Miosotis;/alquilar/apartamento-valdeacederas28039-40891346124_101000/;Valdeacederas (Distrito Tetuán. Madrid Capital);1 baño;38 m²;;Apartamento a estrenar compuesto por 1 dormitorio, salón con cocina americana amueblada y baño con ducha. Electrodomésticos panela...;40.4652015;-3.7039818;1 hab.
1.950 €/mes;Piso en calle de Santa Isabel;/alquilar/piso-cortes_huertas28012-10899848193_522357/;Cortes-Huertas (Distrito Centro. Madrid Capital);3 baños;130 m²;2ª planta;"Edificio totalmente rehabilitado en un enclave espectacular.
Apartamento amueblado ""a estrenar"" - oportunidad 
Una oportunidad úni...";40.4085439;-3.6940487;2 habs.
950 €/mes;Estudio en calle de San Florencio, 5;/alquilar/estudio-numancia28038-39198640641_527206/;Numancia (Distrito Puente de Vallecas. Madrid Capital);1 baño;40 m²;;"Alquiler temporal! 1 a 11 meses. Para entrar a vivir! Wifi y consumos funcionando.
Sin comisiones. Entrada inmediata. Totalmente e...";40.40440625610857;-3.659934096865437;1 hab.
2.200 €/mes;Piso en calle de Alberto Bosch;/alquilar/piso-jeronimos28014-41700617473_100500/;Jerónimos (Distrito Retiro. Madrid Capital);1 baño;68 m²;1ª planta;"Impecable apartamento amueblado a estrenar, con techos altísimos y mucha luz. 
Se distribuye en salón grande, cocina abierta al sa...";40.4133169;-3.6905323;1 hab.
4.100 €/mes;Piso en calle de Antonio Acuña, 17;/alquilar/piso-goya28009-25886116767_518087/;Goya (Distrito Salamanca. Madrid Capital);4 baños;270 m²;6ª planta;"Hermoso apartamento reformado en la zona de goya, consta de 3 habitaciones, dos de ellas dobles y una individual 

* el precio que...";40.42188811381581;-3.6787448189148995;3 habs.
1.750 €/mes;Piso en calle de Maudes;/alquilar/piso-rios_rosas28003-41676015122_991150/;Ríos Rosas (Distrito Chamberí. Madrid Capital);2 baños;125 m²;2ª planta;Bienvenidos a su nuevo hogar! Este magnífico piso reformado de 105 m² construidos y 95 m² útiles cuenta con dos dormitorios, dos b...;40.445151;-3.7008971;2 habs.
3.500 €/mes;Piso en calle de Ponzano;/alquilar/piso-rios_rosas28003-41686755536_101800/;Ríos Rosas (Distrito Chamberí. Madrid Capital);2 baños;108 m²;1ª planta;"Elegancia y comodidad en nuevos ministerios, ríos rosas, chamberí

En velzia, te invitamos a descubrir la perfecta combinación de ...";40.442417;-3.699142;2 habs.
4.500 €/mes;Casa pareada en calle del Andarríos;/alquilar/casa_pareada-piovera28043-40888133725_100500/;Piovera (Distrito Hortaleza. Madrid Capital);5 baños;330 m²;;Yñarra inmobiliaria, alquila chalet pareado que en el del parque conde orgaz. Con una superficie construida de 330m² y una parcela...;40.4549516;-3.6299423;6 habs.
